"","EQR.Open","EQR.High","EQR.Low","EQR.Close","EQR.Volume","EQR.Adjusted"
"303",59.759998,60.470001,59.689999,60.23,2819100,52.992916
"304",60.709999,60.779999,59.799999,60.32,2762300,53.072105
"305",60.299999,60.68,59.919998,60.27,3513400,53.028114
"306",60.209999,60.529999,59.639999,60.130001,2940600,52.904942
"307",59.880001,60.619999,59.48,59.75,4788200,52.570595
"308",59.189999,59.259998,57.959999,58.360001,4554400,51.815918
"309",58.740002,59.049999,58.060001,58.98,2320000,52.366394
"310",59.009998,60.09,58.490002,59.349998,2560400,52.694901
"311",59.610001,61.790001,59.380001,61.549999,3856200,54.648201
"312",61.790001,62.220001,61.23,61.619999,5297500,54.710358
"313",61.48,61.709999,60.5,61.040001,3466300,54.195396
"314",61.130001,62.580002,60.82,62.349998,4343300,55.358498
"315",62.009998,63.209999,61.889999,63.150002,4093600,56.068794
"316",63.209999,63.34,62.700001,63.290001,2901300,56.193104
"317",63.369999,63.709999,62.82,63.049999,2491800,55.980003
"318",63.07,63.09,62.209999,62.299999,4295800,55.314106
"319",62.509998,62.869999,62.349998,62.700001,2922900,55.669254
"320",62.66,63.23,62.400002,62.529999,3249900,55.518314
"321",62.630001,62.73,61.299999,61.450001,2712500,54.559418
"322",61.619999,61.84,61.380001,61.650002,2171100,54.736996
"323",61.889999,62.310001,61.5,61.68,1736800,54.763626
"324",61.830002,62.799999,61.68,62.43,1824200,55.429531
"325",62.540001,62.639999,61.970001,61.98,1282400,55.029987
"326",61.82,61.869999,60.439999,60.700001,2685700,53.893509
"327",60.720001,60.889999,60.009998,60.110001,2443100,53.369678
"328",60.220001,60.52,59.889999,60.41,1307900,53.636032
"329",60.549999,60.959999,60.169998,60.709999,1998800,53.90239
"330",60.290001,60.950001,59.869999,60.310001,1821600,53.547245
"331",60.5,61.560001,60.290001,61.130001,1528900,54.275307
"332",61.110001,62.279999,60.830002,61.950001,1712200,55.003357
"333",62.029999,62.34,61.689999,61.709999,2946600,54.790264
"334",61.779999,62.400002,61.5,62.220001,4162900,55.24308
"335",62,62.220001,61.32,61.509998,2034400,54.612694
"336",61.48,62.150002,61.240002,61.599998,1654000,54.692596
"337",61.52,62.330002,61.34,62.099998,1531900,55.136532
"338",62.310001,62.59,61.959999,62.5,1781500,55.491676
"339",61.880001,62.48,61.779999,62.139999,1707300,55.172047
"340",62.150002,62.619999,62.110001,62.560001,1890800,55.54496
"341",63.470001,63.700001,62.52,62.91,3002200,55.855698
"342",63.07,63.220001,62.439999,62.549999,1440500,55.536072
"343",62.57,62.740002,61.799999,62.290001,1274500,55.305225
"344",61.82,62.009998,60.84,61,2389800,54.159874
"345",61.049999,61.23,60.209999,60.25,1585700,53.493977
"346",60.259998,60.560001,59.529999,59.740002,1645000,53.041164
"347",59.720001,59.900002,59.290001,59.630001,1892200,52.943501
"348",59.900002,60.66,59.299999,60.290001,1239300,53.529499
"349",60.25,60.52,60.009998,60.419998,1948600,53.644913
"350",60.580002,62.110001,60.580002,61.75,2209700,54.825783
"351",61.720001,62,60.830002,61.200001,2883400,54.337452
"352",61.349998,62.060001,61.290001,61.759998,1131700,54.83466
"353",61.59,62.290001,61.169998,61.860001,1454400,54.923447
"354",61.630001,63.91,61.630001,63.82,2321600,56.663662
"355",63.52,64.25,63.200001,63.990002,4653000,56.814598
"356",64.110001,64.199997,63.650002,63.830002,1981400,56.672546
"357",64.129997,64.620003,63.73,64.610001,2124600,57.365074
"358",64.93,64.93,63.990002,64.019997,2019700,56.841236
"359",63.849998,64.489998,63.810001,64.330002,1705400,57.116467
"360",64.459999,64.489998,63.880001,64.110001,2031300,56.921146
"361",64.379997,64.82,64.25,64.599998,1670100,57.35619
"362",64.599998,64.839996,64.040001,64.040001,1216400,56.858997
"363",64.040001,64.540001,63.900002,64.209999,2533600,57.009922
"364",64.440002,64.75,62.939999,63.200001,2127900,56.113186
