"","AAP.Open","AAP.High","AAP.Low","AAP.Close","AAP.Volume","AAP.Adjusted"
"772",139.779999,140.240005,137.369995,138.580002,924000,135.971756
"773",139.050003,140.429993,138.100006,138.550003,913400,135.942307
"774",136.949997,137.479996,133.429993,135.270004,1018300,132.724045
"775",134.339996,134.589996,131.5,131.75,1280700,129.270294
"776",132.779999,134.410004,132.339996,132.649994,1014200,130.153351
"777",134.089996,134.630005,131.539993,131.559998,822300,129.083862
"778",132.710007,137.639999,132.25,137.020004,1199400,134.441116
"779",137.130005,137.339996,133.970001,134.369995,873000,131.840973
"780",134,134.380005,131.130005,132.929993,895500,130.428085
"781",132.169998,132.289993,129.940002,130.679993,780800,128.220413
"782",130.960007,132.839996,130.789993,132.110001,558100,129.623505
"783",132.889999,134.789993,132.539993,134.320007,595100,131.791931
"784",133.779999,136.169998,133.169998,134.669998,949700,132.13533
"785",134.75,134.75,131.559998,133.589996,1122500,131.075653
"786",145.389999,150.660004,140.759995,141.809998,2881700,139.140945
"787",141.509995,142.419998,137.740005,140.119995,1015600,137.482742
"788",140.149994,142.860001,139.539993,142.479996,671600,139.798325
