"","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"961",74.589996,74.660004,71.769997,73.519997,2959400,73.519997
"962",73.610001,73.870003,71.169998,71.830002,2438200,71.830002
"963",70.709999,70.839996,67.699997,69.010002,4421100,69.010002
"964",69.279999,73.120003,69.050003,72.190002,3936700,72.190002
"965",71.349998,73.309998,70.25,72.43,3303900,72.43
"966",74.419998,76.07,73.400002,75.849998,3955100,75.849998
"967",76.629997,77.160004,74.110001,74.57,3082800,74.57
"968",75.080002,77.779999,73.699997,76.120003,4412300,76.120003
"969",77.379997,80.489998,76.849998,80.129997,5303100,80.129997
"970",77.889999,80.900002,77.510002,80.07,3461900,80.07
"971",95.169998,105.93,95,102.239998,18916800,102.239998
"972",100,102.190002,95.400002,96.660004,5302700,96.660004
"973",97.199997,97.199997,91,91.709999,5046800,91.709999
"974",89.690002,89.889999,85.959999,86.669998,7160600,86.669998
"975",87.699997,92.660004,86.459999,92.190002,4172000,92.190002
"976",97.669998,98.360001,93.440002,94.739998,4496000,94.739998
"977",93.309998,96.32,91.400002,94.230003,2500500,94.230003
"978",94.550003,98.860001,93.699997,95.639999,3339200,95.639999
"979",96.93,99.470001,96.269997,98.75,2764400,98.75
"980",97.82,98.800003,95.290001,95.290001,3589000,95.290001
"981",95.5,96.790001,94.120003,95.480003,3332600,95.480003
"982",97.589996,102.910004,97.410004,102.760002,4229700,102.760002
"983",101.650002,101.720001,99.059998,100.400002,2225700,100.400002
"984",101.330002,103.389999,100.669998,101.220001,1419600,101.220001
"985",100.989998,101.660004,97.230003,100.5,3071400,100.5
"986",102.019997,104.690002,100.889999,102.360001,2816000,102.360001
"987",101.75,106.459999,100.739998,105.129997,2956500,105.129997
"988",107.110001,110.389999,105.900002,108.489998,3167800,108.489998
"989",109.5,113.519997,108.199997,113.5,2997700,113.5
"990",112.760002,112.940002,109.519997,111.32,3736500,111.32
"991",110.629997,113.169998,110.330002,111.309998,2846100,111.309998
"992",112.879997,113.540001,109.339996,111.160004,2159200,111.160004
"993",109.089996,113.089996,109.089996,112.879997,1840700,112.879997
"994",112.669998,113.379997,109.599998,110.980003,2162900,110.980003
"995",112.410004,112.739998,107.199997,107.540001,2856100,107.540001
"996",109.220001,114.75,108.519997,114.099998,3196300,114.099998
"997",113.5,116.290001,112.550003,115.230003,2319500,115.230003
"998",116.800003,117.190002,114.139999,114.809998,2046300,114.809998
"999",114.550003,116.529999,113.010002,115.93,3196300,115.93
"1000",110.709999,113.779999,108.730003,112.540001,3809700,112.540001
"1001",112.269997,113.279999,110.709999,112.610001,1637000,112.610001
"1002",113.93,116.93,113.620003,115.300003,1998000,115.300003
"1003",114.410004,115.449997,113.610001,114.389999,850900,114.389999
"1004",114.959999,117.400002,114.120003,115.470001,1912000,115.470001
"1005",116.279999,116.589996,113.839996,114.309998,1262500,114.309998
"1006",114.18,115.949997,112.540001,113.400002,2087100,113.400002
"1007",112.769997,113.919998,110.059998,112.830002,2103400,112.830002
