"","FAST.Open","FAST.High","FAST.Low","FAST.Close","FAST.Volume","FAST.Adjusted"
"727",35.66,35.73,35.049999,35.259998,3937700,33.381557
"728",35.32,35.380001,34.919998,35.139999,2645100,33.267948
"729",35.360001,35.740002,34.950001,35.709999,2551900,33.807579
"730",35.810001,36.209999,35.669998,36.07,2864900,34.148407
"731",35.939999,36.130001,35.790001,35.91,4336000,33.996929
"732",36.119999,36.119999,35.549999,35.790001,2089300,33.883316
"733",35.66,35.91,35.43,35.52,1572000,33.627701
"734",35.380001,36,34.889999,34.959999,3296600,33.097534
"735",34.52,35.029999,34.029999,34.91,3226400,33.050198
"736",35.049999,35.360001,34.990002,35.060001,3811800,33.192207
"737",35.650002,36.48,35.18,35.279999,5737200,33.40049
"738",35.580002,36.130001,35.580002,35.939999,3779800,34.025322
"739",35.959999,36.27,35.91,36.110001,3054200,34.186264
"740",36.040001,36.220001,35.799999,35.939999,2400200,34.025322
"741",36.080002,36.32,35.84,36.240002,1988400,34.309349
"742",36.209999,37.740002,35.970001,37.650002,6002800,35.644234
"743",37.490002,37.939999,36.939999,37.029999,4048500,35.057259
"744",37.240002,37.459999,37.07,37.41,3015000,35.417015
"745",37.790001,37.790001,36.720001,36.869999,3797600,34.905781
"746",36.810001,36.860001,36.549999,36.84,3034300,34.877384
"747",36.810001,36.91,36.59,36.799999,2199000,34.839512
"748",37.240002,37.240002,36.720001,37.119999,6381100,35.14246
"749",37.389999,37.43,36.849998,36.93,2679300,34.962585
"750",37.060001,37.060001,36.740002,37.009998,810200,35.038326
"751",37,37,36.68,36.939999,1834000,34.972054
"752",37,37.080002,36.66,36.98,1738000,35.009922
"753",37,37.139999,36.849998,36.950001,1393000,34.981522
"754",36.860001,37.18,36.84,36.950001,2141900,34.981522
"755",37.080002,37.330002,36.650002,37.23,4190300,35.246605
"756",36.669998,36.82,36.029999,36.57,4101300,34.621765
"757",36.240002,36.299999,35.75,36,4135200,34.08213
"758",35.869999,36.099998,35.650002,35.93,3108300,34.015862
"759",36.110001,36.630001,35.93,36.200001,3795900,34.271481
"760",36.189999,36.41,35.84,36.220001,3811400,34.290413
"761",36.220001,36.57,35.900002,36.330002,3542400,34.394554
"762",36.599998,36.650002,36.349998,36.59,3167600,34.640705
"763",36.639999,37.169998,36.470001,36.82,5495600,34.858444
"764",36.669998,36.98,36.450001,36.790001,4365800,34.830055
"765",36.900002,37.34,36.799999,37.310001,5958600,35.32235
"766",36.369999,37.599998,36.209999,36.799999,12851800,34.839512
"767",36.43,36.639999,35.450001,35.830002,6476900,33.921192
"768",36.18,36.299999,35.869999,35.93,3501600,34.015862
"769",35.860001,36.119999,35.290001,36.060001,3133600,34.138939
"770",36.119999,36.169998,35.029999,35.52,4163900,33.627701
"771",34.939999,35.549999,34.630001,35.25,6163000,33.372086
"772",35.389999,35.900002,35.07,35.77,3723700,33.864384
"773",35.990002,36.540001,35.830002,35.900002,3883800,33.987465
"774",34.73,36.18,34.73,36.139999,4365600,34.454601
"775",35.830002,35.990002,34.73,34.880001,4707300,33.253368
"776",35.209999,36.060001,35.029999,35.849998,4608300,34.178131
"777",36.5,37.240002,36.259998,36.93,3614900,35.207764
"778",37.549999,37.669998,37.169998,37.650002,4071300,35.894192
"779",38,38.240002,37.549999,37.900002,3126100,36.132526
"780",37.66,37.950001,37.119999,37.349998,3342700,35.608181
"781",37.16,37.27,36.689999,36.939999,4827800,35.2173
"782",37.099998,37.950001,37.09,37.82,4432200,36.056263
"783",37.900002,38.400002,37.900002,38.34,2477500,36.55201
"784",38.150002,38.470001,37.990002,38.240002,2270800,36.456673
"785",38.23,38.57,38.009998,38.32,2745900,36.53294
"786",38.279999,38.439999,37.880001,38.290001,2287800,36.504341
"787",38.369999,38.66,38.189999,38.290001,1706000,36.504341
"788",38.41,39.310001,38.290001,39.02,3301400,37.200298
"789",38.84,39.18,38.450001,38.860001,4124100,37.047764
"790",38.049999,38.389999,37.240002,37.759998,3934900,35.999062
"791",37.98,38.18,35.970001,36.16,5998200,34.473671
"792",36.669998,36.830002,35.889999,35.959999,4487800,34.282997
"793",35.369999,36.450001,34.759998,35.02,8835200,33.386837
"794",33.810001,34.84,33.490002,34.220001,8622900,32.624149
"795",34.330002,35.189999,33.310001,35.18,7077800,33.539379
"796",34.84,36.389999,34.18,34.389999,6747000,32.786224
"797",34.98,35.59,34.34,35.529999,4983800,33.873051
"798",34.549999,36.049999,34.48,34.84,8820000,33.215229
"799",33.5,34.290001,33.32,34.16,7757500,32.56694
"800",31.870001,32.84,30.610001,31.190001,12392900,29.735453
"801",32.220001,33.619999,31.299999,33.599998,7310500,32.033062
"802",32.470001,33.669998,32.32,32.93,10915900,31.394304
"803",30.540001,32.84,29.790001,30.870001,9929300,29.430374
"804",32.799999,34.150002,31.209999,34.09,9208800,32.50021
"805",30.51,33.98,30,31.719999,9546200,30.240732
"806",32.380001,35.130001,32.029999,34.509998,8386500,32.900623
"807",32.740002,34.799999,31.389999,33.450001,10310200,31.890053
"808",33.41,35.459999,32,32.299999,9348200,30.793688
"809",32.360001,32.380001,28.469999,28.74,9568500,27.39971
"810",30,30,26.719999,28.18,6272000,26.86582
"811",29.030001,31.48,29.030001,31.370001,7600400,29.907057
"812",30.77,31.799999,29.809999,30.23,7079100,28.820219
"813",30.32,32.549999,29.459999,32.310001,7147000,30.803221
"814",31.17,31.799999,30.190001,31.040001,6463500,29.592445
"815",31.08,32.23,30.799999,31.799999,5540700,30.317003
"816",31.450001,32.279999,30.959999,31.25,7565900,29.792656
"817",30.17,31,29.92,30.610001,4805200,29.182501
"818",30.73,31.309999,30.17,30.65,7237500,29.220634
"819",30.5,31.34,30.01,30.48,4624700,29.058561
"820",31.440001,32.310001,31.129999,32.18,6151900,30.679281
"821",32.040001,33.650002,31.93,32.009998,6400300,30.517208
"822",32.419998,32.669998,31.639999,32.490002,4478500,30.974827
"823",32.740002,33.709999,32.549999,33.619999,6021400,32.052124
"824",32.610001,33.419998,31.870001,32.27,5085400,30.765087
"825",34.43,35.169998,32.82,34.540001,7107400,32.929222
"826",34.150002,34.810001,33.720001,34.560001,4962900,32.948288
"827",34.779999,35.52,34.169998,35.43,6097000,33.777721
"828",36.310001,36.919998,35.389999,35.93,5018600,34.254402
"829",35.549999,35.919998,34.889999,34.919998,3786300,33.291504
"830",34.490002,34.82,33.959999,34.139999,4809600,32.547878
"831",34.75,35.060001,34.400002,34.84,3479600,33.215229
"832",34.77,35.560001,34.68,34.919998,3958200,33.291504
"833",35.150002,36.139999,34.84,36.029999,3448500,34.349739
"834",36.110001,37.080002,36.09,36.849998,3873800,35.376961
"835",37.279999,37.970001,36.810001,36.959999,4371000,35.482567
"836",37,37.540001,36.450001,36.740002,4362500,35.271358
