"","HD.Open","HD.High","HD.Low","HD.Close","HD.Volume","HD.Adjusted"
"610",196.649994,197.649994,194.960007,197.169998,3732900,187.117249
"611",197.199997,199.020004,196.210007,197.300003,3522300,187.240662
"612",198.559998,199.850006,197.320007,198.050003,3154500,187.952408
"613",199.020004,200.839996,195.839996,198.009995,3708500,187.914459
"614",198.809998,200.190002,197.979996,198.940002,2551500,188.797043
"615",199.949997,202.679993,199.449997,202.350006,3630900,192.033188
"616",201.309998,206.5,201.309998,205.770004,4898000,195.278824
"617",207,208.789993,206,206.979996,4620500,196.427109
"618",208.100006,210.169998,207.110001,207.479996,3891300,196.901627
"619",207.899994,208.479996,205.899994,207.940002,3648200,197.338165
"620",209.570007,211.660004,209.309998,211.25,5171500,200.479431
"621",211.259995,211.990005,209.080002,209.389999,9855000,198.714218
"622",208.149994,209.259995,205.119995,205.5,4943500,195.022568
"623",206.300003,207.100006,204.199997,204.740005,3587900,194.301331
"624",205.339996,207.320007,204.649994,206.419998,3071200,195.895645
"625",207.610001,208,206.009995,207.020004,2286800,196.465103
"626",207.770004,209,207.389999,207.970001,11069000,197.366638
"627",209.699997,212.309998,208.169998,210.279999,4097700,199.558853
"628",210.240005,210.259995,208.460007,210.139999,3160500,199.42598
"629",209.820007,212.75,209.699997,212.100006,2183700,201.286087
"630",209.970001,212.169998,209.729996,211.460007,2547800,200.678741
"631",210.979996,213.440002,210.589996,212.910004,2705300,202.054779
"632",211.929993,213.330002,211.199997,212,2397400,201.191177
"633",210.720001,211.320007,208.830002,210.75,3457400,200.004929
"634",212.25,214.080002,211.020004,214.039993,3450100,203.127182
"635",215,218.25,214.610001,218.229996,4429800,207.103531
"636",218.949997,219.300003,216.809998,218.699997,3141300,207.549561
"637",217.300003,218.350006,216.729996,217.259995,2657400,206.183014
"638",216.729996,217.580002,215.610001,215.610001,3037300,204.617096
"639",215.5,216.229996,213.009995,214.440002,3068000,203.50676
"640",214.669998,215.229996,212.929993,213.039993,3254800,202.178162
"641",213,213.259995,210.380005,211.270004,2764900,200.498398
"642",212.570007,214.130005,211.729996,213.080002,2589900,202.21611
"643",213.190002,214.789993,213.070007,214.710007,2207100,203.763031
"644",214.279999,215.919998,213.630005,215.550003,2335300,204.560165
"645",215.529999,217.210007,214.100006,216.910004,2675500,205.850861
"646",216.789993,218.270004,216.350006,218.039993,2407200,206.923233
"647",217.520004,218.589996,216.860001,217.360001,2172600,206.277893
"648",216.350006,217.800003,212.169998,213.690002,3426400,202.794998
"649",214.139999,217.610001,212.020004,212.830002,3431500,201.978836
"650",211.860001,213.139999,211.080002,212.149994,2884900,201.333527
"651",209.529999,209.960007,204.080002,204.940002,4553200,194.491104
"652",205.009995,209.089996,204.5,208.800003,3646800,198.154312
"653",206.039993,208.5,203.130005,207.910004,3901100,197.309708
"654",209.699997,211.690002,208.720001,211.570007,2968000,200.783127
"655",211.449997,212.410004,207.949997,210.020004,2912100,199.312134
"656",208.100006,209.639999,206.149994,207.009995,2005000,196.455582
"657",206.309998,211.619995,204.779999,208.330002,3876700,197.708298
"658",204.460007,205.360001,201.509995,201.589996,4582100,191.311951
"659",203,203.759995,199.050003,201.789993,4199700,191.501724
"660",203.75,204.429993,201.669998,203.649994,4093600,193.266907
"661",206.979996,208.820007,205.300003,207.949997,6413600,197.347656
"662",213.5,217.850006,212.169998,217.089996,12452600,206.021652
"663",218.729996,220.880005,216.759995,220.399994,7938600,209.162918
"664",220.050003,222.660004,219.880005,221.020004,4544600,209.751297
"665",219.899994,220.869995,216.009995,217.470001,5769300,206.382263
"666",218.460007,219.5,216.179993,218.649994,3680200,207.502106
"667",219.550003,220.410004,217.910004,218.210007,4311700,207.084564
"668",217.880005,222.089996,217.110001,221.949997,3066700,210.633865
"669",223.899994,227.699997,223.759995,227.320007,4184200,215.730057
"670",228.429993,229.270004,226.690002,227.910004,3768300,216.289993
"671",226.449997,227.630005,223.380005,224.070007,4139400,212.645782
"672",223.949997,224.149994,220.669998,224.149994,3132900,214.020706
"673",226.300003,228.779999,226.25,228.149994,3373100,217.839951
"674",228.699997,231.369995,227.880005,231.130005,3237900,220.685287
"675",231.5,233.869995,230.080002,232.869995,4449100,222.346649
"676",232.25,233.020004,229.710007,233,4210600,222.470779
"677",232.929993,233.679993,231.020004,232.660004,2978300,222.146149
"678",233.419998,235.490005,233.110001,233.800003,3366100,223.234634
"679",234.330002,234.970001,232.330002,233.979996,3805500,223.406494
"680",232.729996,233.610001,230.610001,230.990005,3120200,220.551605
"681",226.789993,230.330002,226.470001,230.210007,3732500,219.806839
"682",230.369995,231.529999,229.009995,230.830002,3341800,220.398849
"683",231.149994,231.399994,227.949997,228.119995,3134000,217.811295
"684",227.990005,230.050003,224.229996,224.669998,7687700,214.517212
"685",224.160004,227.139999,223.949997,226.25,2754000,216.025818
"686",228.139999,230.240005,224.779999,225.410004,4511300,215.22377
"687",226.589996,228.449997,224.5,228.100006,3716700,217.792206
"688",229.679993,231.119995,229,229.789993,4200600,219.405838
"689",231.610001,231.75,229.130005,229.860001,3152000,219.472672
"690",230.190002,232.589996,230.119995,232.020004,3249200,221.535065
"691",233.009995,234.509995,230.720001,231.080002,3335400,220.637527
"692",230.600006,230.600006,224.339996,225.550003,4336100,215.357437
"693",225,226.809998,222.119995,226.809998,2777700,216.560501
"694",227.169998,229.210007,227.020004,227.929993,3163100,217.629883
"695",227.509995,228.130005,226.050003,226.740005,2917600,216.493652
"696",225.360001,228.779999,225.100006,226.669998,3438500,216.426819
"697",228.5,229.559998,226.610001,228.940002,2657600,218.594269
"698",229.339996,232.240005,229.080002,231.610001,2781500,221.143585
"699",234.320007,236.699997,233.759995,234.660004,3459200,224.055771
"700",234.220001,235.490005,234.059998,234.179993,2183900,223.597458
"701",234.690002,236.860001,234.600006,235.619995,2663300,224.972412
"702",235.419998,236.169998,233.839996,235.899994,2388100,225.239716
"703",236.360001,238.169998,235.509995,236.770004,2250500,226.070404
"704",236.990005,238.729996,235.639999,237.929993,3662500,227.177979
"705",238.259995,238.990005,235.610001,236.699997,2041700,226.003571
"706",237.300003,238.300003,236.520004,237.199997,2003200,226.480957
"707",236.660004,237.410004,234.360001,234.669998,2110500,224.065308
"708",234.809998,236.369995,233.070007,233.889999,2173900,223.320541
"709",233.490005,235.419998,232.550003,234.380005,2210900,223.788422
"710",234.949997,236.960007,234.559998,236.800003,2705000,226.099075
"711",236.839996,237.5,233.919998,234.139999,2558000,223.559265
"712",233.509995,236.600006,232.880005,236.240005,1956700,225.564377
"713",236.860001,237.389999,233.220001,234.580002,2824100,223.979385
"714",236.070007,237.449997,235.059998,237.339996,2197400,226.61467
"715",238.270004,238.389999,233.880005,234.919998,2542400,224.304016
"716",234.740005,234.919998,230.270004,232.199997,3624600,221.706909
"717",232.830002,234.039993,231.889999,234.009995,2631900,223.435135
"718",234,235.789993,231.759995,232.940002,2832500,222.413528
"719",232.800003,233.259995,231.630005,232.839996,2088400,222.318008
"720",230.5,232.279999,230.179993,231.800003,2309600,221.325012
"721",232.149994,234.630005,232,233.119995,2991100,222.585358
"722",232.089996,234.899994,230.850006,234.800003,2399600,224.189453
"723",235,236.940002,234.039993,236.550003,2282200,225.860336
"724",237.690002,238.050003,236.360001,237.289993,3524700,226.566925
"725",238.440002,239.309998,236.759995,238.850006,5747400,228.056442
"726",230.600006,233.119995,225.399994,225.860001,14972200,215.653427
"727",224.550003,225,220.570007,220.899994,10225400,210.917587
"728",221.940002,222.309998,218.5,218.539993,7823700,208.664215
"729",218.5,219.130005,217.809998,218.029999,5786500,208.177261
"730",218,218.529999,216.880005,218.399994,8865400,208.530548
"731",218.759995,220.960007,218.389999,220.759995,9981400,210.78389
"732",221.679993,223.449997,220.660004,223,6687500,212.922668
"733",223.300003,223.330002,220.289993,220.509995,2952900,210.545181
"734",220.899994,221.190002,217.460007,217.619995,4416300,207.785797
"735",216.449997,216.449997,212.929993,214,6505400,204.329361
"736",213.5,214.960007,213.190002,214.100006,4256200,205.73233
"737",214.360001,214.5,211.770004,213,4580500,204.675323
"738",214.210007,215.360001,213.899994,214.279999,4193700,205.905289
"739",214.289993,217.880005,214.179993,216.529999,5111100,208.067383
"740",216.520004,216.690002,215.100006,215.899994,4663000,207.461975
"741",211.029999,213.649994,210.610001,212,8284800,203.714417
"742",212.5,214.130005,210.729996,212.039993,9915100,203.752823
"743",212.119995,214.229996,210.669998,214.080002,6869200,205.71312
"744",214.429993,216.720001,214.300003,215.529999,5850300,207.10643
"745",216.020004,219.449997,215.869995,217.720001,7574400,209.210861
"746",218.210007,219.589996,217.639999,218,6677400,209.479904
"747",218.479996,220.770004,218.279999,220.220001,5405000,211.613144
"748",220.589996,221.570007,219.800003,221.190002,7778200,212.545227
"749",222,222,219.139999,219.210007,3943700,210.642624
"750",219.5,221.039993,219.220001,220.669998,2260700,212.045563
"751",220.740005,221.149994,219.589996,220.820007,2649200,212.189697
"752",221.199997,221.789993,219.779999,219.970001,3082800,211.37291
"753",220.369995,220.490005,216.550003,217.309998,3952400,208.816864
"754",217.100006,218.509995,216.440002,218.380005,3789900,209.845047
"755",219.080002,219.759995,217.839996,219.660004,3935700,211.075027
"756",217.139999,219.679993,216.75,218.929993,3423200,210.37355
"757",216.490005,220,216.399994,219.960007,5682800,211.363297
"758",219.5,220.559998,216.899994,218.520004,5685400,209.979568
"759",218.800003,222.970001,218.669998,221.789993,4916200,213.121796
"760",222.639999,225.550003,221.850006,225.190002,4843600,216.388885
"761",224.75,225.490005,223.029999,224.220001,4226600,215.456818
"762",224.5,224.509995,222.679993,223.339996,6060900,214.611191
"763",222.479996,224.949997,222.309998,222.809998,3915100,214.101898
"764",222.279999,224.979996,222.130005,224.589996,3444300,215.812363
"765",225.929993,228.860001,225.399994,228.820007,5390800,219.877045
"766",229.610001,232.600006,228.910004,231.910004,7979200,222.846252
"767",231.529999,233.660004,231.059998,232.949997,4873500,223.845596
"768",233.789993,236.529999,232.880005,232.899994,4030800,223.797577
"769",232.130005,234.820007,230.639999,233.649994,4617900,224.51825
"770",234.460007,235.429993,230.559998,232,4467500,222.932755
"771",228.199997,232.470001,228.199997,231.190002,3595600,222.154404
"772",231.820007,235.25,231.350006,233.860001,3621900,224.720047
"773",234.899994,235.880005,233.399994,234.020004,2564000,224.87381
"774",232,233.300003,231.570007,232.789993,4685700,223.691864
"775",232.960007,233.229996,227.889999,228.100006,5304700,219.185165
"776",230.300003,233.529999,229.350006,231.539993,5100900,222.490723
"777",234.029999,236.360001,234.029999,235,3505100,225.815506
"778",237.100006,238.320007,235.860001,238.110001,3868600,228.80394
"779",238,239.410004,237.479996,238.839996,3930300,229.505417
"780",238.839996,239.529999,236.520004,237.300003,2456100,228.02562
"781",236.600006,240.610001,236.179993,240.610001,2568000,231.206253
"782",240.610001,242.449997,240.199997,241.639999,2692400,232.195984
"783",242.130005,242.300003,238.839996,241.589996,3592100,232.147934
"784",240.970001,243.600006,240.399994,242.360001,2468100,232.887848
"785",243.440002,245.199997,242.630005,245.029999,2841600,235.453491
"786",244.839996,246.110001,243.160004,243.940002,2892600,234.406097
"787",244.910004,245.5,243.009995,243.639999,2713300,234.117828
"788",243.690002,247.119995,242.149994,247.020004,3701800,237.365707
"789",246.5,247.360001,244,245.339996,3881100,235.751373
"790",238.479996,243.110001,237.699997,239.699997,5350100,230.331802
"791",246.100006,246.970001,236.479996,237.380005,8061500,228.102463
"792",239.100006,241.039993,234.320007,235.279999,6963000,226.084534
"793",231.070007,234.820007,224.570007,224.729996,7612800,215.946854
"794",218.630005,221.059998,212.330002,217.839996,11809600,209.326141
"795",219.979996,230,218.490005,229.940002,7150800,220.953247
"796",230.029999,235.820007,225.570007,227.940002,8432500,219.031418
"797",233.009995,241.320007,231.800003,241.080002,6770000,231.657867
"798",236.600006,239.610001,233.149994,234.809998,6473900,225.632919
"799",227.570007,230.289993,222.25,228.509995,7399900,219.579147
"800",213.869995,216.179993,207.25,210.460007,10120500,202.234589
"801",217.210007,225.830002,211,225.699997,7206600,216.878967
"802",217.300003,219.149994,210.5,212.889999,7253900,205.938278
"803",195.410004,206.580002,184.839996,190.589996,10928700,184.366455
"804",200.449997,205.820007,190,205.669998,10292300,198.954041
"805",181.970001,186.100006,163.110001,164.960007,12536600,159.573395
"806",168.210007,174.779999,155.300003,173.639999,16234400,167.96994
"807",159.800003,162.330002,140.630005,155.630005,14681900,150.548065
"808",153.160004,162.910004,142,161.130005,13499100,155.868454
"809",162.779999,170.220001,151.809998,152.149994,12602400,147.181702
"810",150.059998,164.929993,146.339996,162.389999,12241600,157.087311
"811",173.389999,185.669998,172.009995,184.720001,14676600,178.688156
"812",184.419998,191.550003,180,181.759995,11497400,175.824799
"813",183.490005,198.199997,182.5,195.210007,10170300,188.835602
"814",188.490005,196.380005,186.5,190.550003,7121700,184.327774
"815",190.570007,198.199997,187.610001,196.100006,6936700,189.696548
