"","POOL.Open","POOL.High","POOL.Low","POOL.Close","POOL.Volume","POOL.Adjusted"
"520",149.669998,152.520004,149.669998,151.600006,118200,147.56604
"521",151.990005,152.029999,149.910004,151.169998,115900,147.147522
"522",151.380005,152.639999,149.759995,150.600006,318200,146.592697
"523",150.710007,151.660004,148.889999,149.910004,205300,145.921066
"524",149.570007,151.759995,147.759995,151.619995,322000,147.585541
"525",151.75,154.929993,150.899994,154.770004,161400,150.651718
"526",154.839996,157.809998,151.210007,157.020004,191000,152.841843
"527",157.059998,159.990005,154.889999,155.729996,119700,151.586166
"528",154.639999,156.580002,154.449997,156.509995,127400,152.345413
"529",155.809998,157.229996,155.289993,156.630005,165300,152.462219
"530",157.240005,157.320007,152.899994,155.380005,364200,151.245483
"531",156.559998,158.820007,154.639999,158.649994,165000,154.428482
"532",158.990005,159.850006,155.550003,157.830002,208300,153.63028
"533",151.509995,153.610001,148.360001,150.509995,761800,146.505051
"534",150.619995,152.160004,148.899994,152,424500,147.955444
"535",151.899994,154.789993,151.270004,154.5,390000,150.388916
"536",154.509995,154.509995,151.809998,152.720001,257300,148.656281
"537",152.270004,155.820007,150.149994,155.380005,188800,151.245483
"538",159.830002,159.830002,157.449997,158.729996,271600,154.506332
"539",158.309998,160.289993,158.020004,160.149994,248600,155.88855
"540",159.729996,161.830002,158.789993,161.279999,306800,156.988495
"541",160.869995,162,160,160.660004,208200,156.385025
"542",160.139999,161.320007,158.850006,159.539993,199100,155.2948
"543",160.529999,161.259995,158.300003,159.220001,193700,154.983322
"544",159.669998,160.949997,157.399994,159.240005,139600,155.002777
"545",159.470001,161.089996,158.339996,159.740005,383200,155.489471
"546",159.320007,161.720001,157.589996,157.809998,225100,153.610825
"547",157.529999,158.779999,156.100006,156.860001,248100,152.686066
"548",155.800003,156.229996,154.160004,156.119995,172300,151.965775
"549",156.259995,158.800003,155.720001,158.570007,260000,154.350601
"550",158.570007,159.699997,157.320007,159.020004,159000,154.788589
"551",158.470001,161.220001,158.270004,160.399994,242600,156.574982
"552",159.850006,160.160004,158.600006,159.100006,193600,155.306015
"553",159.419998,159.899994,156.5,156.979996,394700,153.236542
"554",157.279999,159.020004,156.679993,158.830002,359100,155.04245
