"","CHD.Open","CHD.High","CHD.Low","CHD.Close","CHD.Volume","CHD.Adjusted"
"102",51.139999,51.599998,51.060001,51.529999,1583200,48.493996
"103",51.639999,51.98,51.5,51.66,3269400,48.616337
"104",51.799999,52.25,51.43,52.25,1560600,49.171574
"105",52.27,52.580002,51.950001,52.57,1924700,49.472729
"106",52.43,52.740002,52.200001,52.619999,1340200,49.519768
"107",52.59,53.119999,52.330002,52.82,1724200,49.707993
"108",52.709999,53.369999,52.529999,53.259998,1403200,50.122066
"109",53.259998,53.279999,52.52,52.82,1374900,49.707993
"110",52.759998,53.040001,52.59,53,1234000,49.877384
"111",52.91,53.389999,52.73,52.900002,1400000,49.783272
"112",52.779999,52.91,52.5,52.799999,849800,49.689167
"113",53.029999,53.299999,52.939999,53.18,1467100,50.046787
"114",52.98,53.759998,52.939999,53.549999,1211900,50.394981
"115",53.380001,53.650002,52.709999,53.200001,3879800,50.065605
"116",53.27,53.790001,52.919998,53.75,1056200,50.583191
"117",53.84,54.18,53.509998,53.529999,1454700,50.376167
"118",53.549999,53.709999,53,53.02,1257200,49.896202
"119",52.990002,53.07,52.740002,52.84,1642900,49.726814
"120",52.889999,53.290001,52.889999,53.040001,1339900,49.915031
"121",53.200001,53.240002,52.98,53.09,821700,49.962086
"122",52.98,53.25,52.68,52.68,1300600,49.576241
"123",52.959999,53.07,52.560001,52.580002,1076500,49.482124
"124",52.419998,52.459999,51.619999,51.810001,1141100,48.757507
"125",51.799999,52.080002,51.799999,51.880001,1229100,48.823376
"126",51.950001,52.259998,51.849998,52.02,398000,48.955128
"127",52.07,52.16,51.709999,51.779999,1478700,48.729263
"128",51.779999,52.060001,51.540001,51.950001,1272100,48.889252
"129",52.169998,52.540001,51.970001,52,1163200,48.936302
"130",52.049999,52.5,52.040001,52.310001,1233100,49.228039
"131",52.32,52.400002,52,52.18,1345700,49.105698
"132",52.310001,52.5,51.84,51.900002,1786700,48.842201
"133",51.91,52.049999,51.650002,52,864800,48.936302
"134",52.209999,52.650002,52.18,52.619999,1066300,49.519768
"135",52.52,53.34,52.080002,53.330002,2017800,50.18795
"136",53.360001,53.709999,53.220001,53.630001,1227600,50.470264
"137",53.689999,53.689999,52.91,52.950001,1189900,49.830334
"138",53.02,53.349998,52.919998,52.990002,1620000,49.867977
"139",52.68,53.279999,52.540001,53.259998,1312000,50.122066
"140",53.200001,53.200001,52.650002,52.799999,1389000,49.689167
"141",53.009998,53.330002,52.790001,53.330002,895300,50.18795
"142",53.490002,53.759998,53.32,53.669998,933600,50.507908
"143",53.639999,54,53.459999,53.799999,1285600,50.630249
"144",53.799999,53.799999,53.049999,53.299999,1050900,50.159714
"145",53.380001,53.580002,53.290001,53.349998,1039200,50.20676
"146",53.439999,53.450001,52.91,53.009998,1233100,49.886799
"147",52.889999,52.889999,52.220001,52.73,2008000,49.623287
"148",50.970001,52.07,50.799999,51.77,2580500,48.719849
"149",51.700001,51.700001,50.290001,50.389999,2350100,47.421154
"150",50.389999,50.549999,50.16,50.290001,2642700,47.327045
"151",50.259998,50.259998,49.66,49.700001,1745000,46.771816
"152",49.610001,50.02,49.610001,49.919998,1378900,46.978844
"153",49.68,49.919998,49.540001,49.580002,1828900,46.65889
"154",49.450001,49.970001,49.419998,49.619999,1276400,46.876167
"155",49.709999,50.029999,49.650002,49.98,1438100,47.216255
"156",49.939999,50.119999,49.75,49.77,1094400,47.017868
"157",49.790001,50.41,49.790001,50.27,1141300,47.490223
"158",50.240002,50.459999,49.84,49.849998,881100,47.093441
"159",49.810001,50.119999,49.75,50.049999,1130300,47.282391
"160",50.150002,50.580002,49.889999,50.400002,1355700,47.613029
"161",50.459999,50.669998,50.279999,50.369999,922700,47.584694
"162",50.25,50.369999,49.91,50.049999,761900,47.282391
"163",50,50.27,49.52,49.599998,962800,46.857265
"164",49.779999,50.060001,49.740002,49.740002,865900,46.989521
"165",49.779999,49.919998,49.490002,49.740002,1239200,46.989521
"166",49.73,49.900002,49.450001,49.52,869500,46.781685
"167",49.389999,49.740002,49.23,49.599998,955600,46.857265
"168",49.630001,50.209999,49.57,50.169998,1338400,47.395748
"169",50.23,50.459999,50.080002,50.209999,1178400,47.433537
"170",49.939999,50.450001,49.939999,50.389999,1647400,47.603584
"171",50.43,50.439999,49.459999,49.82,1049400,47.065105
"172",49.900002,50.009998,49.32,49.48,1071900,46.743904
"173",49.32,49.32,48.73,49.119999,1183700,46.403805
"174",49.189999,49.759998,49.080002,49.619999,1495800,46.876167
"175",49.720001,49.93,49.400002,49.43,1337500,46.696667
"176",49.41,49.490002,49.110001,49.279999,1193400,46.554958
"177",49.200001,49.669998,49.139999,49.66,1225700,46.913952
"178",49.560001,50.470001,49.560001,50.43,2644100,47.641376
"179",50.43,50.630001,50.209999,50.610001,2019200,47.811424
"180",50.689999,50.990002,50.450001,50.57,1211600,47.773628
"181",50.540001,50.630001,49.580002,49.689999,1482500,46.942295
"182",49.580002,49.669998,48.41,48.490002,1445800,45.808655
"183",48.450001,48.860001,48.27,48.610001,1310100,45.922012
"184",48.709999,48.84,48.41,48.470001,1112300,45.789761
"185",48.5,48.880001,48.32,48.740002,955400,46.044834
"186",48.650002,48.740002,47.68,48.040001,1162300,45.38353
"187",47.970001,48.290001,47.82,48.119999,1553400,45.459099
"188",48.209999,48.5,48.119999,48.450001,1184800,45.770859
"189",48.459999,48.630001,47.889999,47.93,957900,45.279621
"190",47.93,48.060001,47.32,47.360001,1383600,44.741131
"191",47.330002,47.669998,47.240002,47.639999,3754100,45.005653
"192",47.990002,48.25,47.73,47.93,1926300,45.279621
"193",47.84,48.029999,47.380001,47.450001,1290000,44.826157
"194",47.450001,47.540001,46.860001,47.02,1799200,44.419933
"195",47.02,47.400002,46.419998,47.380001,1675400,44.760029
"196",47.48,48.130001,47.220001,47.400002,1190700,44.778923
"197",47.34,47.73,47.299999,47.720001,1159500,45.081234
