"","CB.Open","CB.High","CB.Low","CB.Close","CB.Volume","CB.Adjusted"
"100",141.490005,142.869995,141.229996,142.759995,1001600,129.723633
"101",142.669998,142.869995,142.240005,142.240005,979700,129.251099
"102",141.619995,142.169998,141.460007,141.889999,844500,128.933075
"103",141.960007,143.259995,141.830002,143.190002,1332400,130.114395
"104",143.610001,144.850006,143.210007,144.850006,1297200,131.622787
"105",144.679993,145.279999,144.350006,145.139999,1270000,131.886276
"106",145.149994,145.880005,144.839996,145.050003,1091800,131.80452
"107",144.600006,145.160004,144.139999,144.179993,1223600,131.013931
"108",144.779999,144.910004,144.119995,144.289993,1414200,131.113922
"109",144.289993,145.380005,144.25,144.960007,1480600,131.722733
"110",144.940002,146.660004,144.679993,146.559998,1225800,133.176651
"111",146.570007,146.570007,145.199997,145.679993,1937400,132.376968
"112",145.899994,146.320007,145.509995,145.729996,1307900,132.422409
"113",145.619995,146.830002,145.309998,146.690002,1372800,133.294739
"114",146.369995,147.520004,146,147.399994,1225600,133.93988
"115",147.949997,147.949997,146.380005,147.580002,2107000,134.103455
"116",147.869995,148.320007,146.990005,147.110001,1222900,133.676407
"117",147.110001,147.320007,146.830002,146.929993,1392500,133.512802
"118",147.130005,147.419998,146.449997,146.619995,1205800,133.23111
"119",146.619995,146.619995,145.550003,145.550003,1245500,132.258865
"120",145.529999,146.190002,144.5,144.850006,1967500,131.622787
"121",144.830002,145.509995,144.320007,145.399994,1249600,132.122559
"122",145.259995,145.699997,144.729996,144.779999,1179700,131.559158
"123",144.899994,145.770004,144.899994,145.630005,1160100,132.983688
"124",146.009995,146.020004,144.320007,144.970001,1345800,132.381012
"125",145.720001,145.880005,144.660004,145.380005,1374800,132.755386
"126",145.800003,147.399994,145.509995,146.350006,672700,133.641174
"127",146.639999,146.820007,145.380005,145.970001,1001300,133.294159
"128",146.050003,146.479996,145.350006,145.440002,1212500,132.810181
"129",145.949997,146.789993,145.630005,146.520004,1043600,133.796402
"130",145.979996,146.160004,145.270004,145.279999,1073300,132.664093
"131",145.479996,145.619995,144.160004,144.449997,1127200,131.906189
"132",144.779999,145.119995,144.300003,144.440002,1165300,131.897049
"133",144.610001,145.339996,144.380005,144.850006,987600,132.271439
"134",144.470001,145.589996,143.860001,145.179993,755600,132.572769
"135",145.179993,145.660004,144.729996,145.539993,1081400,132.901505
"136",145.509995,145.800003,144.699997,145.699997,995800,133.047623
"137",146.039993,146.559998,145.559998,146.550003,1028800,133.823792
"138",146.820007,147,145.899994,146.619995,1381400,133.88768
"139",146.279999,147.460007,146.279999,147,1454700,134.234726
"140",147.179993,147.179993,146.589996,146.889999,1117000,134.134277
"141",147.589996,148.380005,146.899994,147.360001,2189400,134.563461
"142",147.559998,147.979996,143.690002,143.899994,2864600,131.403931
"143",143.600006,144.990005,142.649994,142.979996,2491400,130.563797
"144",143.369995,145.419998,143.369995,145.350006,2213100,132.728012
"145",145.699997,146.740005,145.360001,146.460007,1378300,133.741592
"146",146.850006,148.089996,146.399994,148.070007,1319700,135.211838
"147",148.220001,149.229996,147.839996,148.919998,1824200,135.987976
"148",148.990005,150.089996,148.669998,149.869995,1760100,136.855499
"149",149.940002,150.279999,149.160004,149.800003,843700,136.79155
"150",149.509995,149.970001,149.220001,149.309998,886500,136.344101
"151",149.139999,149.5,148.369995,148.539993,964500,135.640991
"152",148.460007,149.339996,148.009995,149.289993,872900,136.325867
"153",148.630005,149.029999,148.229996,148.330002,1101500,135.449234
"154",148.729996,148.820007,146.300003,146.440002,2126600,133.723343
"155",146.830002,147.960007,146.75,147.399994,1300700,134.59996
"156",147.809998,148.75,147.729996,147.970001,847500,135.120453
"157",148.410004,148.940002,147.880005,148.020004,904900,135.166138
"158",147.800003,148.020004,145.889999,145.949997,910400,133.275925
"159",145.25,146.339996,145.25,145.440002,1054100,132.810181
"160",145.580002,145.789993,144.759995,145.330002,1289300,132.709732
"161",145.419998,145.559998,144.850006,145.309998,1054600,132.691483
"162",144.800003,145.270004,143.940002,144.240005,1024500,131.714417
"163",144.360001,144.539993,142.600006,142.759995,1523800,130.3629
"164",142.800003,144.149994,142.649994,143.630005,1312600,131.157379
"165",143.289993,143.289993,140.589996,141.779999,1541100,129.468048
"166",140.589996,142.350006,140.589996,141.889999,1242600,129.568451
"167",142.529999,142.529999,141.119995,141.160004,1223700,128.90184
"168",141.600006,141.740005,140.539993,141.419998,1858500,129.139297
"169",141.470001,142.279999,140.309998,140.490005,1397100,128.290039
"170",139.300003,139.990005,136.539993,136.850006,2436300,124.966133
"171",137.100006,139.149994,136.279999,137.710007,2861600,125.751457
"172",137.449997,137.660004,133.820007,134.880005,2786300,123.167191
"173",134.429993,142.75,134.039993,140.850006,4374300,128.618805
"174",142.710007,146.839996,142.710007,145.880005,4895200,133.21199
"175",145.889999,147.020004,145.240005,147.009995,2330200,134.243835
"176",146.419998,146.839996,144.199997,144.550003,1809300,131.997498
"177",144.589996,144.589996,141.600006,142.789993,1712000,130.39032
"178",142.789993,143.660004,142.460007,143.509995,2307700,131.047745
"179",143.720001,144.059998,142.669998,143.570007,974600,131.102585
"180",143.520004,144.570007,142.899994,143.470001,1590300,131.011261
"181",143.899994,144.300003,142.699997,143.880005,1080700,131.385635
"182",143.809998,144.669998,142.940002,142.949997,944900,130.536407
"183",142.75,143.089996,141.639999,142.589996,1009600,130.207703
"184",142.589996,143.389999,141.820007,143.210007,1119200,130.773819
"185",142.860001,142.860001,140.869995,141.610001,1635000,129.312775
"186",142.539993,142.539993,141.600006,141.910004,1414800,129.586746
"187",141.479996,142.669998,141.419998,142.190002,1796100,130.4953
"188",141.729996,142.710007,141.639999,142.550003,1413200,130.825729
"189",142.550003,145.559998,142.380005,145.490005,2225600,133.52388
"190",145.389999,145.389999,143.889999,144.699997,1536200,132.798874
"191",144.399994,145.080002,144.289993,144.75,924600,132.844772
"192",144.839996,146.289993,144.320007,145.710007,1362300,133.725784
"193",145.990005,146.619995,145.029999,146.149994,1139400,134.129578
"194",146.089996,146.589996,145,146.050003,976300,134.037811
"195",146.039993,147.330002,145.669998,147.279999,723600,135.166672
"196",146.940002,147.470001,146.449997,147.369995,871400,135.249268
"197",147.619995,148.039993,146.220001,146.580002,1118000,134.524246
"198",146.600006,149.190002,145.960007,148.839996,1855200,136.598343
"199",148.660004,150.729996,148.539993,150.320007,1503100,137.956665
"200",150.059998,150.449997,149.059998,150.080002,1250700,137.736359
"201",149.720001,151.179993,148.910004,151.110001,941400,138.681656
"202",150.949997,154.050003,150.119995,153.979996,1561800,141.315613
"203",155.080002,155.289993,153.270004,154,1737300,141.334
"204",154.179993,155.240005,153.320007,155.190002,854800,142.426041
"205",155.600006,156,154.389999,154.399994,1513000,141.70105
"206",154.539993,155.270004,153.389999,154.160004,1703700,141.48082
"207",154.869995,155.389999,154.039993,154.75,1218500,142.022263
"208",154.25,154.25,151.5,152.75,2419300,140.186783
"209",152.649994,154.309998,151.380005,152.889999,1338100,140.315247
"210",152.669998,153.449997,150.770004,150.820007,2128600,138.415497
