"","PKG.Open","PKG.High","PKG.Low","PKG.Close","PKG.Volume","PKG.Adjusted"
"819",83.029999,85.290001,80.169998,80.510002,1147900,77.057922
"820",83.400002,86.150002,82.010002,85.43,1079800,81.76696
"821",87.760002,88.910004,84.540001,85,909700,81.355408
"822",85.529999,88.860001,84.400002,87.839996,747600,84.073624
"823",88.720001,91.75,88.690002,90.459999,1152400,86.581284
"824",88.82,90,87.190002,88.860001,748100,85.049896
"825",91.099998,91.260002,87.540001,88.5,731200,84.70533
"826",86.360001,86.68,83.970001,85.550003,861100,81.881821
"827",86.080002,86.309998,83.139999,85.18,695700,81.527687
"828",87.18,92,86.800003,90.839996,1104900,86.944984
"829",87.860001,88.959999,86.040001,86.120003,815700,82.427383
"830",84.150002,86.110001,84.040001,85.68,575200,82.006241
"831",87.089996,87.5,85.260002,85.550003,566800,81.881821
"832",85.739998,87.650002,85.580002,86.139999,445800,82.446526
"833",87.260002,87.300003,85,85.989998,604700,82.302956
"834",86.480003,90.660004,86.160004,90.160004,1058900,86.294159
"835",93.959999,99,91.400002,98.290001,1669000,94.075554
"836",100.32,101.699997,97.769997,100.199997,945200,95.903664
"837",98.199997,98.779999,95.769997,96.650002,687100,92.505882
"838",95.230003,95.269997,93.5,94.75,503700,90.68734
"839",94.410004,95.949997,91.660004,95.779999,1060700,91.67318
"840",96.459999,96.790001,93.440002,93.480003,878800,89.471802
"841",94.050003,95.940002,93.029999,93.480003,563800,89.471802
"842",94.379997,95.870003,93.620003,93.790001,628700,89.768501
"843",95.629997,99.290001,95.440002,98.139999,591000,93.931984
"844",97.099998,98.32,95.330002,97.5,595500,93.319427
"845",97.910004,98.040001,95.110001,95.160004,644900,91.079773
"846",94.550003,94.760002,88.540001,89.800003,749600,85.949593
"847",89.279999,93.459999,86.93,93.339996,618700,89.337791
"848",92.489998,92.489998,90.010002,90.919998,591700,87.021561
"849",94.099998,95.139999,93.269997,93.709999,808200,89.691925
"850",92.900002,93.25,90.860001,90.919998,561200,87.021561
"851",92.330002,94.330002,92.239998,93.440002,475800,89.433525
"852",92.769997,94.75,92.589996,92.910004,403700,88.926239
"853",92.809998,93.169998,91.510002,92.989998,390800,89.002808
"854",95,98.68,95,98.360001,651900,94.142555
"855",100.650002,102.519997,100.269997,102.459999,776200,98.066757
"856",103.169998,103.419998,99.959999,101.699997,815900,97.33934
"857",101.410004,101.690002,99.269997,101.410004,819500,97.06179
"858",101.25,102.879997,101.099998,102.620003,495900,98.219894
"859",103.580002,104,102.43,102.860001,814400,98.4496
"860",104.68,108.050003,103.949997,107.470001,617000,102.861946
"861",106.580002,108.690002,106.580002,108.629997,854200,103.972191
"862",111.440002,112.800003,109.589996,110.559998,873700,105.819443
"863",109.580002,112.110001,109.540001,111.82,558800,107.025421
"864",110.419998,110.419998,107.68,107.849998,515600,103.225639
"865",106.730003,107.410004,105.199997,105.32,461900,100.804131
"866",102.620003,103.379997,98.040001,98.129997,693300,93.922424
"867",100.699997,101.57,96.230003,98.919998,582500,95.446945
"868",96.160004,99.949997,94.720001,99.470001,943000,95.977638
"869",102.449997,103.480003,100.360001,100.93,800200,97.38636
"870",101.260002,101.260002,98.720001,99.080002,499200,95.601326
"871",98.379997,99.07,96.900002,97.620003,865400,94.192596
"872",98.809998,99.75,97.019997,99.75,3273200,96.24781
"873",99.029999,99.269997,97.120003,98.57,769900,95.109238
"874",99.279999,100.599998,99.190002,99.940002,806300,96.431129
"875",99.160004,99.550003,97.739998,97.940002,853500,94.501358
"876",97.349998,97.540001,93.379997,95.93,725900,92.56192
"877",95.43,96.519997,94.82,95.68,891700,92.320702
"878",97.089996,99.5,96.75,98.019997,559700,94.578545
"879",97.550003,100.309998,97.110001,99.800003,776400,96.296051
"880",99.860001,100.169998,97.720001,99.370003,661800,95.881149
"881",100.5,101.019997,98.540001,99.650002,906000,96.151314
"882",100.910004,101.980003,98.510002,100,742400,96.489029
"883",99.010002,99.650002,98.010002,98.669998,577600,95.205719
"884",98.339996,98.879997,95.330002,96.309998,607400,92.928581
"885",96.529999,96.529999,94.849998,95.370003,606400,92.021599
"886",95.959999,98.970001,95.959999,98.889999,484400,95.417992
"887",99.25,100.300003,98.230003,98.779999,479100,95.311852
"888",98.889999,102.230003,98.860001,102.120003,715200,98.534592
"889",104.209999,104.209999,101.610001,102.839996,659800,99.229309
"890",102.860001,108.360001,102.720001,107.050003,1011900,103.291504
"891",107.32,107.32,104.620003,104.709999,879900,101.033653
"892",105.139999,105.150002,103.339996,103.720001,370200,100.078415
"893",103.68,105.150002,103.580002,104.120003,455000,100.464378
"894",104.050003,104.949997,103.25,104.269997,445800,100.609108
"895",103.870003,105.309998,103.139999,103.459999,510300,99.827545
"896",103.860001,104.389999,102.410004,102.790001,393800,99.181076
"897",102.43,104.129997,101.360001,103.529999,688400,99.895088
