"","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted"
"923",163.789993,168.160004,163.5,167.970001,3974600,164.377289
"924",168.729996,172.929993,167.919998,172.470001,4111900,168.781052
"925",173.369995,173.820007,165.059998,166.300003,3527700,162.742996
"926",168.720001,169.660004,164.580002,166.690002,3326500,163.124664
"927",165.190002,166.440002,163.300003,164.270004,2796800,160.756439
"928",165.25,167.550003,164.860001,165.75,2807500,162.204788
"929",167.300003,167.300003,163.820007,164.270004,2814900,160.756439
"930",164.509995,167.449997,164.270004,166.449997,2116700,162.889786
"931",168.009995,169.539993,167.369995,168.470001,2134000,164.866608
"932",169.270004,169.990005,168.070007,168.300003,1851200,164.700241
"933",169.289993,171.360001,168.479996,170,3152000,166.363892
"934",168.039993,171.449997,166.710007,170.339996,2661400,166.696579
"935",169.479996,170.470001,167.699997,168.699997,4908000,165.091675
"936",164.820007,165.179993,158.589996,161.369995,4459600,157.918472
"937",160.850006,163,160.119995,162.679993,2501000,159.200409
"938",162.320007,163.899994,157.830002,158.789993,2507600,155.393646
"939",158.320007,160.919998,156.850006,158.759995,2238300,155.364273
"940",157.649994,162.059998,157.169998,161.490005,2593900,158.035889
"941",164.440002,166.149994,163.229996,164.639999,2512600,161.118515
"942",164.559998,166.229996,163.470001,164.509995,2169300,160.991287
"943",165.770004,167.919998,163.020004,164.610001,2883400,161.089172
"944",166.199997,167.139999,162.119995,163.679993,2409300,160.179031
"945",161.619995,167,161.350006,165.610001,2339900,162.067764
"946",166.990005,169.25,166.740005,168.720001,1750000,165.111237
"947",169.110001,171.419998,166.619995,166.889999,2345800,163.320389
"948",168.990005,172.199997,168.520004,171.550003,2030200,167.880722
"949",172.380005,173.869995,171.479996,173.779999,1977900,170.063019
"950",174.399994,176.059998,173.270004,174.380005,2636900,170.650208
"951",175.059998,176.979996,174.119995,175.360001,3396300,171.609222
"952",173.929993,174.940002,170.520004,171.550003,2315300,167.880722
"953",173.089996,174.960007,172.800003,173.470001,2384600,169.759659
"954",171.059998,173.539993,170.330002,172.610001,2436600,168.918045
"955",173.300003,176.399994,172.800003,174.860001,3628800,171.119919
"956",174.589996,175.160004,171.050003,171.589996,2103500,167.919861
"957",172.470001,175.720001,172.470001,173.259995,1580300,169.554138
"958",172.589996,175.220001,172.550003,172.869995,1827000,169.17247
"959",173.610001,177.25,173.039993,176.850006,1882100,173.067352
"960",178,178.639999,173.660004,175.539993,1987900,171.785385
"961",173.199997,173.199997,167.600006,170.169998,2323700,166.530228
"962",169.039993,169.850006,166.660004,166.75,2009300,163.18338
"963",162.520004,165.509995,160.970001,161.160004,3233500,157.712952
"964",160.410004,165.740005,159.419998,164.600006,3113600,161.079376
"965",161.539993,165.759995,161.050003,164.949997,4389500,161.421875
"966",169.199997,174.5,168.110001,173.610001,4198300,169.896652
"967",175.529999,180.389999,174.25,179.210007,3719800,175.376862
"968",176.440002,182.429993,173.279999,178.910004,4318600,175.083298
"969",180.389999,184.380005,180.220001,183.279999,4585100,179.359802
"970",183.529999,186,182.880005,184.270004,3080300,180.328659
"971",204.899994,210,193.419998,196.990005,7735200,192.776581
"972",199.410004,203.020004,198.130005,201.979996,5882200,197.659836
"973",202.300003,202.949997,198.339996,199.289993,3238500,195.027374
"974",197.550003,199.309998,195.679993,197.240005,2659800,193.926208
"975",198.839996,201.899994,198.839996,201.539993,2355200,198.153946
"976",205.990005,209.610001,203.399994,208.589996,4898800,205.085495
"977",206.910004,206.910004,203.360001,205.330002,3447800,201.88028
"978",204.5,204.970001,200.960007,201.110001,4422300,197.731186
"979",201.279999,203.089996,199.889999,202.720001,3263000,199.314148
"980",201.770004,203.330002,200.5,202,2359000,198.606232
"981",203.649994,205.300003,203.419998,204.580002,2806400,201.142899
"982",208.300003,208.789993,206.740005,207.889999,4053600,204.397278
"983",208,208.639999,206.550003,207.679993,2434300,204.190796
"984",207.669998,209.419998,207.600006,209.410004,1434200,205.891754
"985",207.169998,208.25,203.919998,203.919998,6465700,200.493958
"986",207.089996,209.830002,205.929993,206.199997,3795500,202.735657
"987",205.990005,209.039993,205.970001,208,2459900,204.505417
"988",206.610001,209.440002,206.410004,208.220001,2779400,204.721725
"989",209.389999,212.889999,209.389999,212.679993,3198800,209.106796
"990",211.509995,211.789993,209.350006,211.100006,2595100,207.553345
"991",210.320007,213.059998,209.899994,212.070007,2302300,208.50705
"992",212.839996,213.820007,210.720001,212.240005,2946400,208.674194
"993",210.25,212.800003,210.220001,211.970001,2987200,208.408722
"994",209.550003,215.259995,209.550003,214.630005,3120700,211.024033
"995",216,216.699997,211.699997,211.850006,3345300,208.290756
"996",214,214.899994,211.880005,214.169998,2502500,210.571762
"997",213.389999,214.330002,209.229996,210.309998,2930100,206.776611
"998",210.949997,211.940002,210,211.940002,2148300,208.379227
"999",212.289993,212.509995,208.619995,210.039993,6686200,206.511139
"1000",205.630005,211.160004,204.850006,210.660004,2467500,207.120743
"1001",210.570007,211.210007,207.850006,207.940002,2019600,204.446442
"1002",209.610001,212.139999,209.240005,209.990005,2046700,206.46199
"1003",210.529999,210.699997,208.600006,209.529999,754900,206.009705
"1004",211,211.229996,209.380005,209.940002,1715700,206.412842
"1005",211.399994,211.399994,207.880005,209.130005,1527600,205.61644
"1006",210,211.589996,209.559998,210.949997,1602100,207.405853
"1007",211,213,209.669998,212.699997,1406400,209.12645
