"","OKE.Open","OKE.High","OKE.Low","OKE.Close","OKE.Volume","OKE.Adjusted"
"776",74.919998,75.32,74.279999,74.440002,2725500,62.842422
"777",75.269997,75.860001,74.699997,74.910004,2495300,63.239204
"778",75.779999,76.540001,75.779999,76.07,1575600,64.218475
"779",76.040001,76.400002,75.489998,75.849998,1124400,64.032745
"780",75.400002,76.169998,75.199997,75.360001,1147200,63.619087
"781",74.980003,75.900002,74.650002,75.57,1471400,63.79636
"782",76.199997,76.669998,75.739998,75.940002,1363300,64.108727
"783",76.68,76.800003,75.949997,76.410004,1389500,64.505501
"784",76.169998,76.32,75.739998,76.220001,1910300,64.345116
"785",76.470001,76.980003,76.360001,76.980003,1397900,64.986694
"786",76.610001,76.949997,76.199997,76.940002,1702200,64.952927
"787",77.029999,77.150002,76.290001,76.75,1528500,64.792526
"788",76.949997,78.480003,76.75,77.519997,2111600,65.442558
"789",76.93,77.480003,76.349998,77.059998,2509000,65.05423
"790",75.790001,75.830002,74.610001,75.07,2722400,63.374264
"791",76,78.43,73.589996,73.610001,5339300,62.141727
"792",74.080002,75.449997,72.629997,73.290001,3156500,61.871593
"793",71.870003,72,67.269997,67.550003,7202200,57.025867
"794",65.260002,66.720001,63.77,66.720001,7515600,56.32518
"795",67.650002,69.519997,66.82,69.129997,5239000,58.359703
"796",71,71.919998,68.120003,68.25,4096900,57.616814
"797",69.5,70.709999,68.889999,70.660004,2808900,59.65134
"798",69.080002,70.139999,67.690002,68.690002,3373800,57.988258
"799",66.480003,66.699997,59.889999,61.209999,6582400,51.673618
"800",48.009998,48.009998,36.369999,38.099998,18613800,32.164108
"801",41.880001,42.68,30.459999,38.029999,17038700,32.105007
"802",36.41,38.279999,34.220001,35.939999,8734900,30.340631
"803",32.209999,32.27,28,28.459999,10384900,24.025995
"804",31.129999,31.34,26.870001,30.719999,14265000,25.933895
"805",27.5,27.940001,24.629999,25.01,10466400,21.113503
"806",25.15,25.370001,20.280001,21.49,11579200,18.141907
"807",20.040001,20.299999,12.16,15.37,16012300,12.975389
"808",16.1,20.93,13.96,20.49,15640400,17.297707
"809",22.74,24.85,20.01,20.67,14406500,17.449661
"810",20.209999,20.6,18.59,19.6,8324800,16.546366
"811",22.5,22.540001,20.200001,22.049999,8129700,18.614662
"812",23.67,24.799999,20.610001,23.110001,9679600,19.509518
"813",23.450001,24.99,22.23,24.360001,8073200,20.56477
"814",23.450001,23.6,20.49,20.940001,7804100,17.677597
"815",20.57,20.6,18.540001,20.040001,8803400,16.917816
"816",20.559999,22.84,20.309999,21.809999,10287800,18.41205
"817",20.5,20.860001,19.190001,19.200001,6732200,16.208685
"818",19.98,24.719999,19.48,21.629999,9885500,18.260096
"819",22.780001,23.75,20.030001,21.639999,9613600,18.268536
"820",22,24.129999,22,23.33,7392800,19.69524
"821",25.51,26.450001,24,24.280001,8775800,20.497234
"822",25.200001,26.74,25.1,26.450001,6875900,22.329153
"823",28.59,30.290001,27.24,28.4,10657500,23.975344
"824",30.5,30.940001,27.82,29.219999,8141600,24.667591
