"","COO.Open","COO.High","COO.Low","COO.Close","COO.Volume","COO.Adjusted"
"566",298.369995,299.390015,295.549988,297.070007,365800,296.942841
"567",297.079987,297.079987,289.459991,290.730011,421500,290.60556
"568",289.589996,291.519989,288.23999,289.440002,721100,289.316101
"569",289.130005,290.040009,284.579987,290.029999,295800,289.905823
"570",288.950012,292.75,288.410004,289.459991,398500,289.33606
"571",290.100006,293.179993,288.329987,291.679993,196300,291.555115
"572",293.109985,293.109985,289.070007,291.880005,299900,291.755096
"573",292,297.220001,291.579987,292.940002,281000,292.814636
"574",294.380005,295.940002,292.869995,295.619995,222500,295.4935
"575",296.609985,297.450012,287.25,288.980011,280500,288.856293
"576",290.269989,290.269989,278.5,279.290009,417400,279.170471
"577",280.440002,284.630005,278.76001,281.220001,495500,281.099609
"578",279.950012,286.839996,279.950012,284.309998,318300,284.188324
"579",285.559998,288.589996,284.040009,286.73999,304000,286.617279
"580",287.829987,288.369995,281.75,282.459991,363800,282.339111
"581",281.040009,282.649994,279.420013,281.5,547900,281.379456
"582",283.450012,288.399994,280.429993,288.299988,352300,288.176575
"583",288.149994,289.98999,285.329987,285.890015,272300,285.767609
"584",286.940002,290.709991,285.119995,289.920013,312900,289.795898
"585",289.76001,290.920013,286.450012,287.399994,206400,287.276947
"586",287.910004,291,284.480011,290.809998,277500,290.685516
"587",290.809998,294.579987,290.540009,293.910004,266500,293.78418
"588",290.899994,296.309998,288.320007,294.76001,313600,294.63382
"589",292.420013,293.769989,286.790009,289.230011,232800,289.106201
"590",289.040009,292.440002,287.559998,290.929993,172900,290.80545
"591",289.109985,292.380005,285.690002,291.420013,202000,291.295288
"592",290.529999,292.799988,284.119995,291.790009,149000,291.665131
"593",287.119995,289.089996,284.600006,286.790009,180600,286.667267
"594",286.809998,290.179993,286.809998,287.799988,157700,287.676788
"595",287.529999,291.649994,285.5,290.76001,183800,290.635529
"596",291.040009,295.459991,290.720001,291.660004,312000,291.535126
"597",289.359985,294.670013,289.350006,292.730011,210200,292.604645
"598",291.450012,293.179993,288.950012,289.480011,201000,289.356079
"599",291.160004,293.559998,290.959991,292.51001,213300,292.384796
"600",292.880005,294.380005,292.269989,293.540009,2e+05,293.414368
"601",292.049988,293.070007,290.829987,291.929993,281700,291.805023
"602",292.799988,294.269989,290.26001,291.220001,235100,291.095337
"603",292.109985,296.579987,286.399994,286.579987,427900,286.457275
