"","ALGN.Open","ALGN.High","ALGN.Low","ALGN.Close","ALGN.Volume","ALGN.Adjusted"
"298",270,273.220001,269.98999,271.73999,854900,271.73999
"299",272.070007,277.320007,271.130005,275.609985,827100,275.609985
"300",276.559998,276.980011,267.290009,269.709991,854300,269.709991
"301",271.290009,274.070007,269.269989,272.480011,612000,272.480011
"302",272.230011,276.140015,269.76001,272.869995,719200,272.869995
"303",273.76001,274.149994,267.570007,270.410004,810100,270.410004
"304",268.649994,274.399994,262.130005,265.390015,868000,265.390015
"305",266.920013,270.670013,264.769989,270.399994,542800,270.399994
"306",270.670013,271.98999,267.200012,270.140015,578300,270.140015
"307",266.549988,269.799988,260,260.130005,714100,260.130005
"308",260.130005,265.839996,250.279999,250.919998,996900,250.919998
"309",254,261.869995,250.149994,261.519989,893500,261.519989
"310",263.980011,264.73999,245.820007,248.300003,1041700,248.300003
"311",248.520004,248.899994,241.029999,244.419998,1175000,244.419998
"312",245.979996,257.470001,243.080002,251.130005,1259400,251.130005
"313",251,254.800003,238.169998,242.690002,927800,242.690002
"314",244.009995,248.089996,240.080002,243.619995,847500,243.619995
"315",239.720001,250.020004,238.5,248.929993,752900,248.929993
"316",251.320007,259.730011,251.320007,255.350006,1096500,255.350006
"317",252.399994,255.720001,243.199997,245.229996,909700,245.229996
"318",248.369995,255.259995,247.619995,249.059998,578900,249.059998
"319",254.169998,259.959991,252.339996,258.269989,935200,258.269989
"320",255.580002,260.459991,254.529999,257.019989,490800,257.019989
"321",259.619995,264.880005,258.470001,263.76001,579300,263.76001
"322",266.220001,267.209991,259.5,261.720001,594100,261.720001
"323",264.769989,268.320007,263.019989,265.5,533600,265.5
"324",269.170013,274.519989,267.779999,272.649994,958100,272.649994
"325",274,280.230011,270.570007,277.049988,885900,277.049988
"326",265.820007,267.019989,250.270004,252.779999,2458600,252.779999
"327",253.380005,256.660004,245.410004,247.070007,1323300,247.070007
"328",248.630005,251.369995,245.009995,247.199997,846500,247.199997
"329",248.619995,251.470001,235.830002,239.660004,1267400,239.660004
"330",238.470001,245.779999,234.399994,245.630005,1298100,245.630005
"331",261.98999,266.100006,242.710007,259.890015,2927800,259.890015
"332",259.98999,260.839996,251.479996,257.899994,981700,257.899994
"333",258.630005,258.630005,249.580002,249.850006,1103500,249.850006
"334",249.210007,252.690002,247.509995,251.339996,570400,251.339996
"335",250.399994,252.929993,249.169998,249.470001,745900,249.470001
"336",249,255.410004,244.399994,255.139999,964700,255.139999
"337",251.990005,260.26001,246.380005,258.970001,1020600,258.970001
"338",259.25,267.040009,259.230011,265.029999,1186300,265.029999
"339",263.540009,266.079987,260.230011,265.459991,820800,265.459991
"340",265.48999,270.600006,265.48999,268,747000,268
"341",268.01001,280.25,267.130005,277.730011,1202500,277.730011
"342",278.290009,288.359985,277.98999,286.48999,1471600,286.48999
"343",286.98999,296.470001,284.75,286.420013,1231100,286.420013
"344",283.529999,284.26001,276.809998,283.769989,868300,283.769989
"345",283.5,292.820007,281.609985,287.959991,880800,287.959991
"346",289.519989,294.910004,287.730011,292.720001,927900,292.720001
"347",293.48999,299.459991,292.76001,298,900800,298
"348",300,304.98999,299.470001,302.459991,853700,302.459991
"349",305.959991,306.109985,294,297.859985,856100,297.859985
"350",297.859985,308.670013,297.170013,308.200012,1243400,308.200012
"351",310.130005,318.589996,308.01001,317.040009,1354300,317.040009
"352",318.079987,322.670013,316.380005,318.540009,1268100,318.540009
"353",318.190002,326.820007,317.859985,326.179993,1027800,326.179993
"354",327.920013,333.339996,327.230011,331.450012,903300,331.450012
"355",331.700012,338.5,330.209991,331.950012,1421700,331.950012
"356",333.170013,335.350006,325.279999,333.089996,1081700,333.089996
"357",335.540009,343.880005,333.220001,343.200012,794600,343.200012
"358",343.209991,346.549988,341.540009,346.079987,925200,346.079987
"359",347.25,347.970001,342.829987,346.369995,768000,346.369995
"360",346.859985,347.850006,333.299988,339.320007,1225400,339.320007
"361",337.029999,347.440002,333,346.670013,774400,346.670013
"362",345.279999,349.790009,343.720001,348.440002,635000,348.440002
"363",349.600006,355.980011,349.290009,354.25,861900,354.25
"364",356,365.76001,354.589996,363.48999,1231800,363.48999
"365",364.350006,370.470001,363.700012,366.269989,872400,366.269989
"366",364.809998,366.890015,358.269989,362.660004,1143500,362.660004
"367",361.01001,371.549988,357.109985,370.100006,874700,370.100006
"368",366.200012,369.079987,358.670013,365.23999,847500,365.23999
"369",368.01001,369.200012,362.690002,364.700012,794200,364.700012
"370",365.660004,369,359.149994,359.600006,1019500,359.600006
"371",361.570007,363.959991,347.149994,353.269989,1296500,353.269989
"372",350,350.470001,341.279999,346.299988,1174100,346.299988
"373",349.269989,357.690002,348.299988,352.420013,939900,352.420013
"374",352.420013,356.470001,342.26001,342.779999,1009800,342.779999
"375",340.570007,345.899994,334.440002,343.799988,1262200,343.799988
"376",345.709991,346.130005,341.700012,342.140015,937600,342.140015
"377",334.899994,341.049988,332.01001,340.279999,1047100,340.279999
"378",341.100006,344.519989,337.109985,338.679993,475400,338.679993
"379",342.179993,343.230011,333.570007,341.380005,737500,341.380005
"380",341.390015,349.700012,338.799988,347.470001,641600,347.470001
"381",350.579987,354.119995,345.440002,348.970001,784900,348.970001
"382",350,352.829987,347.25,351.450012,594600,351.450012
"383",346.980011,352.399994,345.5,348.869995,433400,348.869995
"384",350.309998,363.040009,350.309998,362.820007,810200,362.820007
"385",364,368.970001,361.290009,363.450012,734000,363.450012
"386",365,366.320007,358.019989,362.279999,400600,362.279999
"387",359.589996,371.049988,357.459991,370.529999,558900,370.529999
"388",373.859985,375.329987,367.809998,372.309998,452100,372.309998
"389",369.880005,373.48999,365,370.320007,560000,370.320007
"390",371.059998,378.980011,369.579987,375.380005,755500,375.380005
"391",375.5,385,368.73999,377.5,722100,377.5
"392",378.959991,384.75,369.76001,372.589996,937400,372.589996
"393",374.690002,383.459991,373,381.769989,975500,381.769989
"394",377.609985,380,354.73999,363.019989,1834800,363.019989
"395",364.51001,365.549988,349.130005,353.769989,837800,353.769989
"396",353.5,356.029999,341.23999,348.579987,1262800,348.579987
"397",348.880005,358.559998,341.910004,356.649994,1286200,356.649994
"398",356.649994,361.290009,352.600006,353.700012,871200,353.700012
"399",351,369.019989,350.51001,367.920013,803900,367.920013
"400",368.519989,369.48999,356.130005,363.51001,712900,363.51001
"401",362.109985,370.450012,362.109985,369.549988,526700,369.549988
"402",369.549988,373.660004,365,365.579987,615900,365.579987
"403",366.130005,367.350006,363.309998,366.209991,462400,366.209991
"404",366.809998,371.609985,363.5,366.869995,529800,366.869995
"405",363.709991,369.670013,362.480011,364.529999,389700,364.529999
"406",364.480011,369.040009,361.540009,362.279999,364600,362.279999
"407",361.279999,368.799988,361.279999,368.660004,559600,368.660004
"408",366.730011,368.48999,349.799988,350.450012,1074700,350.450012
"409",353,355,344.350006,351.200012,950500,351.200012
"410",350.109985,358.709991,342.299988,357.299988,998200,357.299988
"411",358,358.920013,351.880005,352.279999,528900,352.279999
"412",353.01001,357.399994,351.519989,355.890015,518200,355.890015
"413",354.019989,362.200012,352.390015,361.359985,573500,361.359985
"414",361,366.720001,360.929993,363.589996,570700,363.589996
"415",365.089996,370.559998,363.269989,367.600006,614300,367.600006
"416",370,383.700012,369.119995,381.869995,941300,381.869995
"417",382.559998,390.190002,378.160004,382.25,920000,382.25
"418",384.399994,391.25,382.26001,385.429993,709400,385.429993
"419",383.079987,391.369995,383,387.049988,502400,387.049988
"420",388.429993,392.690002,384.51001,386.48999,541900,386.48999
"421",386.640015,388.899994,381.109985,385.329987,525700,385.329987
"422",384.920013,384.920013,366.079987,372.910004,1028200,372.910004
"423",373.549988,376.609985,367.089996,370.820007,671300,370.820007
"424",368.76001,374.519989,365.200012,368.640015,515400,368.640015
"425",370.890015,376.48999,367.410004,374.779999,550900,374.779999
"426",373.359985,382.980011,371,382.799988,603200,382.799988
"427",382.899994,385.23999,374.23999,381.829987,527400,381.829987
"428",383.869995,388.790009,377.549988,379.640015,553100,379.640015
"429",383.309998,391.600006,381.98999,390.160004,746400,390.160004
"430",390.540009,393.980011,377.559998,378.369995,754400,378.369995
"431",378.380005,386.890015,378.380005,385.959991,475100,385.959991
"432",386.399994,388.670013,377.140015,379.940002,552200,379.940002
"433",381.190002,385.480011,375.929993,379.839996,626800,379.839996
"434",381.839996,384.23999,378.429993,380.839996,785800,380.839996
"435",379,391.920013,377.309998,388.959991,475400,388.959991
"436",390,398.880005,389.079987,392.980011,613200,392.980011
"437",392.730011,395.160004,386.040009,389.230011,591500,389.230011
"438",391,395.160004,387.679993,389.970001,447000,389.970001
"439",389.850006,395.230011,387.959991,391.220001,495700,391.220001
"440",393.359985,397.850006,390,391.519989,615700,391.519989
"441",390.519989,390.519989,374.559998,376.170013,892100,376.170013
"442",379.940002,381,372.470001,375.26001,879800,375.26001
"443",373.570007,375.140015,355.380005,357.890015,1277100,357.890015
"444",356.200012,364.790009,345.23999,353.109985,1301600,353.109985
"445",350.119995,352.950012,333.079987,342.869995,1379000,342.869995
"446",341.589996,346.769989,336.019989,340.970001,1025400,340.970001
"447",336.279999,336.619995,315.329987,316.029999,1670200,316.029999
"448",312.299988,325.369995,309.179993,312.859985,1588400,312.859985
"449",326.130005,329.179993,317.119995,327.5,1478700,327.5
"450",326.529999,327.480011,316.420013,317.429993,1120000,317.429993
"451",321.25,335.339996,320.649994,334.940002,1123700,334.940002
"452",338.809998,339.950012,329.01001,332.829987,706900,332.829987
"453",331.850006,333.220001,317.519989,323.059998,834700,323.059998
"454",326.290009,327.709991,310.459991,312.790009,1335200,312.790009
"455",313.700012,318.01001,306.01001,314.220001,1272400,314.220001
"456",305.899994,313.299988,295.779999,311.690002,1263300,311.690002
"457",311.079987,315.980011,290.209991,290.829987,2090000,290.829987
"458",231.229996,235.5,203.119995,232.070007,8520300,232.070007
"459",228,237.589996,218.009995,230.130005,4629400,230.130005
"460",234.759995,235.490005,212.020004,217.940002,2542500,217.940002
"461",216.800003,225.619995,215,223.009995,1850400,223.009995
"462",226.490005,229.759995,220.259995,221.199997,1603700,221.199997
"463",222.270004,231.380005,220.539993,230.949997,1557900,230.949997
"464",233.529999,239.479996,227.020004,229.75,2215600,229.75
"465",227.770004,229.639999,221.539993,228.119995,1315100,228.119995
"466",227.5,231.229996,225.429993,229.369995,954900,229.369995
"467",231.720001,248.5,230.770004,245.309998,2228100,245.309998
"468",245.539993,246.800003,240.949997,245.669998,1431200,245.669998
"469",243.419998,244.619995,226.369995,235.960007,2022900,235.960007
"470",231.970001,232.990005,214.619995,217.289993,1601200,217.289993
"471",219,225.210007,217.300003,219.320007,1400300,219.320007
"472",221.899994,225.190002,217.350006,219.990005,1026200,219.990005
"473",219.520004,223.449997,216.009995,222.770004,958200,222.770004
"474",220.759995,228.800003,218.710007,225.410004,1061200,225.410004
"475",223.850006,223.949997,203.699997,204.429993,1804400,204.429993
"476",189.029999,212.820007,188.570007,210.100006,3432600,210.100006
"477",213.940002,219.75,212.240005,215.720001,1130600,215.720001
"478",214.880005,220.559998,214.210007,218.869995,539300,218.869995
"479",221.919998,229.369995,221.100006,223.380005,1076400,223.380005
"480",221.789993,225.389999,219.630005,220.710007,1416300,220.710007
"481",222.25,236.350006,222.020004,235.589996,1375100,235.589996
"482",234.529999,235.5,224.130005,228.699997,1157100,228.699997
"483",227.690002,232.970001,224.720001,229.889999,1206200,229.889999
"484",234.399994,235.919998,228,235.699997,1372400,235.699997
"485",234.220001,234.360001,218.309998,220.949997,1542000,220.949997
"486",211.110001,219.380005,210.110001,219.339996,1413500,219.339996
"487",217.389999,220.399994,208.869995,210.279999,1000200,210.279999
"488",209.789993,218.169998,208.990005,216.660004,1081300,216.660004
"489",220.070007,223.800003,218.020004,220.270004,1099200,220.270004
