"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"976",358.950012,359.579987,351.01001,356.820007,2790100,351.754669
"977",352.390015,353.359985,347.5,352.100006,2557600,347.101654
"978",353.429993,354.049988,343.089996,344.51001,2722500,339.619415
"979",342.290009,343.070007,334.329987,337,3935600,332.216003
"980",335,337.660004,331.709991,334.700012,3702000,329.948669
"981",335.549988,336.26001,331.589996,335.059998,2535700,330.303528
"982",336.179993,340,334.429993,336.01001,3759700,331.240082
"983",338.820007,338.820007,329.140015,333.190002,3145100,328.460114
"984",333.529999,338.899994,331.839996,337.940002,1558600,333.1427
"985",335.109985,337.940002,330.290009,336.339996,5265700,331.565399
"986",344.769989,354.100006,339.929993,341.190002,3817700,336.346558
"987",341.769989,351.829987,341.5,347.559998,2864300,342.626099
"988",347.899994,352.769989,346.48999,348.679993,4169200,343.730225
"989",346,351.470001,345.75,349.890015,3255100,346.164032
"990",348.720001,349.890015,345.220001,347.859985,2999400,344.155579
"991",344.75,349.899994,344.079987,347.859985,2471200,344.155579
"992",348.890015,349.410004,341.609985,344.410004,2600400,340.742371
"993",345.160004,345.459991,339.26001,339.649994,2896900,336.033051
"994",338.130005,338.880005,334.329987,337.070007,3071700,333.48053
"995",340.029999,343.230011,335.859985,336.130005,2479000,332.550537
"996",339.140015,341.01001,337.040009,339.670013,2616500,336.052887
"997",336.829987,341.660004,334.26001,339.339996,2365600,335.726349
"998",339.809998,342.600006,337.309998,341.670013,2525700,338.031525
"999",342.519989,342.609985,334,338.380005,8742700,334.776581
"1000",332.070007,336.950012,329.399994,336.079987,2892700,332.501068
"1001",335.160004,336.980011,333.470001,335.01001,2069700,331.442474
"1002",336.48999,341.649994,336.029999,337.589996,2348100,333.994965
"1003",336.440002,341.410004,336.440002,340.790009,1360600,337.16095
"1004",343.209991,347.790009,343.059998,345.950012,2308200,342.265991
"1005",347.98999,351.290009,345,347.350006,2275700,343.651062
"1006",347.079987,349.01001,344.470001,344.98999,1866000,341.316162
"1007",345.040009,351.089996,344.049988,350.679993,1969000,346.945587
