"","HII.Open","HII.High","HII.Low","HII.Close","HII.Volume","HII.Adjusted"
"488",201,204,195.669998,199.559998,649000,188.599579
"489",202.660004,203.630005,198.350006,200.610001,417900,189.591934
"490",202.789993,207.080002,201.949997,202.639999,339300,191.510406
"491",202.679993,202.679993,198.259995,199.690002,401200,188.722427
"492",197.369995,201.789993,196.960007,198.300003,427300,187.408783
"493",197.770004,202.110001,195.539993,197.360001,403300,186.520416
"494",198.5,201.509995,196.300003,197.089996,395300,186.265244
"495",196.039993,199.839996,187.679993,188.75,496500,178.38327
"496",187.429993,193,182.850006,185.220001,446500,175.047165
"497",183.880005,187.089996,179.440002,179.559998,832800,169.698013
"498",177.669998,180.080002,173.800003,177.029999,341400,167.306992
"499",177.869995,184.029999,174.389999,183.759995,430300,173.667343
"500",179.889999,187.570007,179.539993,187.570007,478500,177.268097
"501",188.75,191.070007,186.839996,188.169998,413800,177.835144
"502",188.869995,192.369995,188.869995,190.309998,472200,179.857605
"503",187.619995,192.899994,186.720001,192.559998,353400,181.984039
"504",191.479996,191.699997,187.130005,188.839996,486500,178.468338
"505",191.910004,196.720001,191.679993,195.520004,323100,184.781479
"506",194.929993,198.179993,192.279999,195.990005,421700,185.225647
"507",198.279999,198.800003,193.240005,194.669998,485400,183.978149
"508",195,195,190,192.300003,607300,181.738297
"509",192,192.809998,189.070007,192.529999,649000,181.955704
"510",192,194.770004,189.380005,194.520004,606800,183.83638
"511",193.300003,197.029999,192.100006,196.029999,685600,185.263428
"512",195.720001,198.089996,194.820007,197.490005,437400,186.64328
"513",196.869995,197.490005,193.789993,195.570007,354000,184.82872
"514",194.020004,199.110001,194.020004,197.119995,320500,186.293579
"515",198,201.649994,198,200.289993,316700,189.289459
"516",199.559998,199.570007,195.089996,196.5,354500,185.707642
"517",194.330002,199.960007,193.529999,196.610001,252600,185.8116
"518",197.279999,200.570007,196.190002,199.050003,195400,188.117584
"519",201.210007,204.529999,200.610001,202.080002,268400,190.981186
