"","HUM.Open","HUM.High","HUM.Low","HUM.Close","HUM.Volume","HUM.Adjusted"
"294",268.23999,271.019989,265.820007,270.589996,689000,263.528961
"295",270.579987,273.470001,267.600006,273.109985,768200,265.983276
"296",271.290009,273.809998,269.950012,273.290009,765500,266.1586
"297",269.049988,273,265.029999,269.519989,1741400,262.486969
"298",270.380005,275.660004,267.01001,272.5,1080100,265.389221
"299",271.089996,272.48999,266.920013,268.209991,1050700,261.211121
"300",270.25,270.880005,268.040009,269.980011,888500,262.934998
"301",270.179993,271.910004,269.059998,270.5,740200,263.441376
"302",271.220001,273.049988,269.660004,271.089996,811600,264.016022
"303",271.660004,273.940002,270.929993,272.730011,2128200,265.61319
"304",272.420013,274.089996,268.480011,269.980011,1217400,262.934998
"305",270.640015,275.920013,268.980011,273.600006,1049200,266.460419
"306",273.839996,275.269989,270.48999,270.809998,1178700,263.743347
"307",270,270,265.549988,265.720001,955800,258.786102
"308",265.5,267.75,261.350006,261.600006,819000,254.773651
"309",263.040009,268.450012,262.640015,268.100006,929700,261.104004
"310",269.5,271.670013,266.040009,267.649994,908600,260.665802
"311",267.790009,269.109985,264.980011,267.549988,925800,261.056091
"312",268.5,271.450012,263.029999,268.829987,1176200,262.304932
"313",282.059998,290.529999,277,280.700012,3364800,273.886871
"314",281.070007,285.130005,279.75,282.470001,1342700,275.613861
"315",280.519989,287.950012,279.399994,286.98999,1096000,280.02417
"316",287,288.630005,284.01001,287.290009,746200,280.316956
"317",286.959991,287.369995,279.850006,283.730011,697900,276.843292
"318",284.98999,287.5,284.23999,285,696000,278.082489
"319",287.850006,288.640015,284.670013,286.839996,456900,279.877869
"320",285.019989,286.350006,281.390015,282.279999,559800,275.428497
"321",283.600006,286.679993,282.089996,285.559998,589800,278.628906
"322",287.179993,288.950012,286.25,287.619995,411000,280.638885
"323",290,291.929993,288.980011,289.950012,979500,282.912354
"324",294.380005,297.399994,293.269989,296.290009,1190500,289.098511
"325",297.25,299.670013,296.049988,298.299988,831300,291.059723
"326",297.600006,298.51001,293.589996,295,451500,287.839783
"327",295.540009,296.540009,292.600006,294.119995,675200,286.98114
"328",294.329987,296.619995,293.019989,294.5,458400,287.351959
"329",294.51001,298.23999,291.940002,293.950012,457600,286.815338
"330",293.820007,298.230011,291.940002,297.390015,494400,290.171844
"331",297.809998,298.25,293.5,296.230011,456100,289.039978
"332",295.899994,297.769989,295.329987,296.890015,372400,289.68396
"333",297.5,299.850006,294.079987,294.179993,624100,287.039703
"334",294.170013,297.070007,292.600006,295.190002,692500,288.025146
"335",288,291.51001,282.769989,287.670013,1366600,280.687775
"336",286.880005,288.829987,280.720001,286.679993,1113500,279.721771
"337",285.920013,288.029999,282.170013,287.390015,806400,280.414551
"338",288,288.75,283.160004,283.769989,900200,276.882324
"339",286.670013,287.179993,277.359985,278.809998,949800,272.042816
"340",278.709991,278.709991,268.880005,273.25,1566200,266.617706
"341",273.410004,282.309998,272.399994,281.899994,1052700,275.0578
"342",281.899994,285.369995,279.079987,284.720001,651500,277.809296
"343",284.950012,289.769989,284.309998,289.630005,740500,282.600189
"344",288.720001,290.940002,287.820007,290.410004,737900,283.361206
"345",290.5,291.359985,288.73999,289.820007,477200,282.785461
"346",290.440002,292.26001,289.540009,290.920013,402300,283.858856
"347",291.589996,293.25,289.76001,292.869995,448200,285.761505
"348",293.700012,295.380005,292.51001,294.640015,397700,287.488495
"349",294.660004,295.200012,291.660004,292.390015,731600,285.293121
"350",291.790009,292.579987,289.089996,291.890015,405300,284.805267
"351",292.25,295.079987,291.369995,293.690002,572000,286.561584
"352",294,295.970001,293.769989,294.410004,381500,287.26416
"353",292.790009,294.070007,289.109985,292.359985,411800,285.263824
"354",292.910004,297.73999,292,296.380005,416300,289.186279
"355",295.160004,295.160004,290.109985,290.980011,892400,283.917419
"356",292.25,292.700012,287.619995,289.679993,515300,282.648895
"357",290.649994,294.390015,290,294.140015,383800,287.000702
"358",294.390015,295.890015,292.26001,293.940002,397500,286.805481
"359",293.76001,296.209991,292.420013,295.329987,483500,288.161774
"360",296.630005,297.950012,295.109985,296.399994,373400,289.20575
"361",296.549988,298.049988,295.25,297.890015,304100,290.659668
"362",298.459991,301.809998,297.140015,301.48999,384400,294.172272
"363",301.5,306.320007,299.059998,305.910004,834300,298.485016
"364",308.200012,309.190002,305.119995,306.410004,740200,298.972839
"365",305.839996,308.299988,303.230011,304.429993,456800,297.041016
"366",304.450012,307.720001,301.98999,306.950012,721500,299.499756
"367",306.440002,309.100006,303.390015,305.100006,482900,297.694672
"368",302.940002,304.109985,298.73999,299.809998,582500,292.533081
"369",300.190002,301.5,299.279999,300.25,443100,292.962341
"370",300.450012,300.779999,295.820007,298.670013,804900,291.420776
"371",298.769989,301,296.519989,299.980011,582400,292.698944
"372",301.429993,302.5,297.230011,299.829987,628400,292.552521
"373",299.820007,300.459991,296.630005,296.790009,902900,289.586365
"374",296.200012,301.109985,295,298.790009,453000,291.537872
"375",296.799988,297.559998,293.029999,296.98999,562600,290.267212
"376",296.720001,301.73999,296.299988,297.630005,486500,290.892731
"377",296.890015,299.630005,293.579987,298.799988,366400,292.036224
"378",300,302.209991,298.26001,300.850006,344800,294.039795
"379",302.100006,306.51001,300.070007,306.160004,473800,299.229675
"380",307.01001,309.51001,306.690002,309.019989,645900,302.024902
"381",309.51001,313.73999,309.51001,313.070007,542200,305.983246
"382",314.01001,315,312.100006,312.429993,706900,305.357635
"383",312.429993,318.399994,311.339996,315.929993,675000,308.778534
"384",318.350006,319.440002,314.380005,315.709991,603500,308.563477
"385",315.730011,318.429993,315.25,317.119995,462200,309.941589
"386",316.640015,317.730011,313.380005,315.679993,520500,308.534119
"387",312.559998,314.359985,307.850006,313.890015,690800,306.784637
"388",314.089996,318.670013,313.98999,317.01001,408800,309.834045
"389",317.5,319.899994,316.209991,318.399994,456100,311.192566
"390",316.850006,319.25,316.75,317.809998,458600,310.615936
"391",318.529999,321.269989,317.369995,317.859985,605300,310.664795
"392",318.549988,320.040009,313.920013,314.959991,659000,307.830444
"393",315.779999,316.920013,313.369995,316.570007,710800,309.403992
"394",317.799988,319.920013,316.880005,319.109985,755400,311.886536
"395",320.320007,320.48999,314.709991,315.100006,574500,307.967316
"396",314.5,316.470001,311.929993,313,700500,305.914825
"397",314.070007,316.980011,313.75,314.179993,845900,307.068115
"398",314.630005,327.440002,314.48999,318.140015,1281500,310.938446
"399",318.600006,322.670013,318.600006,321.700012,650300,314.417938
"400",322.549988,324.940002,320.51001,324.109985,453800,316.773346
"401",323.959991,325.160004,322.160004,323.089996,414800,315.776398
"402",322.690002,323.209991,320.609985,321.790009,474800,314.50589
"403",322.690002,326.429993,322.690002,324.220001,393700,316.88089
"404",324.140015,327.5,322.899994,323.709991,341500,316.382294
"405",322.140015,325.540009,322.140015,325.040009,380600,317.682281
"406",325.529999,326.329987,323.290009,324.070007,306400,316.734253
"407",324.290009,330.959991,324.290009,329.339996,423000,321.884949
"408",328.700012,329.170013,325.519989,326.100006,381800,318.718323
"409",326.950012,331.089996,326.350006,330.079987,410700,322.608185
"410",330.809998,330.809998,324.25,324.619995,516000,317.27179
"411",324.519989,326.790009,322.059998,326.390015,368300,319.00174
"412",326.070007,326.440002,323.880005,325.970001,326400,318.591187
"413",326.23999,327.690002,323.670013,324.179993,362300,316.841766
"414",324.880005,331.519989,324.140015,329.049988,510600,321.601532
"415",329.320007,332.720001,328,331.440002,292900,323.937408
"416",332.040009,332.709991,330.549988,332.369995,291600,324.846344
"417",332.850006,333.75,330.579987,333.23999,272000,325.696655
"418",333.869995,335.619995,333.769989,334.559998,496900,326.986755
"419",334.839996,334.98999,331.529999,332.369995,314400,324.846344
"420",331.609985,333.920013,331.429993,333.26001,474700,325.716156
"421",333.470001,336.48999,332.559998,333.089996,458000,325.550018
"422",333.200012,334.649994,332.269989,332.880005,534700,325.344849
"423",332.709991,335.640015,331.350006,333.880005,683200,326.322144
"424",333.980011,337.559998,333.980011,337.130005,381500,329.498596
"425",337.179993,337.179993,327.339996,328.700012,457200,321.25943
"426",328.329987,333.079987,328.01001,332.880005,452700,325.344849
"427",332.029999,333.399994,329.570007,331.570007,452200,324.064484
"428",334.559998,338.380005,332.019989,337.929993,364200,330.280518
"429",339.220001,339.880005,336.799988,337.23999,395100,329.606079
"430",336.869995,338.440002,333.23999,334.040009,538400,326.478577
"431",333,336.929993,332.179993,335.98999,398800,328.384399
"432",337.73999,337.799988,334.720001,335.799988,369800,328.19873
"433",337.179993,338.220001,335.369995,337.660004,430200,330.016602
"434",338.299988,338.959991,337.25,337.76001,827100,330.114349
"435",337.109985,341.299988,336.429993,340.609985,516500,332.899811
"436",340.869995,341.070007,332.970001,333.820007,649200,326.263489
"437",334.5,335.869995,330.549988,332.910004,550100,325.374054
"438",333.429993,335.5,333.25,335.079987,336000,327.987549
"439",335.299988,338.880005,334.420013,338.519989,782400,331.354797
"440",340.130005,340.920013,337,338.429993,420200,331.266785
"441",337.959991,338.799988,334.179993,336.390015,422300,329.269928
"442",336.970001,337.190002,330.670013,332.630005,743100,325.589539
"443",332.549988,333.26001,330.540009,331.220001,460700,324.209381
"444",331.76001,334.049988,330.660004,331.140015,398800,324.131073
"445",330.970001,334.339996,329.149994,333.660004,450200,326.597656
"446",333.809998,337.890015,333.809998,335.140015,652100,328.046326
"447",335.179993,337,328.450012,328.799988,605000,321.840515
"448",327.859985,329.140015,318.980011,319.910004,757800,313.138702
"449",322.890015,325.519989,315.559998,318.350006,797200,311.611755
"450",317.950012,319.950012,316.329987,317.01001,597900,310.300079
"451",321.660004,328.880005,320.290009,328.350006,370200,321.400085
"452",327.450012,332.109985,322.019989,328.079987,354000,321.135742
"453",329.029999,332.640015,327.940002,332.309998,499300,325.276245
