"","URI.Open","URI.High","URI.Low","URI.Close","URI.Volume","URI.Adjusted"
"334",149.210007,151.199997,145.929993,148.639999,1859000,148.639999
"335",149.050003,152,148.699997,149.289993,1261800,149.289993
"336",148.960007,150.419998,145.339996,149.800003,1420300,149.800003
"337",149.600006,154.240005,148.080002,153.229996,1112700,153.229996
"338",154.509995,161.740005,154.440002,159.490005,2258900,159.490005
"339",158.639999,161,157.949997,159.330002,1510900,159.330002
"340",160.360001,162.839996,159.449997,162.320007,1180800,162.320007
"341",163.779999,167.160004,163.119995,166.360001,1335500,166.360001
"342",167.139999,168.539993,165.570007,166.889999,844900,166.889999
"343",167.789993,167.929993,165.070007,165.559998,918300,165.559998
"344",164.899994,166.5,164,165.550003,810900,165.550003
"345",165.399994,170.470001,165.389999,169.479996,1061300,169.479996
"346",169.389999,171.389999,168.399994,170.360001,842100,170.360001
"347",170.449997,172.399994,169.539993,169.820007,804900,169.820007
"348",171.440002,174.589996,170.520004,173.779999,818800,173.779999
"349",174,175.419998,166.539993,166.779999,1127000,166.779999
"350",165.399994,167.830002,163.639999,167.770004,1213600,167.770004
"351",166,168.839996,164.5,167.410004,928900,167.410004
"352",166.619995,166.830002,161.059998,161.940002,1284800,161.940002
"353",160.25,162.850006,159.289993,160.460007,835700,160.460007
"354",161.589996,163.320007,159.880005,162.369995,893100,162.369995
"355",162.149994,162.149994,159.080002,159.570007,1261200,159.570007
"356",161.199997,165.419998,160.679993,163.270004,1153700,163.270004
"357",163.550003,164.460007,160.820007,161.350006,908100,161.350006
"358",161.770004,164.419998,161.570007,163.919998,713100,163.919998
"359",164.830002,165.809998,163.440002,164.850006,1079700,164.850006
"360",165.509995,167.75,164.380005,166.220001,1037900,166.220001
"361",165.529999,166.889999,164.880005,166.800003,533700,166.800003
"362",166.550003,168.800003,166.070007,167.929993,566300,167.929993
"363",168.399994,172.570007,168.169998,169.800003,954600,169.800003
"364",169.770004,169.809998,166.539993,166.639999,725800,166.639999
"365",166.690002,168.75,163.949997,164.460007,866200,164.460007
"366",162.300003,163.110001,158.630005,160.850006,1866600,160.850006
"367",159.119995,163.800003,158.630005,163.320007,983900,163.320007
"368",160.720001,161.139999,156.320007,159.389999,1443700,159.389999
"369",160.259995,162,158.339996,161.690002,897900,161.690002
"370",160.399994,160.490005,152.020004,153.179993,2113300,153.179993
"371",157.949997,160.809998,154.5,154.949997,2398700,154.949997
"372",153.5,153.5,145.919998,148.149994,2172300,148.149994
"373",149.110001,149.759995,146.320007,147.479996,1626200,147.479996
"374",148.589996,151.970001,146.460007,146.570007,1544300,146.570007
"375",146.289993,147.910004,143.399994,147.470001,1093100,147.470001
"376",148.399994,151.470001,147.449997,147.619995,1530000,147.619995
"377",144.639999,146.429993,142.610001,144.75,1096400,144.75
"378",146.139999,148.589996,144.949997,145.149994,644000,145.149994
"379",146.550003,148.759995,145.139999,148.5,1365100,148.5
"380",148.660004,151.360001,147.5,149.529999,1047200,149.529999
"381",150.679993,155.5,150.350006,155.110001,1153500,155.110001
"382",158.389999,158.910004,153.029999,154.289993,1743500,154.289993
"383",151.740005,153.929993,151.470001,151.690002,1038000,151.690002
"384",153.479996,153.839996,150.240005,152.309998,1074300,152.309998
"385",154.199997,156.080002,153.679993,154.830002,1115400,154.830002
"386",154.330002,154.75,151.179993,151.75,1429900,151.75
"387",150.759995,153.270004,150.070007,152.210007,1262400,152.210007
"388",153.610001,155.770004,151.610001,154.910004,2483500,154.910004
"389",150.070007,156.690002,150,156.570007,3005100,156.570007
"390",155.470001,156.399994,150.839996,151.110001,1808500,151.110001
"391",150.990005,151.529999,147.419998,149.320007,1751000,149.320007
"392",150.820007,151.880005,146.320007,147.940002,1477000,147.940002
"393",146.949997,147.649994,143.330002,146.360001,1634500,146.360001
"394",146.229996,152.300003,146.220001,150.970001,1394400,150.970001
"395",151.759995,152.300003,146.350006,147.309998,1075700,147.309998
"396",148,149.389999,145.089996,145.449997,1065600,145.449997
"397",146.199997,149.550003,146.199997,148.800003,1504800,148.800003
"398",148.740005,149.149994,145.589996,146.860001,1288600,146.860001
"399",145.470001,148.020004,144.089996,147.130005,890300,147.130005
"400",147.899994,148.5,146.360001,148.410004,817900,148.410004
"401",148.199997,151.729996,148.059998,151.320007,1034300,151.320007
"402",152.070007,154.300003,151.880005,154.020004,1344900,154.020004
"403",153.440002,153.720001,151.75,151.850006,758300,151.850006
"404",152.039993,152.910004,150.600006,150.759995,549100,150.759995
"405",149.259995,150.160004,147.300003,148.589996,703400,148.589996
"406",148.619995,149.990005,147.259995,148.179993,786100,148.179993
"407",148.619995,152.529999,148.5,151.210007,987600,151.210007
"408",149.470001,149.589996,144.5,146.869995,1351600,146.869995
"409",148.389999,150.479996,148.259995,148.990005,649100,148.990005
"410",149,150.990005,148.690002,150.509995,620300,150.509995
"411",150.649994,156.190002,150.559998,154.440002,1066900,154.440002
"412",154.949997,159.570007,154.949997,157.940002,1271100,157.940002
"413",157.360001,159.059998,156.509995,157.320007,781100,157.320007
"414",156.639999,156.919998,153.869995,154.130005,505300,154.130005
"415",155.169998,156.770004,154.399994,156.169998,533200,156.169998
"416",157.300003,160.050003,156.449997,159.309998,1095300,159.309998
"417",160,161.479996,157.699997,158.479996,746300,158.479996
"418",158.789993,160.279999,156.520004,159.770004,637500,159.770004
"419",159.320007,159.320007,156.139999,156.679993,807400,156.679993
"420",156.029999,156.75,155.330002,155.869995,826100,155.869995
"421",155.869995,159,155.050003,158.100006,1119000,158.100006
"422",157.160004,158.509995,155.940002,156.619995,1088400,156.619995
"423",157.320007,157.979996,151.419998,153.820007,1341300,153.820007
"424",152.630005,153.470001,150.770004,152.300003,938700,152.300003
