"","SBAC.Open","SBAC.High","SBAC.Low","SBAC.Close","SBAC.Volume","SBAC.Adjusted"
"89",129.800003,130.199997,128.960007,129.190002,811700,127.020195
"90",128.630005,129.190002,127.199997,127.720001,1513200,125.57489
"91",127.529999,128.229996,126.82,127.529999,1174700,125.388077
"92",128.029999,130.809998,127.309998,130.410004,1395500,128.219727
"93",130.720001,132.619995,130.259995,130.770004,1024000,128.573654
"94",130.039993,136.339996,130.039993,134.080002,2640800,131.828079
"95",133.100006,133.190002,126.830002,132,2084900,129.783005
"96",131.789993,133.429993,130.850006,132.800003,855200,130.569565
"97",132.550003,134.419998,131.820007,133.830002,595300,131.582245
"98",134.300003,134.690002,133.75,134.309998,583700,132.054199
"99",134.520004,134.889999,134.009995,134.070007,578000,131.818268
"100",134.75,137.029999,134.179993,135.550003,1098000,133.273392
"101",135.5,136.139999,135.020004,136.020004,665200,133.735489
"102",136.020004,138.25,136.020004,137.979996,1858200,135.662582
"103",138.259995,140.380005,137.460007,138.179993,1692600,135.859192
"104",138.300003,138.809998,137.520004,138.25,750600,135.928024
"105",139.270004,139.75,138.300003,138.690002,826700,136.360641
"106",138.119995,139.399994,137.770004,137.929993,705600,135.613403
"107",137.910004,138.770004,136.820007,136.990005,1197900,134.689209
"108",137.610001,137.630005,134.710007,135.899994,1064900,133.617477
"109",135.949997,136.320007,133.009995,134.270004,1311500,132.014877
"110",135.289993,135.639999,133.289993,134.300003,924800,132.044373
"111",132.279999,132.979996,129.399994,132.419998,1170900,130.195938
"112",133.460007,133.479996,131.580002,132.050003,1119800,129.832184
"113",133.059998,134.889999,132.520004,132.910004,966500,130.677704
"114",132.410004,132.970001,131.720001,132.220001,692300,129.999298
"115",132.059998,133.869995,132.059998,133.050003,964700,130.815369
"116",133,133.660004,132.619995,132.960007,677600,130.726898
"117",132.960007,133.800003,131.259995,131.559998,894100,129.350403
"118",131.559998,132.130005,130.740005,131.080002,742700,128.878433
"119",131.320007,132.320007,130.940002,131.240005,580300,129.035751
"120",131.330002,132.869995,131.320007,131.910004,2864600,129.694519
"121",132.679993,133.649994,132.210007,132.800003,723300,130.569565
"122",135.050003,138.550003,134.979996,135.740005,1640600,133.460175
"123",135.710007,135.800003,133.979996,134.350006,979800,132.093536
"124",133.729996,134.949997,132.960007,134.520004,860000,132.260681
"125",134.610001,135.850006,134.009995,134.899994,1076500,132.634308
"126",135.050003,135.679993,133.699997,134.279999,648200,132.024704
"127",134.050003,135.350006,133.669998,134.410004,580300,132.152557
"128",134.050003,135.070007,133.699997,134.360001,925400,132.103363
"129",134.419998,137.020004,134.419998,136.679993,1045200,134.384399
"130",137.169998,137.419998,134.229996,134.490005,924000,132.231201
"131",134.259995,135.490005,133.270004,133.600006,794700,131.35614
"132",134.649994,137.100006,134.649994,136.25,692500,133.961639
"133",136.410004,136.759995,135.419998,135.910004,297600,133.627335
"134",137.059998,137.610001,135.899994,136.490005,704800,134.197571
"135",136.029999,136.520004,135.009995,136,1130900,133.715805
"136",136,137.970001,135.789993,137.490005,1028500,135.180786
"137",138.960007,138.960007,136.389999,138.460007,1064700,136.134521
"138",138.160004,138.990005,135.550003,135.809998,1095900,133.529022
"139",136,137.229996,135.369995,136.600006,993200,134.305756
"140",136.350006,136.699997,135.020004,136.179993,666600,133.892807
"141",136.369995,137.220001,134.729996,135.449997,830200,133.175049
"142",135.899994,136.5,135.139999,135.570007,642100,133.293045
"143",135.809998,136.830002,135.100006,136,1024600,133.715805
"144",135.619995,138.110001,135.619995,137.639999,1021000,135.328278
"145",138.330002,138.860001,136.389999,137.550003,853300,135.239777
"146",135.100006,138.839996,134.5,137.429993,1089400,135.12178
"147",137.809998,138.649994,136.979996,138,832400,135.682251
"148",138.350006,138.729996,137.350006,138.360001,1347500,136.036179
"149",138.800003,141.589996,138.179993,139.960007,1037900,137.609314
"150",139.369995,140.289993,137.910004,139.520004,535500,137.176743
"151",138.830002,139.539993,137.759995,138.220001,493900,135.898529
"152",138.369995,139.289993,137.679993,139.029999,576600,136.694931
"153",138.399994,139.679993,137.850006,139.020004,454000,136.685104
"154",139.080002,139.330002,137.169998,138.270004,733500,135.947678
"155",139.669998,141.199997,139.089996,140.490005,673700,138.130386
"156",139.919998,142.070007,138.720001,141.300003,586200,138.926804
"157",141.589996,144.100006,141.570007,143.720001,1123900,141.306168
"158",143.509995,144.809998,142.190002,142.210007,788400,139.821518
"159",142.020004,143.429993,142,142.899994,573600,140.499939
"160",142.809998,144.610001,142.300003,144.059998,493000,141.640457
"161",144.380005,145.75,144.070007,145.589996,759900,143.14473
"162",144.949997,146.479996,144.949997,146.229996,558600,143.774002
"163",146.830002,148.339996,146.339996,148.080002,992300,145.592926
"164",151.820007,152.539993,150.820007,152.100006,4331700,149.54541
"165",151.869995,153.800003,151.440002,152.360001,2211700,149.801056
"166",152.130005,153.130005,151.679993,152,1792100,149.447098
"167",151.110001,153.160004,150.75,153.039993,2149100,150.469635
"168",153.070007,154.710007,152.130005,153.550003,23507200,150.971054
"169",154.419998,154.5,150.820007,150.899994,2486900,148.36557
"170",151.970001,152.300003,150.270004,151.160004,1809600,148.621201
"171",151.839996,151.970001,150.369995,150.5,1351000,147.972305
"172",150.410004,151.220001,149.860001,150.649994,1169000,148.119766
"173",150.039993,150.399994,149.100006,149.449997,857500,146.939926
"174",149.850006,150.800003,149.279999,150.130005,1253800,147.608505
"175",149.639999,150.160004,148.330002,149.740005,1373200,147.225037
"176",149.240005,149.889999,148.020004,149.149994,1279200,146.644958
"177",148.020004,149.740005,147.679993,148.770004,1288300,146.271362
"178",148.929993,150.529999,148.300003,149.990005,1898800,147.470856
"179",150.330002,151.820007,149.970001,150.529999,974200,148.001785
"180",150.589996,150.990005,144.630005,145.419998,2382500,142.977615
"181",146.199997,147.389999,145.380005,146.080002,2256200,143.626541
"182",145.270004,146.300003,144.690002,145.009995,949000,142.574463
"183",144.75,144.970001,142.539993,142.619995,1529400,140.22464
"184",142.110001,143.259995,140.619995,141.460007,1740100,139.084137
"185",141.550003,142.979996,141.089996,142.410004,1466600,140.018158
"186",143.880005,144.570007,142.169998,142.979996,988300,140.578552
"187",142.160004,144,142.089996,143.759995,1007900,141.34549
"188",143.589996,145,143.160004,144.050003,992600,141.630646
"189",143.820007,144.850006,142.699997,142.869995,1052500,140.470428
"190",142.309998,144.539993,142.309998,143.770004,894700,141.355316
"191",144,147.789993,143.610001,147.210007,1022000,144.737549
"192",147.509995,148.330002,146.75,146.869995,1245400,144.403244
"193",146.399994,147.580002,145.160004,147.320007,575500,144.845718
"194",147.360001,148.589996,146.869995,147.729996,635400,145.24881
"195",148.479996,149.479996,148.070007,148.419998,760600,145.927216
