"","AMT.Open","AMT.High","AMT.Low","AMT.Close","AMT.Volume","AMT.Adjusted"
"162",141.990005,143.110001,141.710007,142.839996,921600,131.501709
"163",143.050003,144.259995,142.509995,143.800003,1579000,132.385483
"164",144.720001,146.089996,143.979996,144.240005,1254000,132.790573
"165",144.289993,146.119995,144.289993,145.779999,1577300,134.208298
"166",145.089996,146.630005,144.889999,145.889999,1178500,134.309601
"167",145.649994,147.639999,145.320007,147.520004,1753000,135.810226
"168",147.380005,148.710007,146.880005,148.050003,2293200,136.298172
"169",148.330002,148.330002,145.229996,145.770004,1765800,134.199127
"170",145.970001,147.149994,145.669998,146.940002,1559300,135.276245
"171",147,147.309998,146.070007,146.070007,1380700,134.475327
"172",146.309998,147.029999,146.020004,146.990005,1757400,135.322266
"173",146.800003,146.800003,144.440002,144.990005,2240600,133.481033
"174",146.419998,146.850006,144.619995,146.179993,2202000,134.576553
"175",146.139999,146.289993,143.850006,144.830002,2058700,133.33374
"176",144.929993,145.039993,143.389999,143.699997,2087600,132.293427
"177",142.820007,143.100006,141.410004,142.850006,2778900,131.51091
"178",143.059998,145.139999,142.869995,145.009995,3210600,133.499466
"179",145.020004,146.229996,144.529999,144.770004,1531000,133.278473
"180",144.779999,145.580002,138.779999,140.979996,5507600,129.789352
"181",141.160004,141.619995,139.470001,140.399994,2876800,129.255356
"182",140.529999,140.880005,139.399994,139.399994,1958400,128.334747
"183",138.210007,139.179993,137.169998,137.779999,3140700,126.843323
"184",137.809998,138.369995,137.070007,137.389999,1936200,126.484314
"185",137.399994,137.949997,134.110001,136.419998,2752300,125.591293
"186",136.020004,136.389999,134.509995,134.740005,2646600,124.044662
"187",134.289993,136.139999,133.740005,136.100006,1988600,125.91349
"188",135.720001,137.179993,135.610001,136.679993,1705800,126.45005
"189",137.029999,137.649994,135.660004,135.860001,1513400,125.691422
"190",136,137.199997,135.860001,136.660004,1885800,126.431534
"191",136.899994,139.649994,136.690002,138.839996,1827000,128.448364
"192",139.119995,139.929993,139,139.25,1965400,128.827682
"193",138.509995,139.130005,137.380005,139.110001,1377200,128.698166
"194",139,139.110001,137.520004,137.940002,2115800,127.615715
"195",138.160004,138.449997,136.869995,137.089996,2173900,126.829353
"196",137.020004,138.990005,137.020004,137.929993,2003800,127.606468
"197",137.990005,140.330002,137.380005,140.029999,1657900,129.549332
"198",140.75,140.910004,139.270004,139.970001,1815500,129.49379
"199",139.710007,140.679993,138.800003,139.589996,1590200,129.142242
"200",139.649994,140.339996,138.070007,139.130005,1393100,128.716675
"201",138.949997,139.139999,137.410004,137.479996,1695800,127.190147
"202",137.419998,139,137.050003,138.389999,2090600,128.032074
"203",138.779999,140.229996,138.199997,139.070007,1860900,128.661148
"204",138.630005,139.25,137.740005,138.75,1556900,128.365112
"205",139,139.070007,137.210007,138.029999,1875300,127.698997
"206",137.669998,138.130005,136.600006,137.330002,1209900,127.051414
"207",138.059998,139.240005,137.410004,138.449997,1692700,128.087585
"208",139.289993,140.139999,138.149994,139.029999,1556200,128.624161
"209",138.759995,144.800003,138.410004,142.869995,5117800,132.176743
"210",139.919998,144.330002,138.300003,143.669998,2999200,132.916824
"211",144.25,144.660004,140.389999,140.809998,2819200,130.270935
"212",140.649994,142.960007,140.520004,142.440002,1367600,131.778961
"213",141.830002,142.410004,140.229996,142.100006,1577200,131.464386
"214",145.039993,150.960007,144.960007,150.160004,3936600,138.921127
"215",149.990005,150.789993,146.830002,150.660004,2504600,139.383682
"216",150.300003,155.279999,150.149994,152.720001,2334800,141.289536
"217",151.800003,153.009995,150.559998,151.820007,1892100,140.456894
"218",151.330002,151.800003,148.460007,150.539993,1537200,139.272659
"219",151.270004,152.800003,148.619995,150.039993,2453000,138.810104
"220",150.050003,150.970001,148.339996,149.490005,1854500,138.30127
