"","MRNA.Open","MRNA.High","MRNA.Low","MRNA.Close","MRNA.Volume","MRNA.Adjusted"
"284",21.6,21.879,20.9,21.120001,2947800,21.120001
"285",22.1,23.120001,21.120001,22.74,10294700,22.74
"286",23.5,23.5,21.85,22.360001,5649300,22.360001
"287",22.23,22.34,20.450001,20.549999,4671900,20.549999
"288",21.049999,21.74,20.799999,20.99,3061800,20.99
"289",21.139999,21.32,20.049999,20.51,2833600,20.51
"290",20.66,21.059999,19.700001,20.379999,3155400,20.379999
"291",20.09,20.879999,19.75,20.870001,1824400,20.870001
"292",20.99,21.200001,19.67,20.049999,2656800,20.049999
"293",20.27,20.32,19.700001,19.879999,1929700,19.879999
"294",19.790001,23.389999,19.790001,23.24,10144200,23.24
"295",23.5,23.950001,22.382999,23.65,9356800,23.65
"296",22.09,22.74,21.280001,21.35,6188300,21.35
"297",19.639999,19.67,18.5,19.01,19231800,19.01
"298",19.360001,19.799999,18.889999,19.045,6837000,19.045
"299",19.27,19.290001,18.85,19,5384500,19
"300",19.139999,19.35,18.57,18.91,4121900,18.91
"301",19.09,19.24,18.725,18.92,3148000,18.92
"302",18.860001,19.17,18.42,18.540001,4562200,18.540001
"303",18.469999,18.549999,17.91,18.23,3651100,18.23
"304",19.23,19.280001,18.299999,18.59,7605400,18.59
"305",22.15,26.549999,20.51,23.76,65001900,23.76
"306",29.049999,29.98,27.08,29.16,76444500,29.16
"307",35.880001,36,23.049999,26.16,68256300,26.16
"308",23.379999,25.950001,22.014999,25.93,24253700,25.93
"309",27,30.75,25.209999,29.879999,33084000,29.879999
"310",27.804001,28.6,26.6,27.91,17599100,27.91
"311",27.99,28.719999,26.799999,27.49,11817700,27.49
"312",27.49,28.950001,26.535,28.01,14670000,28.01
"313",27.98,29.799999,27.67,29.610001,21097500,29.610001
"314",30,30,24.16,24.290001,14124100,24.290001
"315",25.709999,25.940001,21.280001,22.34,13019500,22.34
"316",22.540001,25.749001,22.524,23.610001,14809600,23.610001
"317",22.9,24.280001,21.9,22.299999,11305300,22.299999
"318",23,23.469999,19.309999,21.299999,11853100,21.299999
"319",23.76,27.799999,22.219999,26.49,39850800,26.49
"320",29.360001,32.700001,27.315001,28.18,44484100,28.18
"321",27.129999,32.540001,26.549999,31.58,28702300,31.58
"322",32.779999,34.98,25.190001,28.27,36952800,28.27
"323",29.25,30.23,26.200001,28.200001,16522400,28.200001
"324",28.709999,29.809999,26.25,26.57,11080800,26.57
"325",27.09,27.25,24.360001,25.82,12550500,25.82
"326",25,27.98,24.790001,27.129999,9651500,27.129999
"327",27.559999,28.790001,27.559999,27.940001,5570800,27.940001
"328",28.370001,31.09,27.950001,30.049999,12408300,30.049999
"329",30.59,31.690001,28.27,30.48,10749900,30.48
"330",30.6,30.98,29.200001,29.950001,6022100,29.950001
"331",30.049999,30.940001,29.440001,29.67,7004600,29.67
"332",30.6,33.389999,29.84,33.200001,15934400,33.200001
"333",32.810001,35.66,32.720001,34.84,16896200,34.84
"334",34.91,35.185001,33.330002,34.639999,10841600,34.639999
"335",33.810001,34.029999,30.98,32.02,10104300,32.02
"336",32.360001,32.939999,31.75,32.419998,4119800,32.419998
"337",32.549999,32.919998,31.32,31.860001,4861800,31.860001
"338",32,32.98,31.709999,32.900002,5603900,32.900002
"339",34,34.990002,33.150002,34.66,8126900,34.66
"340",34.639999,38.450001,33.720001,37.25,15683000,37.25
"341",38.074001,41.549999,36.619999,40.599998,20670700,40.599998
"342",48.990002,49,43.380001,46.849998,32286000,46.849998
"343",45,54.950001,44.509998,51.689999,34102500,51.689999
"344",53,56.380001,43.110001,49.259998,39642000,49.259998
"345",50.610001,51.82,49.060001,51.200001,11670100,51.200001
"346",49.099998,50.700001,46.889999,47.439999,15152400,47.439999
"347",47.150002,50.5,47.141998,50.5,11702100,50.5
"348",51.529999,51.700001,47.299999,48.049999,13744400,48.049999
"349",50.400002,50.450001,47.169998,47.880001,13067200,47.880001
"350",46.599998,46.950001,45.009998,46.369999,11762000,46.369999
"351",46.779999,48.369999,45.82,45.990002,7741900,45.990002
"352",48.709999,50.450001,46.290001,47.93,21701300,47.93
"353",48.049999,50.5,48,50.5,10460500,50.5
"354",50.48,50.959999,47.23,49.34,11160200,49.34
"355",48.450001,49.25,47.52,48.950001,6692300,48.950001
"356",55.779999,55.990002,51.060001,53.189999,30942700,53.189999
"357",53.060001,59.880001,52.150002,59.25,24083200,59.25
"358",59.599998,67.669998,59.139999,66.900002,34852000,66.900002
"359",65.989998,68.489998,62.02,62.349998,25934500,62.349998
"360",63.799999,66.970001,60.290001,65.18,22126000,65.18
"361",64.790001,65.389999,61.439999,64.559998,12198200,64.559998
"362",63.790001,67.669998,63.009998,66.690002,16341900,66.690002
"363",86.139999,87,75.660004,80,80813300,80
"364",78.07,79.75,70.32,71.669998,64932300,71.669998
"365",70.010002,74.480003,67.410004,73.470001,53655300,73.470001
"366",73.050003,73.160004,65.309998,67.050003,35318000,67.050003
"367",69.93,70.599998,67.139999,69,28912700,69
"368",66.400002,66.589996,57.049999,57.709999,40332600,57.709999
"369",51.200001,53.34,46.130001,52.18,59514700,52.18
"370",53.5,59.110001,53.349998,55.540001,32258900,55.540001
"371",57.450001,61.650002,56.560001,61.5,38070400,61.5
"372",62.759998,63.900002,60.509998,62.18,21257500,62.18
"373",58.700001,59.950001,55.355,59.869999,21701100,59.869999
"374",57.509998,63.369999,57.099998,59.889999,20811500,59.889999
"375",61.610001,61.93,58.52,60.59,13504000,60.59
"376",58.490002,59.189999,56.630001,58.189999,14677900,58.189999
"377",58.299999,59.380001,56.720001,59.099998,11249300,59.099998
"378",58.549999,59.404999,57.73,58.23,7600200,58.23
"379",58.799999,60.720001,58.599998,60.07,11074400,60.07
"380",62.950001,66.686996,58.77,60.200001,32085200,60.200001
"381",62.355,63.630001,60.290001,62,14742900,62
"382",65.900002,66.980003,63.424,66.57,19339300,66.57
"383",66.309998,66.599998,62.599998,64.339996,16537800,64.339996
"384",63.599998,65.879997,62.580002,63.310001,13616000,63.310001
"385",63.029999,65.400002,62.580002,64.949997,10914400,64.949997
"386",64.989998,66.449997,64.010002,66.349998,16076700,66.349998
"387",65.919998,66.290001,62.119999,64.75,13586400,64.75
"388",64.099998,65.080002,62.740002,62.939999,12361300,62.939999
"389",63.23,66.155998,63.139999,64.839996,14377100,64.839996
"390",67,67,58.509998,62,26905700,62
"391",60.709999,62.290001,59.139999,61.279999,13866300,61.279999
"392",61.82,63,59.400002,62.080002,8074200,62.080002
"393",62.18,65.158997,61.799999,64.209999,11955200,64.209999
"394",63,63.73,59.119999,61.59,17916500,61.59
"395",60,61.799999,55.810001,58.57,26544400,58.57
"396",58.549999,60.73,57.099998,59.150002,9977300,59.150002
"397",58.799999,61.5,57.439999,61.09,8904300,61.09
"398",60.790001,62.459999,59.450001,61.580002,7590900,61.580002
"399",62.09,65.349998,58.880001,64.959999,20646100,64.959999
"400",64.650002,64.93,62.32,62.610001,7407500,62.610001
"401",63.889999,77.75,63.799999,71.779999,56617300,71.779999
"402",74,76.948997,70.620003,75.040001,38708800,75.040001
"403",87.519997,88.370003,78.010002,80.220001,90756100,80.220001
"404",80.160004,84.290001,79.599998,81.809998,27277400,81.809998
"405",83.349998,95.209999,82.610001,94.849998,103509200,94.849998
"406",87.860001,90.849998,78.050003,82.68,78391300,82.68
"407",80.910004,82.43,79.07,80.860001,26157900,80.860001
"408",79.610001,84.120003,79.110001,83.224998,27274000,83.224998
"409",82.050003,82.68,72.199997,75.330002,29288100,75.330002
"410",69.050003,73.900002,66.540001,73.209999,27797500,73.209999
"411",80.629997,80.980003,76.160004,79.910004,44710700,79.910004
"412",81,83.849998,79.5,81.489998,32946900,81.489998
"413",81.980003,82.82,76.550003,79.510002,24453900,79.510002
"414",78,79.25,76.800003,77.629997,13102000,77.629997
"415",78.199997,78.440002,73.603996,74.099998,14210400,74.099998
"416",74.980003,77.989998,73.029999,77.980003,13382300,77.980003
"417",78.192001,78.620003,75.5,78.459999,10126500,78.459999
"418",77.489998,77.489998,73.690002,75.800003,19831900,75.800003
"419",75.790001,76.25,73.120003,73.760002,11691500,73.760002
"420",74.379997,75.389999,73.010002,74.099998,8771400,74.099998
"421",74.269997,75,71.410004,72.010002,8678300,72.010002
"422",69.519997,71.400002,67,68.970001,18118700,68.970001
"423",75.669998,75.75,68.300003,69.519997,50362100,69.519997
"424",69.089996,69.18,67.050003,67.830002,15055900,67.830002
"425",68.059998,70.360001,67.860001,69.150002,12799600,69.150002
"426",69.139999,70.779999,68.379997,69.760002,8749100,69.760002
"427",68.279999,69.699997,65.230003,67.029999,11329200,67.029999
"428",66.739998,69.169998,66.599998,68,8558800,68
"429",67.790001,68,66.629997,67.809998,6346700,67.809998
"430",67.5,68.019997,65.599998,66.449997,6935600,66.449997
"431",67.150002,67.849998,62.880001,64.879997,13143200,64.879997
"432",64.32,66.695999,63.549999,66.25,7798500,66.25
"433",67.620003,71.639999,66.029999,70.5,28768100,70.5
"434",69.980003,70.32,67.010002,68.029999,9262600,68.029999
"435",68.040001,68.949997,67.150002,67.489998,6368200,67.489998
"436",67.139999,67.199997,62.540001,64.889999,15271800,64.889999
"437",63.540001,64.5,62.5,63.32,8183600,63.32
"438",62.84,64.889999,61.381001,64.720001,9874600,64.720001
