"","ABC.Open","ABC.High","ABC.Low","ABC.Close","ABC.Volume","ABC.Adjusted"
"808",83.089996,86.739998,80.370003,86,2189100,83.588531
"809",86.839996,87.629997,79.32,80.610001,3203800,78.349678
"810",80.290001,80.290001,72.059998,73.93,2234800,71.856987
"811",77.709999,80.620003,76.160004,79.849998,1951800,77.610985
"812",79.540001,81.470001,75.110001,75.349998,2284100,73.237175
"813",75.870003,85.18,75.599998,84.160004,3263800,81.800125
"814",80.940002,84.059998,80.18,81.779999,1600500,79.486862
"815",83.529999,88.550003,82.440002,88.099998,1770200,85.629654
"816",88.239998,90.730003,87.110001,88.5,2074700,86.018448
"817",88.209999,88.709999,84.190002,86.230003,1336300,83.812096
"818",84.639999,86.529999,80,83.889999,2570500,81.537704
"819",83.269997,84.629997,80.389999,81.339996,1517200,79.059189
"820",85.32,86.830002,83.07,86.290001,1514800,83.870407
"821",88.870003,89.43,86.620003,87.199997,1311100,84.75489
"822",86.940002,89.129997,85.160004,88.330002,1729500,85.853203
"823",88.18,89.410004,86.660004,87.809998,1348700,85.347786
"824",87.559998,87.559998,84.220001,85.449997,2118700,83.053955
"825",87.589996,89.900002,87.07,89.419998,985300,86.912628
"826",87.940002,89.709999,85.589996,88.330002,967600,85.853203
"827",88.260002,89.260002,85.540001,86.279999,1674000,83.86068
"828",88.760002,89.889999,87.279999,89.190002,1669500,86.689087
"829",87.989998,90.110001,87.099998,89.620003,1032000,87.107033
"830",88.440002,88.620003,84.43,85.57,1257800,83.170586
"831",86.980003,88.129997,86.190002,86.5,911000,84.074516
"832",87.389999,89.139999,86.879997,87.260002,1036400,84.813202
"833",87.43,89.449997,85.739998,88.699997,1325800,86.212822
"834",89.589996,91.349998,88.760002,90.779999,1913100,88.234505
"835",92,92.080002,89.239998,89.529999,1457100,87.019554
"836",90.040001,91.279999,88.349998,89.339996,1879900,86.834877
"837",88.709999,91.029999,88.610001,89.660004,1683700,87.145912
"838",88.349998,88.349998,85.110001,86.379997,1120800,83.95787
"839",85.970001,87.050003,85.309998,86.419998,1354000,83.99675
"840",87.5,89.449997,85.610001,87.970001,1349600,85.503296
"841",88.349998,88.559998,85.199997,85.5,1362800,83.102562
"842",86.599998,89.830002,86.599998,88.739998,1755300,86.251701
"843",90.540001,92.400002,87.089996,88.089996,1175300,85.619934
"844",89.07,91.860001,88.519997,90.639999,1264200,88.098419
"845",91.459999,91.989998,88.529999,88.580002,1141900,86.096184
"846",88.169998,89,83.669998,84.150002,1520700,81.790413
"847",83.010002,84.150002,81.510002,84.029999,1488200,81.673767
"848",83.360001,85.82,83.050003,85.75,1694200,83.764221
"849",88.029999,90,87.849998,89.199997,1066800,87.134315
"850",88.809998,90.389999,88.5,89.629997,983700,87.554352
"851",90,95.129997,89.019997,92.730003,2352700,90.582573
"852",92.169998,93.269997,91.190002,92.25,1076900,90.113678
"853",92.160004,93.690002,92.160004,93.139999,1027100,90.983086
"854",95,95,90.589996,90.779999,1024800,88.677734
"855",90.959999,93.449997,90.75,93.330002,1166100,91.168678
"856",94.360001,96.489998,93.830002,94.400002,1312700,92.213913
"857",94.699997,95.599998,93.610001,95.339996,1582100,93.132133
"858",94.839996,95.870003,94.839996,95.150002,1012600,92.946541
