"","PXD.Open","PXD.High","PXD.Low","PXD.Close","PXD.Volume","PXD.Adjusted"
"322",183.520004,188.850006,182.759995,188.320007,1904300,178.223831
"323",190,191.889999,187.119995,191.130005,1549400,180.883163
"324",192,194.729996,190.639999,193.179993,1148000,182.823257
"325",195.320007,196.479996,192.380005,194.449997,1605000,184.025177
"326",194.690002,196.339996,192.550003,195.470001,1321300,184.990479
"327",194.059998,196.199997,192.889999,194.949997,1793400,184.498367
"328",193.839996,197.809998,192.630005,197.350006,1606300,186.769714
"329",197.25,199.679993,194.350006,196.059998,1446800,185.548874
"330",196.149994,199.039993,194.649994,198.899994,1039800,188.236618
"331",199.119995,201.630005,198.110001,200.729996,1026500,189.968491
"332",199.160004,200.990005,197.839996,199.289993,937900,188.605682
"333",198.979996,204.550003,198.610001,201.550003,1662000,190.744537
"334",200.479996,200.649994,196.160004,198.860001,1615700,188.19873
"335",197.869995,200.270004,195.289993,196.330002,1655200,185.804398
"336",197.979996,197.979996,188.789993,192.139999,2507300,181.839035
"337",191.75,194.75,190.190002,194.190002,1369900,183.779129
"338",195.570007,200.289993,195.570007,195.800003,1762400,185.302826
"339",195.869995,198.25,190.380005,197.649994,1409100,187.053635
"340",200.330002,205.080002,200,201.520004,1925600,190.716156
"341",201.699997,204.850006,200.350006,203.190002,1308300,192.296616
"342",203.190002,203.779999,200.809998,202.169998,1126400,191.331299
"343",202.75,204.259995,201.080002,201.619995,1029000,190.810791
"344",200.990005,203.110001,199.360001,203.050003,819600,192.164124
"345",202.75,206.850006,201.850006,206.080002,1015100,195.031662
"346",207.580002,213.259995,207.009995,212.309998,1372900,200.927643
"347",212.300003,213.399994,208.809998,209.639999,1355000,198.400818
"348",211.550003,212.910004,208.600006,209.839996,1385200,198.590103
"349",210,210.460007,201.710007,202.679993,1481500,191.81395
"350",201.630005,201.630005,197.389999,199.5,1737900,188.804413
"351",196.220001,197.839996,192.75,193.229996,1510200,182.870575
"352",189.309998,191.240005,186.330002,190.639999,1899000,180.419449
"353",189.039993,191.919998,188.619995,190.880005,1309900,180.646576
"354",192.690002,198.509995,192.369995,196.619995,1652800,186.078842
"355",195.089996,198.610001,192.979996,193.100006,1625100,182.747543
"356",194.369995,194.559998,187.220001,191.910004,2392800,181.621353
"357",193.149994,194.990005,189.669998,190.649994,1349400,180.428894
"358",189.949997,194.440002,188.910004,191.160004,1361000,180.911575
"359",191.479996,192.270004,187.199997,190.979996,1645900,180.741226
"360",191.970001,197.419998,190.970001,195.419998,1924100,184.943192
"361",195.169998,196.380005,191.889999,193.240005,1180100,182.880066
"362",194,194.229996,190.690002,191.539993,1368800,181.271194
"363",191.699997,194.899994,191.029999,192.949997,1071600,182.605591
"364",192.729996,194.059998,191.080002,192.860001,848400,182.520401
"365",193.940002,194.990005,190.460007,191.449997,985400,181.185989
"366",190.369995,190.970001,183.389999,184.199997,2508600,174.324692
"367",183.869995,187.190002,183.389999,184.600006,2148500,174.703247
"368",181.649994,182.839996,176.509995,180.139999,2335300,170.482391
"369",182.139999,183.550003,179.570007,183.240005,1768600,173.416183
"370",182.100006,182.309998,177.669998,178.020004,1473800,168.476013
"371",185,186.429993,183.690002,185.649994,3099400,175.69696
"372",185.910004,186.610001,180.839996,182.270004,1671700,172.498154
"373",182.070007,187.199997,182.020004,186.279999,1521800,176.293198
"374",188.570007,195,187.710007,192.800003,2388000,182.463623
"375",193.449997,193.759995,188.429993,188.850006,1320700,178.725403
"376",189.860001,192.110001,188.910004,189.240005,1279600,179.094498
"377",188.809998,188.809998,184.220001,185.210007,1189900,175.280579
"378",188.410004,190.330002,184.949997,186.190002,941500,176.207993
"379",188.149994,188.309998,182,183.330002,1283300,173.501358
"380",182.270004,186.300003,181.020004,185.020004,1392600,175.100754
"381",186.699997,189.429993,184.899994,189.240005,1659900,179.094498
"382",191.059998,192.179993,188.279999,189.820007,1521600,179.643402
"383",186.800003,188.300003,181.100006,182.589996,1849100,172.80101
"384",184.179993,185.220001,180.5,182.360001,1447800,172.583344
"385",182.059998,186.220001,181.660004,184.550003,1069600,174.655945
"386",182.050003,183.440002,179.5,183,1351600,173.189041
"387",182.649994,183.949997,180.020004,182.639999,1053200,172.848343
"388",181.5,182.809998,179.009995,182.240005,1117500,172.469757
"389",182.360001,183.639999,180.550003,182.970001,1140500,173.160645
"390",182.710007,183.740005,179.160004,180.949997,1482500,171.248932
"391",182.639999,182.820007,180.149994,181.309998,1145000,171.58963
"392",182.809998,188.740005,182.050003,187.169998,1381500,177.135483
"393",187.169998,189.130005,186,188.649994,1018100,178.536118
"394",188.669998,189.160004,186.809998,188.449997,1022300,178.346863
"395",187.919998,189.270004,185.389999,186.020004,789700,176.047089
"396",189,193.029999,188,191.270004,968800,181.015686
"397",191.070007,191.080002,186.820007,189.270004,1334000,179.122864
"398",187.339996,188.339996,184.190002,187.660004,998900,177.599197
"399",186.550003,189.419998,184.889999,188.580002,958700,178.469894
"400",188.309998,188.330002,181.220001,184.110001,1439700,174.239517
"401",184.589996,187.949997,183.399994,186.110001,1069400,176.132294
"402",187.619995,188.75,186.050003,186.570007,1361300,176.567657
"403",183.289993,189.770004,182.050003,188.029999,2220300,177.949356
"404",188.029999,189,185.289993,185.649994,1164900,175.69696
"405",185.75,188.009995,185.119995,186.139999,1328500,176.16069
"406",185.669998,186.75,182.779999,183.119995,1235500,173.302628
"407",185.449997,187.179993,182.380005,183.339996,966300,173.510818
"408",181.990005,182.399994,171.539993,173.690002,2726400,164.378174
"409",175.039993,175.539993,172.860001,173.089996,1525800,163.810333
"410",174.220001,175.100006,172.100006,173.199997,1721600,163.914429
"411",172.949997,173.850006,172.119995,172.509995,1307200,163.261398
"412",174.029999,176.270004,173.240005,173.740005,1731900,164.425476
"413",174.350006,177.550003,173.910004,176.050003,1365800,166.611649
"414",175.009995,176.369995,174.360001,174.860001,982400,165.485428
"415",176.949997,178.410004,175.570007,176.039993,911600,166.602173
"416",176.369995,178.589996,175.5,177.389999,1157400,167.879791
"417",177.720001,178.589996,175.5,175.789993,1356200,166.36557
"418",176.860001,176.860001,174.869995,175.619995,1159600,166.204697
"419",175.419998,176.789993,174.259995,174.740005,1143600,165.371872
"420",173.720001,175.279999,172.610001,174.699997,1052000,165.33403
"421",175.320007,176.380005,170.270004,171.100006,1233200,161.927002
"422",169.699997,169.910004,167.630005,169.220001,1740700,160.147781
"423",168.830002,169.490005,164.5,164.630005,1537700,155.803879
"424",163.929993,163.929993,160.800003,162.190002,2110100,153.49469
"425",163.529999,164.570007,162.210007,163.220001,2051500,154.469498
"426",163.589996,167.690002,162.910004,166.419998,1935000,157.497925
"427",168.529999,171.779999,168.270004,169.970001,1442200,160.85759
"428",169,171.720001,168.059998,170.169998,1343000,161.046875
"429",170.139999,172.190002,169.880005,170.429993,1237600,161.292923
"430",172.210007,173.740005,170.630005,171.110001,1115700,161.936478
"431",172.369995,175.559998,172.369995,173.789993,1479100,164.472763
"432",174.289993,175.300003,172.979996,174,769700,164.671524
"433",174.869995,175.080002,170.029999,171.389999,1374600,162.201447
"434",172.119995,174.009995,170.570007,172.520004,1534200,163.270889
"435",175.669998,178.139999,172.940002,174.850006,1685000,165.475998
"436",175.899994,178.5,175.720001,177.380005,1053500,167.870316
"437",176.5,177.410004,173.559998,174,1304500,164.671524
"438",175.050003,176,171.929993,172,1748700,162.928574
"439",171.589996,175.199997,170.619995,174.190002,2811500,165.003067
