"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume","MPC.Adjusted"
"555",62.400002,63.040001,61.790001,62.029999,6237100,54.697758
"556",61.790001,62.740002,60.82,62.189999,8136000,54.83884
"557",62.029999,63.349998,61.709999,62.790001,6306700,55.367928
"558",62.119999,62.5,60.630001,61.299999,4664600,54.05405
"559",61.130001,61.439999,60.360001,61.169998,5190100,53.939415
"560",61.82,62.830002,61.240002,61.959999,4191500,54.636032
"561",61.700001,62.509998,61.380001,62.189999,4793400,54.83884
"562",61.790001,62.279999,60.599998,60.950001,5095500,53.745422
"563",61.400002,61.529999,59.709999,59.849998,8245000,52.775448
"564",60.459999,61.25,59.720001,61.049999,6993500,53.833599
"565",60.689999,60.880001,59.369999,59.919998,7284200,52.83717
"566",60.380001,61.16,60.130001,60.380001,6979400,53.242798
"567",60.43,61.880001,60.209999,61.349998,5838700,54.098141
"568",61.389999,63.5,61.389999,63.470001,7359600,55.967545
"569",63.580002,63.669998,62.639999,63.360001,7353200,55.870548
"570",63.029999,63.400002,61.880001,62.16,6046900,54.812389
"571",62.349998,63.990002,62.049999,63.599998,8247800,56.082176
"572",63.849998,64.529999,63.060001,63.110001,5284900,55.650101
"573",63.82,63.950001,61.400002,61.59,10104400,54.309765
"574",61.490002,61.779999,60.290001,60.540001,7075900,53.383888
"575",60.490002,60.599998,59.490002,60.02,7899900,52.92535
"576",60.700001,61.139999,60.18,60.240002,5500500,53.11935
"577",60.25,60.82,59.689999,59.810001,6363800,52.740181
"578",60.360001,61.400002,60.27,61.130001,6186600,53.904148
"579",61.290001,61.52,60.389999,61.060001,6804700,53.842426
"580",61.049999,61.349998,59.459999,59.5,7056500,52.466816
"581",59.759998,61.470001,59.549999,60.650002,6554000,53.480892
"582",60.290001,61.169998,60,60.389999,6244500,53.251614
"583",60.5,61.369999,60.27,60.990002,4506800,53.780701
"584",61.48,62.200001,60.82,60.869999,5005400,53.674877
"585",61.099998,61.73,59.950001,59.950001,4991300,52.863625
"586",60.029999,60.599998,58.18,58.689999,6849500,51.75256
"587",59.259998,60.18,59.220001,59.959999,5626700,52.872444
"588",59.25,59.669998,58.400002,59.490002,6409400,52.458
"589",58.75,59.5,57.529999,59.43,9697100,52.405087
"590",57.880001,58.139999,54.959999,55.23,16021700,48.70155
"591",55.169998,55.720001,52.5,52.959999,15870600,46.699875
"592",52.990002,53.720001,52.029999,53.150002,10158900,46.86742
"593",52.310001,52.869999,50.599998,50.720001,7505300,44.724655
"594",51,51.66,50.689999,51.310001,7644100,45.244915
"595",50.669998,51.450001,50.189999,51.189999,7209900,45.610226
"596",51.299999,53.25,51.299999,52.860001,11750700,47.098194
"597",52.360001,52.610001,51.77,51.950001,6239600,46.28738
"598",51.700001,52.310001,51.34,52.119999,5315900,46.43885
"599",52.59,53.779999,52.48,53.279999,6908700,47.472408
"600",52.93,53.080002,51.740002,51.919998,5547700,46.260654
"601",51.080002,51.16,49.709999,50.139999,10245900,44.674671
"602",50.369999,50.77,49.77,50.290001,4860800,44.808331
"603",50.59,50.75,48.950001,49,8418500,43.658939
"604",48.25,49.099998,48.02,48.990002,5894900,43.650028
"605",48.740002,48.889999,46.950001,47.110001,8279000,41.974945
"606",46.209999,46.400002,45.470001,45.990002,12939000,40.977032
"607",46.110001,47.25,46.02,47.130001,8684100,41.992767
