"","ETR.Open","ETR.High","ETR.Low","ETR.Close","ETR.Volume","ETR.Adjusted"
"122",79.32,79.620003,78.110001,78.129997,911100,65.612732
"123",78.559998,78.690002,77.800003,77.830002,901500,65.360794
"124",77.139999,77.339996,76.519997,76.879997,864900,64.562996
"125",77.150002,77.459999,76.739998,76.769997,1298500,64.470604
"126",77.059998,77.07,76.389999,76.470001,529300,64.218666
"127",76.510002,76.540001,75.800003,75.959999,1045800,63.790379
"128",75.860001,76.050003,75.410004,75.519997,893000,63.420872
"129",75.519997,76.139999,75.389999,75.790001,907800,63.647633
"130",75.730003,76.25,75.300003,75.309998,1142400,63.244522
"131",75.43,75.550003,74.830002,75.18,1134500,63.135361
"132",75.919998,76.080002,75.550003,75.690002,663700,63.563656
"133",75.519997,75.620003,74.959999,75.059998,888700,63.034576
"134",75.599998,75.839996,75.400002,75.489998,524300,63.395683
"135",75.519997,75.800003,75.230003,75.610001,1176800,63.496464
"136",75.769997,75.879997,75.470001,75.639999,730900,63.521637
"137",75.769997,75.980003,75.470001,75.900002,718500,63.739986
"138",76,76.599998,75.550003,76.470001,1280800,64.218666
"139",76.519997,77.190002,76.459999,77.18,1019000,64.814919
"140",76.889999,77.18,76.190002,76.309998,718100,64.084305
"141",76.260002,76.330002,75.260002,75.419998,891900,63.336922
"142",75.25,75.830002,75.160004,75.639999,739800,63.521637
"143",75.410004,76.150002,75.279999,76.150002,745800,63.949947
"144",76.160004,76.459999,75.760002,76.25,821500,64.03392
"145",76.239998,76.879997,76,76.720001,1697400,64.428627
"146",76.849998,77.220001,76.629997,77.150002,1122400,64.789749
"147",77.059998,77.68,76.050003,76.529999,1674800,64.269058
