"","BDX.Open","BDX.High","BDX.Low","BDX.Close","BDX.Volume","BDX.Adjusted"
"262",230.279999,231.380005,226.75,231.369995,1666000,220.389389
"263",231.110001,232.350006,229.100006,232.119995,1104800,221.10379
"264",234.5,234.699997,232.550003,234.509995,1468500,223.380371
"265",234.070007,236.740005,233.259995,236.710007,1324300,225.475967
"266",236.029999,236.860001,234.339996,234.710007,1205200,223.570892
"267",236.130005,239.399994,235.080002,238.639999,1029300,227.314377
"268",239.649994,244.339996,239.259995,242.350006,1498600,230.848312
"269",244.300003,246.320007,240.309998,246.279999,1601300,234.591782
"270",246.300003,248.389999,244.289993,244.929993,1287000,233.305847
"271",243.100006,244.679993,241.119995,243.5,1243400,231.943726
"272",243.770004,244.830002,241.649994,242.940002,1524900,231.410309
"273",241.080002,243.509995,240.199997,241.520004,1118000,230.057693
"274",240.559998,241.429993,236.690002,237.110001,1346500,225.856979
"275",237.75,237.759995,224.820007,224.820007,1840700,214.150238
"276",217,234.440002,215,227.520004,3057400,216.722122
"277",227.929993,227.929993,220.929993,221.919998,2612500,211.387878
"278",221.889999,222.589996,211.240005,211.440002,3003700,201.405243
"279",212.589996,218.820007,209.910004,217.139999,2030300,206.834732
"280",219.169998,220.25,217.660004,218.889999,2318100,208.501694
"281",216.990005,216.990005,213.369995,215.399994,1830100,205.177322
"282",214.419998,220.460007,214.029999,219.949997,1322900,209.511353
"283",221.649994,223.149994,218.850006,222.509995,983000,211.949905
"284",221.660004,224.850006,221.279999,222.869995,981600,212.292786
"285",223.270004,223.270004,218.720001,219.820007,1120100,209.387558
"286",220.119995,223.350006,218.669998,218.699997,1033500,208.320709
"287",219.830002,221.419998,217.720001,218.320007,793200,207.958725
"288",219.419998,220.389999,217.479996,220.339996,729200,209.882874
"289",221.589996,225.270004,221.119995,225.029999,1205400,214.350296
"290",225.610001,228.350006,225.050003,225.050003,1319300,214.369308
"291",225.309998,227.899994,221.899994,222.020004,1304900,211.483124
"292",221.600006,221.809998,215.470001,218.119995,1542400,207.768234
"293",216.619995,218.729996,216.190002,217.649994,1014100,207.320541
"294",217,218.410004,215.259995,217.270004,1777700,206.958572
"295",217.919998,219.419998,215.259995,216.960007,1461800,206.663269
"296",215.639999,219.5,215.600006,219.100006,1012300,208.701736
"297",218.919998,224,218.910004,223.440002,1131200,213.566788
"298",224.460007,227.25,222.490005,226.119995,1461900,216.128387
"299",227.5,227.800003,225.240005,225.5,1063100,215.535782
"300",226.979996,227.080002,223.600006,223.850006,955700,213.958725
"301",224.559998,224.929993,222.169998,223.520004,1314500,213.643265
"302",223.970001,226.020004,222.960007,224.149994,895400,214.245422
"303",224.389999,225,223.199997,223.270004,1451400,213.404327
"304",223.210007,223.550003,218.070007,219.529999,1161900,209.829575
"305",220.25,221.089996,218.949997,219.899994,716500,210.183228
"306",220.399994,220.660004,217.910004,218.5,754000,208.845093
"307",217.449997,219.309998,213.149994,213.25,1019200,203.827118
"308",214.139999,215.210007,210.389999,210.600006,1762600,201.294159
"309",212.970001,215.600006,211.080002,215.25,1149300,205.738693
"310",215.809998,217,211.720001,213.020004,1361800,203.607239
"311",213.809998,214.869995,211.800003,212.429993,961900,203.043289
"312",213.029999,219.130005,212.020004,216.699997,1443000,207.124619
"313",215.990005,216.570007,210.210007,213.300003,1498000,203.874847
"314",213.880005,217.009995,211.839996,216.820007,1463000,207.239334
"315",213.880005,219.100006,213.360001,218.779999,1583600,209.112747
"316",219.820007,220.589996,218.059998,220.130005,1043400,210.403076
"317",218.559998,219.770004,212.210007,215.5,1320600,205.977661
"318",216.220001,220.279999,215.690002,217.399994,1178100,207.793732
"319",221.460007,226.649994,221.190002,223.649994,1682100,213.767532
"320",222.160004,223.300003,221.050003,222.110001,867300,212.295563
"321",223.830002,224.639999,222.580002,223.449997,929900,213.576385
