"","XYL.Open","XYL.High","XYL.Low","XYL.Close","XYL.Volume","XYL.Adjusted"
"601",74.800003,75.160004,73.410004,74.07,902000,71.897041
"602",74.559998,74.889999,73,73.93,818500,71.761147
"603",74.449997,75.720001,74.239998,74.239998,994100,72.062057
"604",73.949997,75.099998,73.82,73.970001,1023800,72.032829
"605",74.029999,75.150002,73.830002,74.129997,359400,72.188652
"606",73.379997,74.379997,73.379997,74.220001,800400,72.276291
"607",74.330002,75.870003,74.160004,75.720001,1393000,73.737015
"608",76.470001,77.419998,75.5,77.400002,899000,75.373009
"609",77.949997,79.300003,77.550003,78.879997,1014700,76.814247
"610",79.07,79.440002,78.620003,79.150002,740800,77.077187
"611",79.699997,80.150002,78.699997,79.559998,606400,77.476456
"612",79.970001,80.760002,79.910004,80.379997,358600,78.274979
"613",81.150002,81.43,79.830002,80,708000,77.904907
"614",79.970001,80.559998,79.639999,80.209999,372500,78.109413
"615",80.57,81.129997,80.07,81.089996,422000,78.966393
"616",80.940002,81.269997,79.790001,81.080002,503900,78.956642
"617",81.080002,81.139999,80.470001,80.540001,534100,78.430786
"618",81.330002,82.510002,81.059998,81.190002,1012000,79.063766
"619",81.459999,82.309998,81.349998,81.529999,871900,79.394844
"620",82.68,83.330002,81.620003,83.300003,1048500,81.118507
"621",83.239998,83.269997,81.709999,81.760002,1431400,79.618835
"622",81.93,82.769997,81.68,82.099998,708500,79.949921
"623",82.080002,82.269997,81.519997,81.559998,844000,79.424057
"624",81.610001,82,80.919998,81.32,536500,79.190346
"625",81.629997,82.279999,81.400002,81.860001,396100,79.716209
"626",81.959999,83.809998,81.959999,83.639999,2211800,81.449593
"627",84.629997,85.389999,83.790001,84.410004,769400,82.199432
"628",84.459999,84.559998,82.639999,83.169998,1011900,80.991898
"629",83.5,83.5,82.599998,83.330002,420700,81.147728
"630",83.089996,83.129997,81.660004,82.839996,654900,80.67054
"631",82.620003,83,81.639999,81.699997,1347600,79.560402
"632",81.25,81.25,80.449997,80.980003,1005700,78.859253
"633",81.139999,81.68,80.18,80.389999,642600,78.284706
"634",80.360001,81.18,80.300003,81.150002,602800,79.024818
"635",81.260002,82.5,81.190002,82.5,800500,80.339462
"636",82.559998,82.910004,81.720001,81.910004,485800,79.764915
"637",81.730003,82.940002,81.730003,82.620003,646500,80.456322
"638",82.610001,82.809998,81.230003,81.300003,531600,79.170898
"639",81.169998,81.459999,80.099998,80.459999,686800,78.352875
"640",80.93,81.410004,80.449997,80.870003,730200,78.752136
"641",80.870003,81,80.220001,80.330002,731000,78.226288
"642",80.660004,81.849998,80.199997,81.779999,666800,79.638306
"643",81.360001,82.519997,81.050003,82.339996,647200,80.18364
"644",82.889999,84.209999,81.459999,81.669998,720300,79.531189
"645",81.650002,82,81.080002,81.480003,569700,79.346169
"646",81.440002,81.519997,80.760002,80.889999,590900,78.771614
"647",80.220001,81.410004,80.050003,81.120003,579700,78.995605
"648",80.970001,81.769997,79.610001,80.290001,838900,78.187332
"649",79.57,81.099998,77.940002,78.809998,2006600,76.746078
"650",77.82,78.040001,76.669998,77.529999,966100,75.499611
"651",76.209999,76.389999,73.889999,74.599998,872600,72.646332
"652",75.169998,76.099998,74.779999,75.82,991700,73.834404
"653",74.849998,76.279999,74.139999,76.019997,819300,74.029137
"654",76.459999,77.459999,76.099998,77.209999,880700,75.187988
"655",76.860001,77.290001,76.300003,76.82,782100,74.808197
"656",76.339996,76.68,75.540001,75.760002,720800,73.77597
"657",75.510002,77.790001,75.010002,77.040001,458600,75.022446
"658",75.949997,76.099998,74.82,74.879997,686200,72.918991
"659",75.040001,75.449997,74.449997,75.150002,674800,73.181931
"660",75.449997,76.720001,75.379997,76.57,494400,74.564743
"661",77.790001,77.790001,74.449997,76.900002,467000,74.886116
"662",76.650002,76.800003,75.879997,76.040001,513100,74.048622
"663",76.919998,77.040001,75.849998,75.970001,434100,73.980469
"664",76.589996,76.669998,75.540001,75.57,536200,73.590935
