"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"617",163.300003,166.979996,162.960007,166.539993,1816500,146.226715
"618",167.720001,168.520004,165.809998,166.130005,1389200,145.86673
"619",165.740005,166.550003,163.029999,165.270004,1212300,145.111618
"620",165.429993,166.190002,162.809998,164.850006,1722700,144.742844
"621",164.809998,164.809998,162.110001,164.089996,2620200,144.075531
"622",164.410004,165,161.619995,162.029999,1353500,142.266785
"623",162.380005,164.130005,161.080002,161.490005,1151000,141.792664
"624",161.5,162.080002,158.630005,159.270004,1716900,139.84346
"625",159.699997,161,158.669998,159.929993,1199900,140.422928
"626",160.320007,161.300003,159.300003,159.759995,1559200,140.273682
"627",160.679993,161.520004,157.839996,158.639999,1568400,139.290298
"628",159.419998,162.229996,158.600006,161.949997,1557400,142.196564
"629",162.580002,165.160004,162.580002,165.029999,1109700,144.900879
"630",163.779999,164.089996,160.559998,162.960007,959900,143.083405
"631",163,165.210007,163,164.279999,1498500,144.242371
"632",163.979996,165.270004,163.460007,164.529999,2712700,144.461884
"633",165.190002,165.479996,163.289993,163.880005,1555200,143.891159
"634",163.789993,164.860001,161.720001,162.550003,1011400,142.723389
"635",162.809998,163.029999,162,162.259995,844800,142.46875
"636",162.550003,163.910004,162.070007,162.600006,1019700,142.767303
"637",162.300003,163.179993,161.699997,162.020004,1155400,142.258026
"638",162.679993,163.100006,159.580002,160.139999,1109900,140.60733
"639",160.360001,160.360001,158.869995,159.389999,2152500,139.948807
"640",159.470001,160.220001,156.240005,156.440002,1790700,137.358643
"641",156.449997,156.960007,155.039993,155.130005,1602900,136.208389
"642",155.520004,158.389999,155.509995,158.25,2757700,138.947845
"643",158.919998,159.600006,158.039993,159.169998,1054700,139.755661
"644",158.919998,159.800003,157.210007,158.320007,1149000,139.009338
"645",158.839996,159.410004,156.800003,158.330002,1556600,139.018097
"646",158.779999,160.929993,158.779999,159.639999,1042800,140.16832
"647",159.479996,160.75,159.449997,160.210007,1385600,140.668793
"648",162.5,164.460007,160.559998,162.199997,2481600,142.416077
"649",161.009995,161.410004,157.360001,157.479996,2441000,138.271774
"650",157.389999,160.080002,156.75,159.25,1113600,139.825897
"651",158,158.899994,152.830002,154.75,2052700,135.874756
"652",155.050003,155.949997,153.149994,153.460007,1628300,134.742111
"653",153,155.059998,150.800003,153.520004,1792900,134.7948
"654",153.75,155.389999,152.419998,155.149994,1235500,136.225952
"655",154.949997,155.809998,153.820007,154.949997,1229100,136.050354
"656",154.559998,155.009995,152.199997,153.039993,1413900,134.373322
"657",153.070007,155.720001,152.830002,155.360001,1549300,136.41037
"658",153.949997,154.479996,151,152.119995,2976000,133.565552
"659",150.020004,151.190002,147.210007,147.889999,2882100,131.669174
"660",148.300003,151.190002,147.210007,148.610001,1899200,132.310226
"661",149.100006,150.619995,148.850006,149.960007,1082600,133.512146
"662",150.009995,150.589996,147.440002,147.520004,1295800,131.339752
"663",149.020004,149.949997,146.25,147.380005,1525600,131.215134
"664",147.5,149.070007,146.449997,148.699997,1164100,132.390335
"665",148.240005,148.669998,145.5,146.029999,1747200,130.013199
"666",147,147.600006,146.070007,146.979996,1022300,130.859009
"667",147.979996,148.199997,145.419998,145.470001,1855300,129.514603
"668",145.600006,146.779999,145.449997,146.539993,1220800,130.467255
"669",147,148.740005,146.520004,148.220001,1280500,131.962967
"670",148.880005,149.619995,148.059998,148.940002,1420500,132.604019
"671",148.399994,149.550003,148.100006,149.509995,943600,133.111496
"672",150.210007,150.710007,149.539993,150.149994,1048100,133.681305
"673",149.660004,150.440002,148.309998,150.059998,1055400,133.601166
"674",150.160004,151.610001,150.119995,151.25,1021900,134.660645
"675",151.600006,158.460007,150.789993,158.210007,2675900,140.857285
"676",157.979996,163.600006,157.729996,161.220001,2190900,143.537109
