"","PCAR.Open","PCAR.High","PCAR.Low","PCAR.Close","PCAR.Volume","PCAR.Adjusted"
"105",63.66,64.43,62.970001,63.150002,3534500,53.70575
"106",62.919998,63,61.93,62.32,2570200,52.999878
"107",64.349998,65.139999,63.580002,64.120003,3692300,54.530693
"108",64.209999,64.510002,62.869999,63.450001,1872100,53.960899
"109",63.599998,64.269997,63.41,63.970001,1646400,54.403118
"110",64.010002,64.470001,63.82,64.010002,1076500,54.437138
"111",63.720001,64.93,63.720001,64.57,1624700,54.913391
"112",64.730003,64.940002,64.199997,64.330002,1327200,54.709282
"113",64.129997,64.769997,63.470001,63.889999,1418000,54.335079
"114",64.489998,65.25,64.150002,65.110001,1744500,55.372635
"115",65.029999,65.230003,64.449997,65.209999,2252000,55.457664
"116",65.449997,65.449997,64.800003,65.190002,1618000,55.440666
"117",64.980003,65.010002,63.970001,63.990002,1040700,54.420124
"118",63.919998,63.939999,62.59,62.75,1470700,53.365574
"119",62.560001,63.09,62.32,62.75,1090200,53.365574
"120",62.77,63.169998,62.490002,62.509998,1724500,53.161472
"121",62.77,63.32,62.580002,63.189999,1218400,53.739773
"122",63.110001,63.77,62.779999,62.799999,1349800,53.408104
"123",63.049999,65.510002,62.970001,65.360001,2020700,55.585232
"124",65.349998,65.970001,64.690002,65.309998,2656000,55.542725
"125",66.129997,66.400002,65.379997,66.040001,2112400,56.16354
"126",66.410004,67.43,66.18,67,1418300,56.97998
"127",67.169998,67.349998,65.839996,66.389999,2532900,56.461197
"128",66.419998,68,66.32,67.199997,3234500,57.150066
"129",67.43,68.110001,66.849998,67.620003,1485100,57.507259
"130",67.459999,68.940002,67.400002,68.480003,2194300,58.23864
"131",68.400002,68.870003,68.029999,68.519997,1685800,58.272648
"132",69.160004,69.559998,68.480003,68.519997,1379700,58.272648
"133",68.639999,68.809998,68.080002,68.260002,1529900,58.05154
"134",67.870003,68.870003,67.82,68.650002,947600,58.383217
"135",68.650002,68.879997,68.139999,68.230003,1411800,58.026024
"136",68.099998,68.510002,67.879997,68.449997,1183400,58.213116
"137",68.07,68.629997,67.760002,68.529999,1491000,58.281155
"138",68.779999,69.360001,68.169998,68.550003,1464800,58.298168
"139",68.25,69.040001,68.129997,68.870003,1534100,58.570305
"140",69.07,69.419998,68.610001,69.139999,2695800,58.799942
"141",70,70.32,67.25,68.639999,4416900,58.37471
"142",68.720001,69.360001,68.370003,68.559998,1709600,58.306671
"143",68.269997,68.730003,67.660004,68.160004,1489700,57.966499
