"","ANSS.Open","ANSS.High","ANSS.Low","ANSS.Close","ANSS.Volume","ANSS.Adjusted"
"609",184.119995,185.880005,182.800003,185.850006,267900,185.850006
"610",186.029999,189.809998,184.610001,189.199997,348500,189.199997
"611",200.399994,200.399994,189.889999,193.289993,279400,193.289993
"612",194.759995,197.179993,192,195.080002,298200,195.080002
"613",196.740005,198,192.960007,194.809998,362800,194.809998
"614",194.970001,198.380005,194.839996,197.770004,259600,197.770004
"615",198.809998,199.779999,197.649994,198.470001,390400,198.470001
"616",198.350006,198.779999,195.669998,197.130005,273800,197.130005
"617",197.240005,200.990005,196.669998,198.720001,379700,198.720001
"618",200.360001,204.210007,199.910004,201.889999,415300,201.889999
"619",202.910004,204.410004,201.210007,204.050003,306200,204.050003
"620",206.029999,208.559998,203.179993,203.699997,393800,203.699997
"621",203.990005,204.289993,200.789993,200.960007,661500,200.960007
"622",201.300003,203.679993,200.559998,201.389999,349300,201.389999
"623",200.929993,201.289993,196.160004,196.449997,466800,196.449997
"624",197.880005,199.880005,197,198.679993,520600,198.679993
"625",199.550003,202.360001,199.229996,200.869995,288200,200.869995
"626",201.419998,205,201.300003,204.820007,674400,204.820007
"627",208.330002,211.630005,206.580002,208.110001,473900,208.110001
"628",208.850006,209.389999,205.830002,206.589996,367200,206.589996
"629",207.470001,209.800003,207.149994,209.330002,222000,209.330002
"630",207.380005,209.639999,205.119995,209.509995,242700,209.509995
"631",208.660004,209.479996,206.520004,207.929993,355900,207.929993
"632",207.039993,207.440002,205.550003,206.720001,506100,206.720001
"633",207.960007,210.289993,207.550003,209.550003,357800,209.550003
"634",209.830002,211.759995,208.520004,211.300003,379500,211.300003
"635",211.320007,212.660004,209.679993,212.279999,255400,212.279999
"636",212.830002,212.940002,210.220001,210.919998,469300,210.919998
"637",211.509995,211.509995,208.860001,209.740005,298000,209.740005
"638",209.539993,211.270004,209.539993,209.699997,343400,209.699997
"639",208.889999,209.679993,206.380005,207.559998,575500,207.559998
"640",209.639999,211.110001,207.970001,208.100006,418000,208.100006
"641",210.130005,212.710007,209.470001,211.5,392900,211.5
"642",212.330002,213.889999,209.630005,213.240005,304500,213.240005
"643",213.190002,215.389999,212.119995,214.949997,404400,214.949997
"644",214.070007,215.029999,212.899994,213.240005,368600,213.240005
"645",214.220001,215.029999,212.949997,213.149994,222800,213.149994
"646",213.589996,214.970001,207.960007,210.660004,247300,210.660004
"647",208.520004,210.039993,207.130005,207.800003,275700,207.800003
"648",208.350006,208.350006,200.809998,203.119995,358600,203.119995
"649",203.320007,206.449997,200.279999,201.210007,472700,201.210007
"650",199.460007,200.259995,193.949997,195.350006,579500,195.350006
"651",190.589996,193.050003,186.809998,190.149994,1002500,190.149994
"652",210,210,195.389999,198.339996,1129800,198.339996
"653",195.889999,202.970001,195.740005,201.889999,800100,201.889999
"654",203.429993,211.830002,203.429993,211.330002,546000,211.330002
"655",210.149994,213.270004,206.350006,208.270004,539900,208.270004
"656",207.429993,209.300003,205.139999,207.039993,410400,207.039993
"657",207.169998,213.539993,206.960007,213.419998,444900,213.419998
"658",209.929993,210.979996,204.429993,205.059998,561700,205.059998
"659",205.669998,206.059998,201.949997,204.119995,519200,204.119995
"660",206.119995,210.100006,205.210007,209.570007,432600,209.570007
"661",212.199997,213.839996,210.759995,212.990005,418400,212.990005
"662",212.899994,214.839996,210.970001,213.179993,454300,213.179993
"663",215.399994,218.169998,213.419998,218.039993,330800,218.039993
"664",218.710007,219.589996,215.479996,217.100006,390900,217.100006
"665",215.710007,218.190002,210.080002,210.710007,618700,210.710007
"666",212.850006,213.710007,210.699997,211.800003,420200,211.800003
"667",213.570007,214.270004,208.559998,211.039993,646600,211.039993
"668",209.350006,209.350006,203.270004,204.139999,902200,204.139999
"669",207.630005,210.179993,206.520004,209.179993,354900,209.179993
"670",210.919998,210.940002,204.139999,206.559998,559500,206.559998
"671",206.529999,208.800003,205.330002,206.009995,520100,206.009995
"672",207.630005,212.509995,207.630005,212.490005,391600,212.490005
"673",215.179993,219.399994,213.699997,218.089996,669800,218.089996
"674",218.240005,219.860001,216.639999,217.589996,384600,217.589996
"675",218.929993,219.029999,211.619995,214.580002,772900,214.580002
"676",214.110001,214.110001,209.100006,210.380005,667000,210.380005
"677",211.149994,215.029999,210.789993,214.589996,591500,214.589996
"678",216.690002,217.880005,208.979996,211.080002,667800,211.080002
"679",216.990005,217.860001,211.160004,212.130005,536300,212.130005
