"","WST.Open","WST.High","WST.Low","WST.Close","WST.Volume","WST.Adjusted"
"722",146.970001,148.550003,146.660004,148.210007,365300,147.451874
"723",147.970001,148.960007,147.330002,148.690002,206800,147.929413
"724",149.119995,150.589996,148.779999,150.149994,276800,149.381958
"725",150,151.149994,148.789993,149.130005,341900,148.367172
"726",149.910004,150.570007,149.070007,149.720001,322400,148.954163
"727",149.220001,150.600006,147.949997,149.600006,530400,148.834763
"728",149.770004,149.770004,147.149994,147.350006,367400,146.596268
"729",147.529999,147.710007,146.160004,146.399994,286300,145.651108
"730",146.970001,147.869995,145.809998,146.179993,458300,145.432251
"731",146.240005,148.429993,145.309998,148.139999,3416800,147.382248
"732",148.679993,150.300003,148.220001,150.240005,472300,149.471497
"733",149.850006,150.880005,146.809998,147.029999,157800,146.277908
"734",147.130005,149.639999,145.759995,149.429993,592800,148.665619
"735",148.130005,149.429993,146.490005,147.360001,372500,146.606247
"736",148.550003,150.309998,147.259995,147.580002,563100,146.825104
"737",147.720001,147.970001,146.619995,147.369995,293900,146.61615
"738",148.089996,148.830002,147.339996,147.470001,430900,146.715652
"739",147.460007,147.460007,144.559998,144.729996,247600,143.98967
"740",145.279999,146.410004,144.809998,145.360001,267900,144.616455
"741",145.399994,146.880005,145.389999,146.669998,287300,145.919769
"742",143.389999,146.490005,141.360001,146.410004,449800,145.661087
"743",145.910004,146.979996,144.839996,146.369995,341600,145.621246
"744",148.119995,149.979996,147.080002,147.25,500100,146.496796
"745",147.720001,148.460007,146.220001,148.389999,444400,147.630936
"746",148.720001,149.5,147.699997,149.300003,343100,148.536285
"747",149.539993,150.199997,148.610001,149.440002,558800,148.675583
"748",150.160004,151.389999,148.889999,150.839996,532300,150.068405
"749",151,151.830002,149.5,151.210007,155500,150.436508
"750",150.990005,152.089996,150.059998,150.729996,83600,149.958969
"751",151.039993,151.119995,150.179993,150.770004,118300,149.998779
"752",151.429993,152.119995,150.399994,150.809998,176300,150.038559
"753",150.869995,151.320007,149.740005,150.809998,200800,150.038559
"754",150.660004,151.570007,149.880005,150.330002,480600,149.56102
"755",150.25,152.5,149.389999,151.740005,527800,150.963821
"756",149.699997,152.369995,148.720001,152.139999,316100,151.361755
"757",151.350006,152.610001,150.990005,152.220001,331900,151.44136
"758",151.789993,152.429993,150.630005,151.830002,289800,151.053345
"759",151.979996,151.990005,149.740005,149.779999,533900,149.013855
"760",150.619995,152,150.509995,151.460007,726600,150.685257
"761",152,153.649994,151.139999,152.630005,469500,151.849274
"762",152.770004,156.279999,152.770004,155.940002,606300,155.142334
"763",155.949997,157.550003,155.429993,156.490005,453500,155.689529
"764",156.369995,158.720001,156.369995,157.190002,415100,156.385941
"765",157.5,158.570007,156.949997,158.360001,452600,157.549942
"766",158.779999,159.210007,157.119995,157.589996,348400,156.78389
"767",156.919998,158.210007,156.919998,157.610001,311300,156.96315
"768",158.070007,158.679993,156.850006,157.220001,506200,156.574768
"769",156.770004,157.690002,156.419998,156.550003,814600,155.907501
"770",157.039993,157.229996,155.320007,155.75,391200,155.110809
"771",153.850006,156.699997,152.880005,155.490005,615500,154.851852
"772",156,157.630005,155.919998,157.330002,204800,156.684326
"773",157.440002,159.289993,156.979996,158.110001,261200,157.461121
"774",157.479996,159.080002,156.960007,157.949997,331600,157.301743
"775",157.080002,157.509995,155.070007,155.949997,567900,155.309982
"776",156.600006,158.479996,156.600006,158.289993,324100,157.640381
"777",159.820007,161.210007,158.460007,158.940002,376800,158.287689
"778",159.800003,161,159.110001,159.570007,474900,158.915115
"779",159.660004,160.550003,158.800003,160.380005,197300,159.721786
"780",160.029999,160.259995,158.429993,159.089996,227100,158.437103
"781",158.830002,160.160004,158.440002,160.059998,182300,159.403076
"782",160.910004,162.449997,160.710007,162.199997,247100,161.534332
"783",162.339996,162.850006,161,162.199997,464600,161.534332
"784",165.460007,175.110001,165.460007,174.380005,615000,173.664322
"785",174.779999,175.210007,172.119995,174.570007,396900,173.853577
"786",174.389999,175.190002,173,173.220001,477900,172.509094
"787",172.580002,176.660004,169.929993,174.759995,473500,174.04277
"788",173.339996,174.5,170.460007,171.669998,481500,170.965454
"789",171.470001,171.720001,169.759995,170.160004,307100,169.461655
"790",166.490005,168.699997,165.149994,166.889999,337600,166.205093
"791",167.309998,167.690002,162.350006,162.570007,448300,161.902817
"792",162.660004,164.630005,158.300003,158.300003,483200,157.650314
"793",155.460007,160.529999,154.809998,154.809998,468100,154.174637
"794",151.559998,152.809998,147.570007,150.559998,834400,149.942093
"795",151.539993,156.669998,150.589996,156.490005,446500,155.847748
"796",156.720001,159.910004,151.919998,153.979996,485900,153.348053
"797",157.050003,159.330002,155.5,158.899994,489200,158.247849
"798",156.190002,157.240005,151.320007,153.479996,301300,152.850113
"799",149.789993,150.270004,145.990005,149.949997,552300,149.334579
"800",149,149,138.75,139.800003,735800,139.226257
