"","IBM.Open","IBM.High","IBM.Low","IBM.Close","IBM.Volume","IBM.Adjusted"
"408",136.281067,137.667297,135.755264,137.581268,4436609,117.273323
"409",138.021027,139.273422,138.021027,138.94838,5492232,118.438629
"410",138.422562,139.952194,138.326965,139.636703,2801816,119.025352
"411",139.933075,140.688339,139.722748,140.066925,2614686,119.392075
"412",140.53537,140.650101,139.474182,139.550674,3249817,118.952019
"413",139.588913,139.732315,138.804977,138.852768,2498894,118.357132
"414",138.661575,139.120453,138.384323,138.977051,2322538,118.463089
"415",139.063095,139.66539,138.499039,139.617584,2904324,119.009094
"416",140.478012,141.128113,140.076477,140.238998,3652214,119.538765
"417",140.487579,140.525818,139.761002,140.143402,2568244,119.457291
"418",140.411087,141.424469,140.152969,141.05162,3298875,120.231445
"419",140.564056,140.822174,138.862335,139.512421,3494058,118.919441
"420",139.311661,140.325043,139.139572,140.038239,3648971,119.36763
"421",139.560226,139.761002,138.441681,139.273422,3479205,118.715729
"422",138.804977,140.296371,138.671127,140.210327,3270319,119.514313
"423",140.420654,141.166351,139.139572,139.952194,4444245,119.294281
"424",139.521988,140.057358,138.738052,139.053543,4908983,118.528267
"425",140.152969,140.822174,139.158707,139.244736,3784742,118.691254
"426",139.579346,140.525818,138.862335,140.047806,3529936,119.375778
"427",139.933075,141.472275,139.608032,140.124283,4714008,119.440956
"428",140.86998,142.447418,140.650101,142.399612,5592439,121.38044
"429",142.304016,142.734222,141.281067,141.806885,3610897,120.875214
"430",141.912048,142.514343,141.271515,141.434036,3715287,120.557404
"431",141.261948,142.437866,140.984711,142.026764,3796352,121.062637
"432",142.093689,143.365204,141.711288,142.504776,4441525,121.470078
"433",143.001907,144.722748,142.868073,144.502869,6226001,123.173264
"434",144.818359,145.889099,144.110901,144.694077,20865085,123.336266
"435",144.455063,144.550674,142.887192,143.432129,4461190,122.260567
"436",143.317398,143.79541,141.835571,142.361374,4599785,121.347862
"437",145.697891,146.606125,144.684509,144.942642,7742387,123.548126
