"","CDW.Open","CDW.High","CDW.Low","CDW.Close","CDW.Volume","CDW.Adjusted"
"143",64.089996,64.230003,62.889999,63.360001,449400,60.379326
"144",63.23,63.459999,62.860001,63.369999,367900,60.388863
"145",63.490002,63.849998,63.400002,63.43,514900,60.446037
"146",63.810001,63.990002,63.369999,63.970001,779400,60.960625
"147",64.190002,64.269997,63.41,63.82,716500,60.817688
"148",64.519997,65.389999,63.939999,64.349998,978900,61.322754
"149",64.040001,64.360001,63.290001,63.299999,557500,60.32214
"150",63.119999,63.880001,62.91,63.810001,672600,60.808167
"151",63.639999,64.230003,63.599998,63.830002,472700,60.827221
"152",63.529999,63.619999,62.52,62.91,579700,59.950493
"153",62.580002,62.689999,60.709999,60.779999,579000,57.9207
"154",61,61.23,60.740002,61.060001,541200,58.187534
"155",62.150002,62.389999,61.68,62.200001,400600,59.273903
"156",61.919998,62.209999,61.639999,61.68,495600,58.778362
"157",61.75,62.240002,61.700001,61.869999,299300,58.959419
"158",61.599998,61.970001,61.380001,61.439999,744300,58.549652
"159",61.34,61.59,60.380001,60.389999,635300,57.549046
"160",60.360001,60.59,59.779999,60.23,501600,57.396576
"161",60.599998,60.93,60.349998,60.790001,632700,57.930237
"162",60.41,61.290001,60.41,61.080002,472300,58.360191
"163",61.099998,61.529999,60.990002,61.43,488200,58.694611
"164",61.540001,62.57,61.529999,62.150002,908400,59.382549
"165",62.150002,62.380001,61.290001,61.369999,465700,58.637276
"166",61.110001,61.720001,61.040001,61.580002,364900,58.837933
"167",61.41,62.419998,61.259998,62.41,634700,59.630974
"168",62.59,63.59,62.529999,63.419998,883000,60.595997
"169",63.529999,63.529999,61.169998,62.07,1051200,59.306118
"170",61.779999,61.84,60.060001,60.369999,769400,57.681808
"171",60.790001,60.93,59.650002,59.860001,685400,57.194527
"172",59.779999,60.080002,58.950001,59.310001,862600,56.669014
"173",58.73,59.330002,58.57,58.959999,991500,56.334591
"174",59.48,60.25,59.48,59.939999,1052600,57.27095
"175",60.119999,60.529999,59.860001,60.52,607000,57.825142
"176",60.259998,61.419998,60.080002,61.310001,667000,58.57996
"177",61.16,61.849998,60.650002,61.669998,952500,58.92392
"178",61.689999,62.41,61.470001,61.889999,1979500,59.134125
"179",62.220001,62.970001,61.91,62.799999,811800,60.003597
"180",63.029999,63.040001,62.369999,62.849998,671200,60.051376
"181",62.790001,62.950001,62.169998,62.810001,653300,60.013165
"182",62.59,62.889999,62.27,62.68,485600,59.888943
"183",62.689999,64.32,62.040001,64.199997,695800,61.341263
"184",64.190002,64.190002,63.43,63.700001,521300,60.863529
"185",64.050003,64.739998,63.400002,64.599998,528200,61.723461
"186",64.879997,65.660004,64.410004,65.220001,735500,62.315849
"187",65.169998,66.290001,65,66.220001,533700,63.271324
"188",66.309998,66.800003,65.790001,66,1482400,63.061115
"189",66.080002,68.379997,66.080002,68.32,1014900,65.277802
"190",68.220001,69.160004,68.040001,68.849998,1230700,65.784218
"191",68.559998,69.739998,68.459999,69.699997,1002400,66.596359
"192",69.730003,70.169998,69.220001,69.290001,989500,66.204613
"193",69.300003,69.690002,68.82,69.639999,691500,66.539024
"194",69.75,70.510002,69.410004,70.279999,816100,67.15052
"195",70.739998,71.529999,69.989998,70.300003,882200,67.16964
"196",70.18,70.459999,68.940002,69.040001,1063400,65.965752
"197",69.050003,69.32,68.699997,68.949997,673200,65.879753
"198",66.68,68.440002,66.639999,68.080002,1253800,65.048508
"199",67.949997,68.470001,67.690002,68.290001,1337400,65.249153
"200",68.419998,68.760002,68.019997,68.540001,666900,65.488022
"201",68.599998,68.870003,67.849998,68.650002,587400,65.593117
"202",68.43,68.699997,66.739998,68.389999,696700,65.344696
"203",69.050003,69.620003,68.760002,69.620003,613400,66.519913
"204",69.830002,69.900002,69.360001,69.559998,581600,66.462593
"205",69.709999,70.190002,69.040001,69.959999,510100,66.844788
"206",69.730003,69.889999,68.010002,69.160004,9e+05,66.080421
"207",69.349998,69.610001,68.360001,69.300003,659500,66.21418
"208",69.639999,69.720001,68.230003,69.599998,815700,66.500832
"209",69.449997,69.720001,68.599998,69.309998,497900,66.223724
"210",69.540001,70.43,68.989998,70,895600,66.882996
"211",68.82,70.709999,67.849998,68.919998,1032700,65.851097
"212",69.080002,70.050003,68.150002,70,712400,66.882996
"213",69.75,70.540001,69.419998,70.040001,624500,66.921211
"214",70.029999,70.239998,69.040001,70.199997,455700,67.074112
"215",69.949997,70.230003,68.099998,68.349998,792600,65.306458
"216",68.080002,68.459999,67.309998,67.849998,846200,64.828735
"217",67.540001,67.860001,66.480003,67.160004,679700,64.169464
"218",66.709999,67.629997,66.709999,67.260002,950400,64.265007
"219",67.019997,67.989998,67.019997,67.739998,834900,64.72364
"220",67.589996,67.699997,66.839996,67.169998,561800,64.179001
"221",66.349998,66.519997,65.589996,65.760002,630000,62.831795
"222",65.779999,67.07,65.779999,66.419998,653200,63.46241
"223",66.410004,66.739998,66.029999,66.110001,439000,63.166222
"224",66.110001,67.150002,66.089996,66.75,759200,63.777714
"225",67.059998,67.279999,66.220001,66.410004,695100,63.452862
"226",66.169998,66.57,66.169998,66.300003,494000,63.548706
"227",66.540001,66.540001,65.980003,66.370003,182100,63.615803
"228",66.32,66.620003,66,66.449997,681000,63.692486
"229",66.720001,69.470001,66.540001,69.419998,1035200,66.539238
"230",69.419998,69.68,68,68.910004,864600,66.050407
"231",69.419998,70.110001,68.019997,70.010002,1873800,67.104752
"232",69.830002,69.900002,67.110001,69.139999,689300,66.270844
"233",69.300003,70.550003,69.110001,70.139999,1036900,67.229355
"234",69.940002,70.669998,69.290001,69.410004,664200,66.529663
"235",69,69.18,68.019997,68.43,672500,65.590317
"236",68.220001,69.389999,68.18,69.019997,814500,66.155815
"237",69.550003,70.089996,69.400002,69.760002,823500,66.865128
"238",69.529999,70.300003,69.519997,70.269997,686000,67.353958
"239",70.32,70.489998,69.519997,70.190002,608400,67.277283
"240",69.82,70.220001,69.519997,69.599998,617700,66.711777
"241",69.669998,69.669998,67.580002,67.599998,693500,64.794754
