"","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume","ISRG.Adjusted"
"544",186.33667,187.333328,180.470001,183.309998,1508100,183.309998
"545",183.373337,183.646667,181.943329,182.203339,1148400,182.203339
"546",182.333328,182.940002,178.176666,178.83667,1541400,178.83667
"547",178.789993,178.789993,174.559998,177.720001,2139600,177.720001
"548",175.366669,178.176666,175,177.919998,1674300,177.919998
"549",178.896667,181.676666,178.339996,180.983337,1550100,180.983337
"550",181.899994,184.066666,180.800003,183.376663,1557900,183.376663
"551",183.71666,186.899994,183.666672,185.720001,1437600,185.720001
"552",185.666672,186.473328,183.156662,186.243332,1696200,186.243332
"553",186.796661,186.996674,185.013336,186.070007,3847200,186.070007
"554",186.156662,186.623337,184.363327,186.496674,1723500,186.496674
"555",186.666672,188.473328,185.136673,187.573334,1679400,187.573334
"556",187.666672,190.573334,186.996674,189.786667,1959300,189.786667
"557",189.263336,193.07666,188.910004,192.660004,1538700,192.660004
"558",191.220001,191.426666,186.916672,187.08667,1688100,187.08667
"559",187,188.373337,185.866669,187.573334,1185600,187.573334
"560",189.486664,191.07666,188.406662,189.213333,1173300,189.213333
"561",188.523331,189.210007,184.003326,186.089996,1432800,186.089996
"562",186.193329,187.993332,184.929993,187.630005,984900,187.630005
"563",188.566666,190.66333,187.21666,190.193329,1521300,190.193329
"564",191.666672,193.28334,190.936661,191.846664,1741200,191.846664
"565",193,193.263336,191.703339,191.993332,1737600,191.993332
"566",192.990005,193.416672,191.346664,192.08667,1401600,192.08667
"567",192.386673,192.386673,186.600006,190.093338,1965600,190.093338
"568",191.506668,192.646667,190.896667,191.906662,1356000,191.906662
"569",191.486664,192.956665,189.199997,192.779999,1509600,192.779999
"570",192.456665,193.850006,192.013336,193.126663,1478700,193.126663
"571",193.196671,195.616669,191.669998,195.296661,1508700,195.296661
"572",195.296661,195.520004,192.476669,194.876663,1161900,194.876663
"573",195.993332,196.440002,193.583328,194.28334,1137300,194.28334
"574",195.146667,195.443329,191.686661,192.270004,1601400,192.270004
"575",194.029999,194.16333,185.929993,187.143326,2602800,187.143326
"576",188.333328,188.583328,173.889999,175,5093400,175
"577",176.666672,179.266663,174.513336,176.020004,7310400,176.020004
"578",166.633331,168.623337,162.220001,163.686661,11266800,163.686661
"579",165.32666,167.766663,162.473328,166.806671,6303600,166.806671
"580",168.333328,170.556671,167,169.380005,4776900,169.380005
"581",171.043335,173.933334,169.603333,172.593338,4370700,172.593338
"582",173.830002,174.796661,170.669998,173.036667,2122500,173.036667
"583",173.333328,174,169.973328,170.113327,2257500,170.113327
