"","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"179",88.389999,88.589996,88.019997,88.110001,1671100,86.290146
"180",88.150002,88.620003,86.809998,86.870003,3143800,85.075768
"181",87.029999,87.129997,86.120003,86.459999,3532400,84.674202
"182",86.589996,86.93,86.370003,86.419998,1892800,84.635048
"183",86.470001,86.889999,86.110001,86.779999,1906300,84.987602
"184",86.849998,87.07,85.5,86,2202700,84.223724
"185",85.860001,86.050003,85.150002,85.459999,2388200,83.694862
"186",85.790001,86.150002,84.959999,85.459999,2546600,83.694862
"187",85.279999,85.529999,84.629997,85.040001,2769600,83.420204
"188",85.080002,85.900002,85,85.779999,2324400,84.146088
"189",86,86.830002,85.860001,86.519997,1910600,84.871986
"190",86.800003,86.889999,86.099998,86.519997,1235000,84.871986
"191",86.25,87.050003,86.25,86.879997,1586800,85.225151
"192",86.959999,87.110001,86.519997,86.970001,1555000,85.313416
"193",86.989998,87.699997,86.879997,87.629997,2074600,85.960854
"194",87.639999,87.699997,86.699997,87.029999,2247100,85.372292
"195",86.839996,87.419998,86.839996,87.169998,1874800,85.509628
"196",87.199997,87.489998,86.93,86.959999,1372500,85.303642
"197",86.989998,87.449997,86.769997,87.029999,2042700,85.372292
"198",86.830002,87.110001,86.620003,86.839996,2042700,85.185898
"199",86.970001,87.230003,85.959999,86.129997,2877900,84.489433
"200",85.449997,85.949997,83.809998,85.260002,4838000,83.636017
"201",85.389999,86.18,85.099998,86.050003,3369300,84.410965
"202",89.830002,91.639999,89,90.099998,8927300,88.38382
"203",90.050003,91.330002,90.050003,90.790001,4113500,89.060661
"204",91.230003,91.720001,90.410004,90.470001,2906700,88.746758
"205",90.830002,91.230003,90.209999,90.949997,3515700,89.217628
"206",90.860001,90.970001,90.129997,90.650002,2797400,88.923332
"207",90.699997,91.629997,90.339996,91.459999,2691900,89.717903
"208",91.419998,92.260002,91.410004,92.25,2875400,90.492867
"209",91.970001,92.199997,91.5,91.809998,2321000,90.061241
"210",91.730003,92.470001,91.669998,92.269997,2857800,90.512482
"211",92.370003,93.129997,92.089996,92.910004,2878900,91.140289
"212",92.839996,93.139999,92.349998,92.709999,1949000,90.944115
"213",92.580002,93.160004,92.220001,93.129997,1778800,91.356102
"214",93.120003,93.120003,92.370003,92.620003,1806800,90.855812
"215",92.739998,93.290001,92.589996,93.199997,1270000,91.424751
"216",92.919998,93.360001,92.769997,93.239998,2001500,91.463989
"217",93.220001,93.269997,92.190002,92.980003,2420800,91.208984
"218",92.809998,92.910004,91.650002,92.239998,2361600,90.483047
"219",92.150002,93.379997,91.839996,93.330002,2041000,91.552277
"220",92.809998,93.309998,92.480003,93.190002,1974800,91.414955
"221",93.07,93.129997,92.419998,92.419998,1844100,90.65963
"222",92.599998,93.860001,92.32,93.580002,1554000,91.797539
"223",93.120003,93.639999,92.800003,93.300003,1510500,91.522873
