"","NCLH.Open","NCLH.High","NCLH.Low","NCLH.Close","NCLH.Volume","NCLH.Adjusted"
"696",48.130001,48.220001,47.099998,47.169998,1410000,47.169998
"697",47.5,47.619999,46.959999,47.209999,1307100,47.209999
"698",47.349998,48.32,47.299999,48.09,1157800,48.09
"699",48.900002,49.860001,48.779999,49.16,1052900,49.16
"700",48.889999,49.540001,48.799999,49.330002,739100,49.330002
"701",49.5,50.220001,49.419998,49.610001,1250900,49.610001
"702",49.68,49.849998,49.130001,49.330002,896100,49.330002
"703",49.43,50.5,49.23,49.779999,1363500,49.779999
"704",49.57,50.389999,49.57,50.209999,1496100,50.209999
"705",50.98,51.48,50.66,50.950001,2047200,50.950001
"706",51.07,51.07,49.950001,49.970001,909600,49.970001
"707",49.98,50.700001,49.759998,50.689999,875000,50.689999
"708",50.790001,51.32,50.669998,50.970001,1366200,50.970001
"709",50.740002,51.66,50.740002,51.470001,928400,51.470001
"710",51.529999,52.330002,51.529999,51.889999,1084200,51.889999
"711",52.049999,52.639999,51.73,52.619999,1821700,52.619999
"712",53.060001,53.150002,50.75,51.189999,3017400,51.189999
"713",50.959999,50.970001,49.970001,50.759998,1722800,50.759998
"714",51.119999,51.48,50.689999,51.330002,1383600,51.330002
"715",51.709999,52.299999,51.330002,52.290001,1224500,52.290001
"716",52.360001,52.740002,51.950001,52.490002,2509900,52.490002
"717",52.75,52.77,51.52,52.060001,2753600,52.060001
"718",53.209999,54,50.049999,52.220001,3215300,52.220001
"719",51.959999,52.279999,51.18,51.82,1945000,51.82
"720",51.560001,52.150002,51.459999,51.919998,1076100,51.919998
"721",52,52.169998,51.119999,51.259998,1694700,51.259998
"722",50.990002,52.209999,50.830002,52.119999,1437700,52.119999
"723",52.060001,52.669998,51.59,52.41,1291100,52.41
"724",52.610001,53.240002,52.48,53.060001,1532300,53.060001
"725",53.099998,53.549999,52.560001,53.490002,1242000,53.490002
"726",53.700001,54.27,53.509998,53.66,1912900,53.66
"727",53.290001,53.610001,52.529999,52.779999,2196100,52.779999
"728",52.48,53.5,52.259998,53.419998,3269400,53.419998
"729",53.75,54.32,53.599998,54.009998,1667500,54.009998
"730",54.360001,54.52,53.919998,53.970001,1143700,53.970001
"731",53.900002,54.439999,53.779999,53.93,2092100,53.93
"732",54.299999,54.709999,53.939999,54.639999,1075300,54.639999
"733",54.43,54.669998,53.580002,53.639999,606600,53.639999
"734",53.700001,53.970001,52.98,53.150002,1197200,53.150002
"735",52.34,52.990002,52.099998,52.860001,1695700,52.860001
"736",52.860001,53.810001,52.860001,53.610001,1256900,53.610001
"737",53.970001,54.389999,53.880001,54.25,1159500,54.25
"738",54.759998,55.18,54.5,54.709999,1310200,54.709999
"739",54.75,54.990002,54.529999,54.860001,813300,54.860001
"740",54.790001,54.860001,54.349998,54.779999,906800,54.779999
"741",55,55.669998,54.900002,55.41,1250200,55.41
"742",55.450001,56.259998,55.209999,56.130001,1403400,56.130001
"743",56.259998,56.720001,55.650002,55.779999,1057700,55.779999
"744",56.360001,56.360001,55.189999,55.220001,1468200,55.220001
"745",55.240002,55.48,54.799999,55.27,1470300,55.27
"746",55.32,55.32,54.59,54.830002,1594000,54.830002
"747",54.790001,55.740002,54.790001,55.34,2071800,55.34
"748",56.029999,57.98,56,57.560001,2974800,57.560001
"749",57.52,58.529999,57.360001,58.509998,1972200,58.509998
"750",58.57,58.57,58.040001,58.380001,497100,58.380001
"751",58.48,59.130001,58.099998,59.110001,909400,59.110001
"752",59.200001,59.34,58.810001,59.110001,842600,59.110001
"753",59.099998,59.110001,58.25,58.59,609700,58.59
"754",58.5,58.650002,58.279999,58.41,940600,58.41
"755",58.790001,59.110001,58.150002,58.830002,977700,58.830002
"756",57.740002,58.220001,57.25,57.599998,1611800,57.599998
"757",57.080002,57.27,56.52,56.799999,2302500,56.799999
"758",56.549999,57.27,56.48,56.970001,1623100,56.970001
"759",57.029999,57.919998,56.919998,57.57,1187300,57.57
"760",58.060001,58.130001,57.52,58.060001,782900,58.060001
"761",58.23,58.389999,57.57,57.959999,1051900,57.959999
"762",57.98,58.009998,57.299999,57.84,1357200,57.84
"763",57.77,58.09,57.68,57.900002,1147400,57.900002
"764",57.869999,58.25,57.150002,57.540001,1212400,57.540001
"765",57.75,58.610001,57.689999,58.580002,1305200,58.580002
"766",58.849998,59.779999,58.540001,59.650002,1701100,59.650002
"767",59,59.029999,57.57,57.950001,2252800,57.950001
"768",58.130001,58.68,57.48,57.630001,3227200,57.630001
"769",56.799999,58.279999,55.919998,58.220001,1323800,58.220001
"770",58.119999,58.119999,55.23,55.84,2244700,55.84
"771",53.119999,54.59,53.099998,54.16,2779200,54.16
"772",54.82,55.639999,54.419998,55,1484700,55
"773",55.16,56.220001,55.130001,56.02,1430400,56.02
"774",53.130001,55.290001,52.77,54.799999,3359700,54.799999
"775",54.75,54.91,53.41,53.849998,2146700,53.849998
"776",54.189999,54.669998,52.75,54.189999,2456100,54.189999
"777",55.43,55.68,54.650002,54.75,1984800,54.75
"778",55.169998,55.630001,54.900002,55.110001,2200200,55.110001
"779",55.779999,55.849998,55.080002,55.099998,1596500,55.099998
"780",53.490002,54.040001,52.310001,52.810001,2369900,52.810001
"781",52.25,52.25,50.970001,51,2534900,51
"782",51.599998,52.91,51.310001,52.490002,2002800,52.490002
