"","VLO.Open","VLO.High","VLO.Low","VLO.Close","VLO.Volume","VLO.Adjusted"
"39",67.279999,69.410004,67.220001,67.949997,9074700,54.461056
"40",68.510002,69.839996,68.190002,68.480003,4921900,54.885841
"41",68.220001,68.379997,65.93,66.449997,7343000,53.258804
"42",66.889999,67.199997,66,66.080002,4046600,52.962261
"43",65.889999,66.639999,65.43,66.440002,3315300,53.250801
"44",66.440002,66.980003,65.419998,65.620003,5504100,52.593582
"45",66,67.480003,65.830002,66.870003,7446400,53.595444
"46",66.760002,66.760002,65.580002,66.480003,4720300,53.28286
"47",66.669998,67.370003,66.25,66.57,4471600,53.354988
"48",66.510002,67.879997,66.510002,67.660004,4970700,54.228619
"49",67.32,67.699997,66.830002,67.440002,2954600,54.052292
"50",67.730003,69,67.129997,68.730003,4751200,55.08622
"51",68.93,69.199997,68.470001,68.550003,3654200,54.941936
"52",68.75,68.980003,68.260002,68.900002,9529900,55.222458
"53",68.739998,69.120003,68.18,68.529999,3175100,54.925919
"54",68.599998,68.699997,66.730003,67.150002,4068000,53.819855
"55",67.160004,67.870003,66.800003,67.57,3123500,54.156487
"56",67.629997,67.940002,67.019997,67.099998,3298800,53.779785
"57",66.839996,67.040001,65.699997,65.779999,4372000,52.721817
"58",65.540001,66.529999,65.449997,66.230003,2799300,53.082497
"59",66.519997,66.639999,65.650002,66.290001,3443400,53.130581
"60",66.199997,67.400002,66.110001,67.139999,3326900,53.811844
"61",67.279999,67.309998,66.199997,66.230003,7512800,53.082497
"62",66.230003,66.669998,66.059998,66.290001,3622100,53.130581
"63",66.589996,66.589996,65.660004,66.230003,3319400,53.082497
"64",65.75,66.300003,65.370003,65.809998,3101500,52.745853
"65",66.120003,66.699997,65,65.089996,3236700,52.168789
"66",65.110001,65.589996,64.709999,65.07,3378100,52.152763
"67",65.07,66.099998,65,65.57,3854600,52.553501
"68",65.599998,66.25,65.300003,65.349998,3409400,52.37719
"69",65.269997,65.660004,64.779999,65.629997,3927500,52.601604
"70",65.900002,66.25,65.07,65.129997,4156200,52.200851
"71",65.169998,65.629997,64.580002,64.68,3105200,51.840179
"72",64.739998,65.190002,64.650002,65.190002,2909800,52.248943
"73",64.93,65.099998,63.580002,64.150002,4605800,51.415401
"74",64.220001,64.370003,63.259998,63.490002,4988300,50.88641
"75",63.68,64.709999,63.560001,64.099998,2777800,51.375317
"76",64.589996,65.629997,64.199997,65.230003,5113200,52.280998
"77",65.699997,67.209999,65.699997,66.82,7075000,53.55537
"78",67.150002,67.690002,65.010002,65.830002,7379700,52.761902
"79",65.410004,65.75,64.809998,64.900002,6540500,52.01651
"80",64.68,65.489998,63.849998,65.32,4222800,52.353127
"81",65.620003,65.639999,64.410004,64.610001,4079200,51.784081
"82",64.82,64.870003,63.959999,64.360001,5432900,51.58371
"83",64.790001,64.830002,64.160004,64.489998,4476300,51.687901
"84",64.279999,65.160004,64.07,64.900002,2993300,52.01651
"85",64.529999,64.940002,63.959999,64.370003,3068300,51.591736
"86",64.589996,65.519997,64.309998,65.339996,4668900,52.369167
"87",65.379997,66.269997,65.32,66.110001,3472900,52.986313
"88",66.309998,67.160004,66.169998,66.629997,3836300,53.40308
"89",66.75,67.029999,65.910004,66.68,3409900,53.443157
"90",66.870003,66.93,66.110001,66.349998,2847500,53.178665
"91",66.279999,66.760002,66.160004,66.419998,3549600,53.234772
"92",66.150002,66.150002,65.160004,65.550003,3295000,53.097065
"93",65.120003,65.349998,63.959999,64.540001,6322500,52.27895
"94",64.540001,64.790001,63.48,63.799999,4529800,51.679523
"95",63.490002,64.07,63.029999,63.540001,3385900,51.468922
"96",63.689999,64.160004,63.169998,63.869999,3396100,51.736229
"97",64.260002,64.290001,63.560001,63.84,2742500,51.711922
"98",63.709999,64.360001,63.290001,64.120003,2945600,51.93874
"99",64.169998,64.610001,63.509998,63.810001,2998700,51.687622
"100",63.630001,64.190002,63.049999,63.189999,3786200,51.185406
"101",63.189999,63.5,62.130001,62.450001,3718700,50.585991
"102",61.610001,62.790001,60.689999,62.09,6566600,50.294384
"103",61.830002,62.169998,60.91,61.470001,4655900,49.792168
"104",61.369999,62.439999,61.07,62.119999,3541400,50.31868
"105",62.43,62.720001,62,62.099998,2788900,50.302479
"106",61.91,62.669998,61.790001,62.400002,3897100,50.545494
"107",62.139999,62.560001,61.860001,62.290001,2579800,50.456394
"108",61.82,62.48,61.59,62.299999,4378200,50.464497
"109",62.299999,64.150002,62.169998,63.18,5021300,51.177303
"110",63.009998,65.760002,62.889999,65.260002,6201200,52.862167
"111",65.260002,66.830002,65.260002,65.919998,6725900,53.396778
