"","BMY.Open","BMY.High","BMY.Low","BMY.Close","BMY.Volume","BMY.Adjusted"
"288",66.169998,68.029999,66.169998,67.949997,5240800,60.545609
"289",67.989998,68.860001,67.879997,68.629997,4229400,61.151508
"290",68.540001,68.879997,67.82,67.839996,4398500,60.447601
"291",67.849998,67.940002,66.169998,66.199997,8363900,58.986301
"292",66.099998,66.519997,64.830002,65.690002,7801300,58.531891
"293",65.449997,66.5,65.129997,66.169998,5391400,58.959576
"294",65.830002,67.139999,65.599998,66.82,6339600,59.538754
"295",67.220001,67.400002,65.190002,65.470001,6543400,58.335857
"296",64.900002,66.260002,64.699997,66.099998,5927600,58.897205
"297",66.199997,66.959999,66.080002,66.75,3728400,59.476368
"298",66.949997,68.050003,66.669998,67.919998,6260900,60.518887
"299",67.900002,68.18,67.18,67.449997,5031700,60.100101
"300",67.809998,68.220001,66.269997,66.68,5905800,59.414009
"301",67.080002,67.260002,66.269997,66.629997,4859300,59.369453
"302",66.760002,66.93,66.209999,66.25,3422200,59.030857
"303",66.18,67.440002,66.18,66.599998,9506100,59.342716
"304",66.620003,66.980003,65.18,66.07,5553700,58.87048
"305",66.379997,67.160004,65.720001,66.43,6307400,59.191235
"306",66.540001,66.989998,66.089996,66.099998,4331800,58.897205
"307",65.580002,65.889999,63.91,63.950001,6778700,56.981487
"308",64.050003,64.050003,61.939999,62.060001,8481500,55.297436
"309",62.779999,63.57,61.73,63.400002,6676500,56.491421
"310",63.639999,63.669998,61.799999,62.41,6221400,55.609287
"311",62.580002,63.360001,62.419998,62.57,5521200,55.751862
"312",62.869999,63.75,62.380001,63.25,5732300,56.357754
"313",62.93,63.23,60.73,62,6319700,55.24398
"314",62.32,62.860001,61.529999,62.77,6070400,55.930061
"315",61.869999,63.23,61.549999,62.98,5259800,56.117188
"316",62.990002,63.189999,62.16,62.310001,3856700,55.875069
"317",62.07,62.130001,59.98,60.880001,6462000,54.592747
"318",60.91,61.040001,58.34,60.48,10349100,54.234055
"319",61.360001,61.48,60.529999,61.209999,6014700,54.888664
"320",60.599998,60.77,59.939999,60.18,7817800,53.965042
"321",59.299999,59.310001,57.849998,58.84,14987200,52.763424
"322",59.150002,59.279999,57.91,58.650002,11551300,52.593048
"323",58.41,58.669998,52.700001,54.080002,34837300,48.495003
"324",54.200001,54.23,52.200001,52.380001,27808200,46.97057
"325",52.349998,52.849998,52.040001,52.299999,14688400,46.898834
"326",52.349998,52.540001,51.509998,51.610001,17146100,46.28009
