"","NFLX.Open","NFLX.High","NFLX.Low","NFLX.Close","NFLX.Volume","NFLX.Adjusted"
"131",152.369995,155.229996,151.550003,154.330002,4898600,154.330002
"132",155.770004,158.800003,155.770004,158.75,8481800,158.75
"133",158.509995,160.130005,156.979996,158.210007,6700100,158.210007
"134",159.300003,161.350006,157.970001,161.119995,5549200,161.119995
"135",162.910004,163.550003,160.020004,161.699997,17496700,161.699997
"136",176.119995,185,174.240005,183.600006,41587400,183.600006
"137",182.970001,187.169998,181.75,183.860001,17344300,183.860001
"138",183.839996,185.919998,182.699997,183.600006,7907200,183.600006
"139",182.720001,191.5,182.710007,188.539993,9277400,188.539993
"140",188.690002,190.25,187.009995,187.910004,8797300,187.910004
"141",187.789993,188.660004,185.809998,186.970001,5374500,186.970001
"142",187.699997,189.699997,187.509995,189.080002,4479300,189.080002
"143",189.889999,190,179.380005,182.679993,11221000,182.679993
"144",182,185.029999,181.179993,184.039993,6201900,184.039993
"145",184.259995,184.970001,180.649994,181.660004,4883600,181.660004
"146",182.490005,184.619995,181.429993,182.029999,5112700,182.029999
"147",182.220001,182.570007,177.809998,180.740005,5771300,180.740005
"148",180.529999,181.220001,178.020004,179.229996,4627700,179.229996
"149",179.600006,181,178.5,180.270004,4491100,180.270004
"150",181,182.270004,179.100006,181.330002,4609800,181.330002
"151",181.369995,181.910004,177.449997,178.360001,6104000,178.360001
"152",171.429993,175.960007,170.009995,175.779999,9670500,175.779999
"153",174.029999,174.449997,167.600006,169.139999,9693100,169.139999
"154",169.860001,172.580002,169,171.399994,5022300,171.399994
"155",169.800003,172.449997,168.800003,171,7468400,171
"156",171.529999,171.880005,168.25,168.5,5656100,168.5
"157",167.5,170.5,166.25,169.979996,7013600,169.979996
"158",169.229996,170.580002,165.720001,166.089996,5229200,166.089996
"159",165.949997,169.970001,165.800003,166.539993,7385700,166.539993
"160",166.910004,168.990005,164.229996,166.759995,6480700,166.759995
"161",167.759995,169.929993,167.039993,169.339996,4886300,169.339996
"162",168.350006,169.639999,166.699997,169.059998,4632300,169.059998
"163",169.860001,171.240005,166.149994,168.130005,5361700,168.130005
"164",168.580002,168.75,165.5,165.949997,4064000,165.949997
"165",166.429993,168.669998,165.600006,167.119995,3657300,167.119995
"166",165,169.679993,164.729996,168.809998,4620900,168.809998
"167",169.5,174.850006,169.369995,174.690002,8034700,174.690002
"168",175.449997,176.240005,173.860001,174.710007,6941000,174.710007
"169",175.550003,176.479996,173.919998,174.740005,3813000,174.740005
"170",173.399994,175.880005,172.440002,174.520004,4589500,174.520004
"171",175.25,179.460007,173.729996,179.25,8742600,179.25
"172",178.800003,180.350006,177.100006,179,6036100,179
"173",178.449997,180.389999,176.25,176.419998,4590800,176.419998
"174",178.100006,182.470001,178.029999,181.740005,5979400,181.740005
"175",182.550003,185.330002,180.639999,185.149994,6689600,185.149994
"176",184.070007,184.5,182.550003,183.639999,4320300,183.639999
"177",183.25,185.289993,182.070007,182.630005,4510700,182.630005
"178",182.729996,184.929993,181.429993,182.350006,5591700,182.350006
"179",183.610001,185.449997,182.729996,184.619995,5359600,184.619995
"180",184.979996,186.229996,184.169998,185.679993,4982100,185.679993
"181",186.100006,186.5,183.199997,185.509995,4625000,185.509995
"182",185.820007,189.949997,184.509995,188.779999,7148100,188.779999
"183",188.399994,189.850006,186.389999,187.350006,5464300,187.350006
"184",186.460007,186.550003,177.699997,178.550003,9367200,178.550003
"185",180.699997,180.949997,176.550003,179.380005,5602500,179.380005
"186",181.009995,183.339996,180.699997,181.970001,5710500,181.970001
"187",181.25,181.949997,179.360001,180.699997,4077000,180.699997
"188",180.729996,182.899994,180.649994,181.350006,4227900,181.350006
"189",182.110001,182.800003,176.580002,177.009995,7342000,177.009995
"190",177.649994,179.699997,177.550003,179.190002,3956900,179.190002
"191",181.410004,186.699997,181.25,184.449997,9235900,184.449997
"192",185.649994,194.490005,184.490005,194.389999,19412700,194.389999
"193",194.300003,198.919998,192.050003,198.020004,15348400,198.020004
"194",199.100006,199.399994,196.559998,196.869995,6971700,196.869995
"195",197.850006,198.300003,192.100006,195.080002,6233800,195.080002
"196",195.570007,196.220001,193.809998,194.949997,6450200,194.949997
"197",196.75,198.619995,194.710007,195.860001,7753300,195.860001
"198",199.699997,200.820007,197.190002,199.490005,12081300,199.490005
"199",201.949997,202.830002,197.860001,202.679993,22105400,202.679993
"200",200.110001,204.380005,197.770004,199.479996,23900100,199.479996
"201",199.990005,200.009995,194.25,195.539993,11198900,195.539993
"202",193.009995,195.25,191.160004,195.130005,7034600,195.130005
"203",195.899994,196.380005,193.770004,194.160004,5995600,194.160004
"204",194.169998,194.899994,191.029999,192.470001,6980000,192.470001
"205",192.75,196.740005,191.399994,196.020004,7069100,196.020004
"206",195.380005,197.059998,193.009995,193.770004,5315300,193.770004
"207",194.660004,197.610001,194.080002,195.210007,5185800,195.210007
"208",197.199997,200.649994,196.220001,199.539993,8128600,199.539993
"209",199.619995,201.100006,197.070007,198.369995,5439600,198.369995
"210",198.210007,198.589996,195.220001,196.429993,5518600,196.429993
"211",197.240005,199.199997,196,198,5017400,198
"212",197.449997,199.440002,197.089996,199.320007,3606300,199.320007
"213",199.800003,200.550003,197.990005,200.009995,3678800,200.009995
"214",200,202.479996,198.089996,200.130005,5846600,200.130005
"215",200,200.610001,194.800003,195.889999,6468000,195.889999
"216",196,197.089996,194.740005,196.440002,4237400,196.440002
"217",194.460007,194.490005,190.809998,193.899994,5979900,193.899994
