"","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"346",116.307693,117.230766,114.769234,115.615387,6594718,112.081604
"347",116,116.153847,114.769234,115.153847,4467294,111.634163
"348",118.153847,119.615387,116.92308,117.384613,10129184,113.796745
"349",118.384613,119.92308,117.615387,117.615387,8546083,114.020477
"350",116.92308,117,108.53846,109.07692,19154018,105.742981
"351",110.307693,113.230766,109.53846,112.307693,13703820,108.875
"352",112.384613,112.846153,110.846153,112.53846,6460831,109.098717
"353",111.384613,111.692307,107.846153,109.07692,9885772,105.742981
"354",108.769234,109.53846,107.846153,109,6787092,105.668419
"355",108.46154,108.692307,107.307693,108.307693,7209332,104.997276
"356",108.46154,108.846153,107.307693,108.46154,7395544,105.146416
"357",108.692307,109.307693,105.230766,105.46154,10714119,102.238113
"358",105.46154,107.153847,104,106.153847,9158292,102.909264
"359",106.307693,106.846153,104.846153,104.92308,8078889,101.716118
"360",104.846153,106.153847,104.692307,106,9227712,102.760101
"361",106,108.230766,105.46154,107.153847,6531837,103.8787
"362",107.615387,107.92308,106.53846,107.53846,5668221,104.251549
"363",107.92308,108.769234,107,107.53846,5397483,104.251549
"364",107.846153,108.153847,106.384613,106.846153,4614974,103.580383
"365",106.692307,107,104.307693,104.92308,7887243,101.716118
"366",103.92308,104,102.307693,102.307693,12503413,100.060951
"367",101.615387,101.769234,100.769234,101.53846,8884226,99.308617
"368",100.46154,100.53846,99.230766,99.615387,10123685,97.427788
"369",98.153847,100.846153,98.07692,99.07692,12535328,96.901131
"370",98.53846,98.615387,97,98.153847,9189986,95.998329
"371",98.153847,100.615387,98.153847,100.384613,8833149,98.180115
"372",100.230766,100.384613,98,98.07692,9986574,95.923096
"373",103.53846,107.230766,103,105.692307,27798316,103.371254
"374",106.615387,111.07692,106.153847,107.384613,17602078,105.02639
"375",107.230766,107.692307,105.230766,106.384613,8376030,104.048347
"376",106.384613,106.92308,104.384613,104.692307,9354709,102.393211
"377",103.692307,104.230766,101.46154,102.846153,8160607,100.587585
"378",102.692307,103.769234,102.307693,102.846153,4187612,100.587585
"379",102.92308,103.384613,100.307693,103.307693,6960486,101.038994
"380",102.846153,106.92308,102.46154,106.53846,7802912,104.19883
"381",107.230766,108.769234,107,107.307693,8717943,104.951157
"382",107.692307,109.07692,107.53846,109,7840963,106.6063
"383",108.153847,109.92308,107.615387,107.615387,6144593,105.252098
"384",108.07692,108.769234,107.153847,107.615387,5177185,105.252098
"385",107.46154,108.230766,106.769234,106.846153,6305715,104.499756
"386",106.846153,107.307693,106.153847,106.92308,5571826,104.574997
"387",106.53846,106.846153,105,105.307693,7684508,102.995087
"388",105.692307,106.230766,105.384613,105.769234,5334550,103.44648
"389",105.53846,106.769234,104.769234,105.615387,9745164,103.296013
"390",105.53846,106,99.846153,100.92308,22261902,98.706749
"391",100.153847,100.92308,99.230766,99.92308,11743264,97.728706
"392",99.384613,101,98.846153,100.92308,7366658,98.706749
"393",101,101.153847,99.692307,100.846153,6935929,98.631523
"394",100.769234,102.07692,100.46154,101.153847,7086560,98.932465
"395",100.92308,101.384613,99.846153,100.46154,5112978,98.255341
"396",100.307693,101.615387,100.07692,101.230766,5143450,99.007683
"397",101.46154,105,101.230766,104.846153,9320207,102.543686
"398",104.230766,104.230766,101.846153,101.846153,5788679,99.60955
"399",101.307693,101.615387,100.46154,101.307693,4754789,99.082909
"400",101.153847,101.92308,100.769234,101.07692,4581863,98.857208
"401",100.92308,101.384613,100.46154,100.769234,4223609,98.55629
"402",100.92308,101.92308,100.153847,101.230766,7358507,99.007683
"403",101.46154,101.46154,99.769234,100.384613,5251922,98.180115
"404",100.07692,100.230766,99.307693,99.53846,4223336,97.352547
"405",99.307693,99.307693,97.769234,98.230766,6298799,96.073578
"406",97.846153,97.92308,95.307693,95.769234,8722922,93.666084
"407",96,96.92308,94.769234,95,6448208,92.913757
"408",94.384613,95.07692,91.846153,94,8411923,91.935699
"409",94.307693,95.07692,93.92308,94.615387,6757959,92.537575
"410",94.307693,94.92308,93.92308,94.615387,6102915,92.537575
"411",94.384613,95.307693,93.384613,94.615387,4908345,92.537575
"412",94.92308,97.615387,94.846153,97.153847,7533188,95.020302
"413",97,97.07692,95.53846,95.92308,5648006,93.816551
"414",95.46154,96.615387,95.307693,96.46154,4947098,94.343208
"415",96.307693,96.615387,95.92308,96.153847,5027100,94.042259
"416",96,98.307693,95.769234,98.230766,5809141,96.073578
"417",98.230766,99.153847,97.846153,98.153847,7679009,95.998329
"418",98.230766,99.846153,97.46154,99.769234,6212505,97.578239
"419",99,99.769234,98.07692,98.230766,5806775,96.073578
"420",97.92308,99.615387,97.692307,99.53846,6552403,97.352547
"421",99.07692,99.07692,97.153847,97.46154,5828810,95.321228
"422",95.769234,96.769234,94.153847,96.615387,7159308,94.49366
"423",96.153847,98.46154,96.153847,96.230766,5280574,94.117485
"424",95.307693,95.692307,94.384613,95.384613,5962736,93.289917
"425",95.07692,97.692307,95,96.230766,5638711,94.117485
"426",95.692307,95.92308,94.07692,94.846153,5220007,92.763268
"427",94.615387,97.153847,94.07692,97,5224128,94.869827
"428",97.46154,98.07692,95.615387,97.769234,7107724,95.622185
"429",96.384613,98.07692,95.230766,97.53846,9096074,96.305725
"430",97,99.153847,96.92308,97.692307,6587308,96.457619
"431",97.46154,98.07692,96.615387,97.384613,5576064,96.153824
"432",97.07692,99.92308,96.615387,98.92308,8073273,97.672836
"433",96.846153,97.615387,95.07692,95.846153,11482328,94.634819
"434",95.384613,96.615387,93.53846,93.615387,12404483,92.432228
"435",93.07692,93.07692,89.230766,90.307693,19316687,89.166336
"436",90.230766,90.46154,86.307693,86.692307,17380246,85.596657
"437",86.53846,88.92308,86.230766,87.615387,12138698,86.508064
"438",87.46154,90.384613,87.384613,88.692307,10685506,87.571373
"439",88,88.53846,86.53846,86.846153,9954633,85.748558
"440",100.153847,100.53846,91.846153,93,40053884,91.824623
"441",94.769234,96,90.53846,94.769234,19331754,93.571487
"442",94.92308,97.153847,94.46154,96,10785593,94.786705
"443",95.46154,97.53846,94.92308,97.384613,9738573,96.153824
"444",99.07692,102.307693,98.92308,101.384613,19650852,100.103256
"445",104,104.92308,102,104.692307,22444435,103.369156
"446",105.46154,106,103.153847,104.230766,14358253,102.913452
"447",103,105.07692,101.769234,102.153847,11952590,100.86277
"448",100.92308,102.230766,97.384613,97.846153,15101047,96.609528
"449",96.384613,98.692307,93.846153,94.769234,16017105,93.571487
"450",94.230766,96.153847,93.384613,93.46154,8143226,92.280327
"451",94.07692,94.53846,92.307693,93.07692,11243154,91.900566
"452",94.230766,96.615387,93.230766,93.769234,10846303,92.584137
"453",93.384613,95.615387,92.769234,95.230766,10597626,94.027191
"454",94.46154,97.92308,94.307693,96.615387,11282115,95.39431
"455",96.846153,97.153847,94.846153,95.230766,6531655,94.027191
"456",93.46154,98,92.92308,97.615387,10645050,96.381676
"457",97.769234,98.53846,93.384613,93.615387,10836839,92.432228
"458",93.846153,94.46154,90.153847,90.769234,11471343,89.62204
"459",89.153847,89.615387,85.92308,86.92308,15289651,85.824509
"460",87.92308,90.230766,84.07692,85.846153,15580331,84.761192
"461",81.230766,87.692307,75.92308,78.307693,44846971,77.318001
"462",78.307693,79.92308,75.384613,77.692307,26244218,76.710381
"463",77,78.692307,73.384613,73.692307,30727762,72.760941
"464",74,74.307693,69.769234,71.46154,34256898,70.558372
"465",72.230766,73.307693,71.307693,71.384613,16170570,70.482414
"466",72,73.384613,72,72.46154,14680666,71.545731
"467",72.692307,72.769234,70.307693,70.769234,16122691,69.874802
"468",70.307693,71.846153,69.615387,70,21033584,69.115303
"469",67.615387,68.92308,62.692307,66,35560499,65.165863
"470",64.769234,65,59.384617,61.461536,31874557,60.684761
"471",61.692307,69.615387,61.307693,66.230766,26756080,65.393707
"472",67.384613,68.07692,63,64,22122074,63.191132
"473",63.384617,66.153847,62,62.846153,16701737,62.051872
"474",62.153847,63.076923,59.461536,61.692307,22959157,60.912605
"475",61.461536,63.384617,59.923077,60.307693,19250049,59.54549
"476",59,60.461536,57.923077,58.846153,18630235,58.102428
"477",59.923077,61,59.461536,60.076923,10977564,59.317642
"478",59.846153,60.461536,58.076923,58.23077,5651243,57.49482
"479",58.538464,59.538464,55.846153,58.307693,20624214,57.57077
"480",57.615383,58.692307,56.692307,57.23077,14352910,56.507462
"481",56.846153,59.76923,56.692307,59.538464,16159936,58.785984
