"","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted"
"223",238.860001,239.080002,237.119995,238.020004,2826400,221.227554
"224",238.779999,238.779999,237.110001,238.130005,2000700,221.329803
"225",239.410004,239.589996,237.539993,238.020004,2223800,221.227554
"226",237.940002,238.949997,236.360001,236.429993,2177200,219.749725
"227",237.419998,238.559998,235.550003,235.949997,1268500,219.303574
"228",235.75,236.880005,234.800003,235.110001,1999600,218.522858
"229",236.089996,240,234.330002,239.410004,3212900,222.51947
"230",241.25,244.470001,240.399994,241.360001,4500000,225.036896
"231",244.070007,250.789993,244,247.639999,6364600,230.892151
"232",249.779999,250.679993,244.009995,248.949997,4765400,232.113571
"233",254.889999,254.899994,250.009995,250.649994,3326100,233.698608
"234",250.800003,251.350006,247.410004,248.330002,2526800,231.535507
"235",246.240005,248.080002,245.130005,245.949997,2331400,229.316483
"236",244.619995,249.479996,244.399994,248.559998,2667000,231.749939
"237",250.5,250.679993,247.199997,250.350006,1959100,233.4189
"238",250,251.399994,248.759995,250.130005,1494200,233.213776
"239",250.809998,258.200012,250.690002,257.679993,3464200,240.253174
"240",257.809998,260.5,255.559998,255.559998,3482300,238.27652
"241",257.130005,259.549988,255.479996,255.479996,3353200,238.201935
"242",256.700012,258.970001,254.759995,257.170013,5283400,239.777679
"243",260,262,259.160004,260.019989,2575600,242.434891
"244",261.600006,261.799988,256.179993,256.480011,2195500,239.134338
"245",258.869995,259.089996,254.550003,255.179993,2052400,237.922226
"246",256.609985,262.089996,256.279999,261.01001,3337800,243.358032
"247",261.660004,262.140015,257.720001,258.970001,2100600,241.455933
"248",258.190002,259.200012,256,257.720001,1289300,240.290451
"249",257.980011,257.980011,255.520004,255.949997,1567900,238.640152
"250",256.980011,257,255.100006,256.5,1301000,239.152924
"251",255.869995,256.649994,252.910004,254.759995,2519300,237.530655
"252",257.769989,257.910004,253.919998,255.669998,2258300,238.379105
"253",255.479996,256.140015,253.220001,253.289993,2988200,236.160034
"254",255.229996,259.720001,254.320007,256.829987,2583200,239.460632
"255",257.179993,257.48999,253.690002,255.520004,2594700,238.239258
"256",254.75,255.179993,251.619995,251.809998,2940500,234.780167
"257",252.800003,255.600006,252.619995,253.940002,2637300,236.766113
"258",255,255.149994,252.350006,254.330002,2927200,237.12973
"259",255.75,255.889999,252.970001,255.130005,2422400,237.875656
"260",255.75,257.299988,254.089996,257.029999,2849200,239.647156
