"","ICE.Open","ICE.High","ICE.Low","ICE.Close","ICE.Volume","ICE.Adjusted"
"171",65.290001,66.190002,65.230003,65.769997,2947600,62.40218
"172",65.720001,65.720001,63.93,64.300003,2802200,61.007462
"173",64.480003,65.699997,64.290001,65.339996,1927200,61.994205
"174",65.650002,66.32,65.580002,65.709999,1936400,62.345257
"175",65.660004,66.440002,65.580002,66.379997,1313900,62.980949
"176",66.080002,66.279999,65.970001,66.220001,1330500,62.829151
"177",66.099998,66.300003,65.769997,66.18,1229000,62.981411
"178",66.010002,66.300003,65.290001,65.379997,3528900,62.220074
"179",65.349998,65.830002,65.129997,65.650002,2012700,62.477028
"180",65.760002,66.599998,65.690002,66.32,1859700,63.114639
"181",66.32,66.879997,66.089996,66.669998,2137100,63.447708
"182",66.489998,67.309998,66.43,66.830002,1639700,63.599991
"183",66.610001,67.169998,66.610001,67.050003,1868500,63.809372
"184",66.970001,67.239998,65.919998,67.220001,1667700,63.971161
"185",67.129997,67.68,66.93,66.989998,2560600,63.752262
"186",67.260002,68.260002,67.260002,68.129997,2298500,64.837181
"187",68,68.599998,67.699997,68.540001,2000600,65.227364
"188",68.410004,68.879997,68.410004,68.699997,1897000,65.379623
"189",68.860001,69.660004,68.699997,69.330002,2023200,65.979179
"190",69.110001,70,69.029999,69.879997,2083100,66.502602
"191",69.919998,70.629997,69.510002,70.459999,2645300,67.054543
"192",70.5,71.099998,70.139999,70.959999,2345300,67.530396
"193",71.050003,71.239998,68.949997,69.029999,4332700,65.69368
"194",69.099998,69.75,68.910004,69.459999,1755200,66.10289
"195",69.589996,69.940002,69.199997,69.68,1558700,66.312248
"196",69.779999,70.099998,69.599998,70.089996,1378400,66.702438
"197",70.019997,70.690002,69.889999,69.910004,1910100,66.531158
"198",69.919998,70.050003,69.309998,69.389999,1944800,66.036278
"199",69.410004,69.459999,68.32,68.400002,3874600,65.094124
"200",68.599998,68.629997,67.980003,68.169998,4417800,64.875221
"201",68.389999,68.650002,67.879997,68.199997,2251900,64.903778
"202",67.620003,67.800003,66.720001,66.849998,4447200,63.619034
"203",67.32,67.370003,66.019997,66.120003,6052900,62.924313
"204",65.860001,65.959999,65.43,65.690002,5645800,62.515102
"205",65.989998,66.040001,65.169998,65.239998,4589200,62.086842
"206",65.589996,66.019997,64.910004,65.910004,7943600,62.724461
"207",66,66.199997,65.370003,65.610001,4553100,62.438965
"208",65.989998,66.050003,64.980003,65.480003,5242800,62.31525
"209",65.419998,65.660004,65.209999,65.260002,2977700,62.105888
"210",65.190002,66.160004,65.150002,66.099998,5587300,62.905285
"211",66.199997,66.620003,66.089996,66.220001,3741800,63.019482
"212",68.989998,69.25,67.25,68.669998,5579300,65.351059
"213",68.190002,68.290001,66.07,66.239998,7181400,63.038509
"214",66.370003,66.389999,65.610001,66.199997,2806100,63.000439
"215",66.230003,66.650002,65.379997,65.580002,2550900,62.410412
"216",65.519997,66.379997,65.519997,65.989998,2293700,62.800587
"217",65.629997,66.269997,65.279999,66.199997,1867800,63.000439
"218",66.300003,66.5,65.959999,66.269997,1621700,63.067059
"219",66.199997,67.260002,66.099998,67.080002,2881400,63.837914
"220",66.75,67.639999,66.540001,67.300003,1701600,64.047295
"221",66.860001,67.470001,66.449997,66.529999,2674800,63.314487
"222",66.599998,66.879997,66.050003,66.080002,2511200,62.88625
"223",66.080002,66.75,65.970001,66.589996,2811600,63.371597
"224",66.639999,68.419998,66.510002,68.080002,3135500,64.789589
"225",68.260002,68.459999,68.050003,68.279999,3482400,64.979919
"226",68.5,68.599998,67.410004,67.660004,2200800,64.389885
"227",67.849998,68.25,67.669998,67.830002,987500,64.551689
"228",67.980003,68.220001,67.800003,68.099998,2037000,64.808617
"229",68.080002,69.440002,67.690002,69.349998,2729600,65.998207
"230",69.650002,70.870003,69.360001,69.800003,2818300,66.42646
"231",70,71.800003,69.879997,71.449997,5235000,67.996712
"232",71.349998,72.360001,71.209999,72.07,5741000,68.586739
"233",72.839996,72.989998,71.540001,71.830002,3049200,68.358345
"234",71.75,72.32,70.309998,70.949997,3436500,67.520882
"235",71.029999,71.169998,70.110001,70.739998,2282400,67.321022
"236",70.480003,70.68,69.300003,70.389999,2652500,66.987946
"237",70.269997,70.940002,69.919998,70.93,1653100,67.501839
"238",70.949997,71.18,70.5,70.809998,1482800,67.387642
"239",71.209999,71.370003,70.809998,71.199997,2128900,67.758789
"240",71.029999,71.480003,70.449997,70.480003,2007900,67.262535
"241",70.559998,71.080002,70.07,70.32,2982100,67.109825
