"","FANG.Open","FANG.High","FANG.Low","FANG.Close","FANG.Volume","FANG.Adjusted"
"341",136.990005,137.440002,129.539993,129.789993,2883600,121.421387
"342",130.289993,130.970001,123.169998,123.82,3155100,115.836319
"343",123.910004,124.919998,123.610001,124.239998,1845300,116.229233
"344",123.870003,129.169998,123.43,128.529999,2403400,120.24263
"345",128.940002,132.270004,127.93,132.130005,1691500,123.610519
"346",132.869995,137.830002,132.639999,136.259995,1973000,127.474213
"347",135.990005,136.380005,134.020004,134.580002,1210600,126.018173
"348",135.899994,137.179993,134.919998,136.759995,978100,128.059464
"349",136.610001,138.139999,131.740005,132.229996,1005500,123.817642
"350",130.759995,131.910004,128.039993,129.639999,2503800,121.392426
"351",127.949997,128.509995,123.940002,124.989998,2407000,117.038239
"352",122.230003,122.379997,118.059998,120.349998,2607900,112.693436
"353",119.599998,121.889999,119.18,121,1714000,113.302094
"354",121.779999,123.580002,120.599998,122.800003,1603300,114.987587
"355",122.120003,123.129997,120.150002,120.760002,1835100,113.077354
"356",120.300003,120.589996,114.529999,115.5,2960400,108.152
"357",115.889999,116.449997,108.93,111.699997,3928000,104.59375
"358",111.25,113.18,107.779999,111.550003,2346400,104.453293
"359",111.82,112.760002,109.82,112.220001,1993200,105.080658
"360",113.440002,114.940002,113.120003,114.120003,1655700,106.859772
"361",113.519997,114.580002,112.440002,113.959999,1074100,106.709969
"362",114.099998,115.43,113.089996,113.830002,1290200,106.588249
"363",114.199997,119.32,114,118.879997,1804800,111.316956
"364",118.639999,119.129997,117.790001,118.349998,1616000,110.820694
"365",119.25,119.779999,115.650002,115.949997,1540800,108.573357
"366",115.449997,117.120003,114.300003,115.580002,2474900,108.226906
"367",114.769997,123.610001,114.510002,122.580002,3950400,114.781586
"368",120.360001,128.949997,120.360001,127.580002,3422700,119.463493
"369",128.550003,130.649994,127.400002,129.559998,1799700,121.31752
"370",128.910004,128.910004,122.089996,123.730003,2061300,115.858406
"371",127.410004,129.520004,125.370003,125.559998,2211900,117.571976
"372",125.610001,126.300003,120.459999,121.599998,1347400,113.863922
"373",121.730003,126.959999,121.650002,126.540001,1347000,118.489655
"374",129.039993,132.830002,128.639999,130.130005,2309000,121.851257
"375",130.5,131.899994,127.849998,130.839996,1417400,122.516068
"376",130.559998,132.850006,129.660004,131.570007,1425700,123.199646
"377",130.869995,130.869995,128.100006,129.300003,952300,121.074043
"378",130.899994,133.179993,129.199997,130.050003,701700,121.776337
"379",131.779999,133.399994,130.770004,132,836300,123.602295
"380",131.979996,136.070007,129.949997,134.970001,839100,126.383331
"381",134.960007,136.899994,134.710007,136.669998,1089900,127.975182
"382",137.839996,138.25,132.860001,133.960007,2119500,125.437607
"383",133.160004,134.830002,129.059998,130.759995,1455900,122.44117
"384",132.240005,132.240005,128.649994,130.279999,837300,121.991707
"385",130.029999,132.789993,130,131.339996,897000,122.984268
"386",128.850006,130.800003,128.410004,129.990005,851800,121.720154
"387",128.899994,131.649994,128.110001,130.649994,507800,122.338158
"388",130.369995,131.009995,128.169998,130.589996,1009800,122.281982
"389",130.429993,132.429993,130.009995,132.089996,653600,123.686554
"390",133.020004,133.020004,130,131.149994,885800,122.806351
"391",131.149994,131.589996,129.820007,131.169998,702000,122.825089
"392",132.259995,134.960007,131.770004,133.449997,855600,124.960045
"393",133.210007,135.990005,132.059998,134.679993,608600,126.111771
"394",134.389999,135.899994,134.050003,134.550003,556200,125.990044
"395",134.289993,136.570007,131.570007,132.339996,729600,123.920639
"396",133.990005,136,132.5,133.710007,1388800,125.203476
"397",133.229996,135,130.080002,131.949997,625000,123.555466
"398",131.470001,133.050003,128.770004,132.880005,724500,124.426308
"399",131.970001,135.660004,130.690002,134.490005,544100,125.933868
"400",134.479996,134.820007,129.940002,130.800003,1028900,122.478622
"401",131.889999,135.740005,131.220001,133.619995,1028500,125.119194
"402",134.5,136.25,134.160004,134.740005,659700,126.167953
"403",133.690002,134.610001,131.5,133.789993,1548400,125.278397
"404",133,135.009995,129.490005,131.149994,1897200,122.806351
"405",132.059998,136,131.050003,134.800003,1340700,126.224167
"406",133.759995,135.169998,131.580002,131.869995,911900,123.480568
"407",133.210007,134.899994,132.570007,133.75,1239100,125.240982
"408",123.040001,124.199997,115.279999,117.699997,11541400,110.212044
"409",120,120.68,118.110001,120.459999,3945000,112.79644
"410",120.449997,122,118.639999,120.18,2165100,112.651161
"411",121.470001,121.82,119.169998,120.989998,1904300,113.410416
"412",121.949997,124.269997,121.5,122.589996,2826800,114.910164
"413",124.309998,125.349998,123.790001,124.230003,2283900,116.447449
"414",123,123.779999,120.980003,121.599998,990100,113.982193
"415",122.959999,123.449997,121.5,121.75,1314800,114.12281
"416",122.559998,123.580002,121.82,122.730003,1638100,115.041412
"417",122.470001,123.019997,120.400002,121.120003,1304700,113.532272
"418",121.120003,122.25,120.510002,121.910004,2070800,114.272781
"419",121.660004,122.440002,120.809998,121.519997,1060800,113.907204
"420",121.199997,121.419998,119.690002,121.080002,1852700,113.494781
"421",122.150002,122.239998,119.800003,120.32,1374500,112.782394
"422",119.389999,119.550003,116.889999,117.459999,1778800,110.101555
"423",117.470001,117.519997,113.5,114.489998,1721700,107.317619
"424",114,114,111.330002,112.650002,1902800,105.592888
"425",112.739998,113.419998,111.75,112.110001,1902400,105.086708
"426",112.360001,117.330002,111.309998,116.400002,2335200,109.107964
"427",117.720001,120.93,117.709999,120.510002,2308500,112.96048
"428",120.169998,120.559998,117.639999,118.809998,1962500,111.366989
"429",119.25,123.519997,118.440002,121.730003,2167900,114.10405
"430",121.57,124.440002,121.099998,122.690002,1582500,115.003922
"431",123.910004,126.239998,122.959999,124.75,2019400,116.934868
"432",124.800003,129.169998,124.5,128.580002,2071000,120.524925
"433",129.300003,129.690002,126.440002,126.720001,1917000,118.781441
"434",127.849998,128.960007,126.779999,128.550003,1801100,120.496811
"435",130.210007,133.570007,129.970001,132.860001,2216700,124.536781
"436",133.639999,136.210007,132.979996,134.509995,1891000,126.083427
"437",134.130005,134.580002,131.130005,131.330002,2045700,123.102646
"438",133.050003,134.410004,131.880005,134.059998,1283900,125.661606
"439",133.550003,137.839996,133.229996,135.190002,1629000,126.720833
"440",135.449997,138.490005,135.360001,136.800003,1215100,128.22998
"441",137.089996,137.490005,135.100006,137.050003,1423900,128.464325
"442",137.940002,140.779999,136.429993,139.919998,1820800,131.15451
"443",139.380005,139.380005,135.199997,135.25,1506800,126.777061
"444",136.210007,136.690002,133.889999,136.350006,1428600,127.808167
"445",134.600006,135.600006,131.820007,132.880005,1466900,124.55555
"446",132.630005,136.470001,132.630005,135.130005,1228500,126.664597
"447",135.139999,135.699997,128.929993,129.279999,1652100,121.181076
"448",128.059998,129.710007,124.559998,124.629997,2204300,116.82238
"449",127.470001,128.009995,121.879997,126.120003,1604800,118.219048
"450",127.790001,128.610001,126.220001,127.93,1073100,119.915649
"451",129.199997,131.339996,127.610001,130.820007,1234900,122.624626
"452",130.630005,131.039993,128.160004,129.509995,951100,121.396667
"453",128,128.360001,125.120003,126.959999,947800,119.006409
"454",127.57,129.389999,126.459999,127.099998,1298600,119.137642
"455",127.169998,127.360001,124.089996,124.559998,2078900,116.756775
"456",121.190002,122.120003,117.120003,119.110001,2636200,111.648186
"457",120.879997,121.099998,112.620003,112.900002,1479700,105.827217
"458",114.480003,115.459999,111.949997,114.239998,1766900,107.083275
