"","AMGN.Open","AMGN.High","AMGN.Low","AMGN.Close","AMGN.Volume","AMGN.Adjusted"
"457",196.940002,197.960007,187.369995,187.880005,4288300,170.913025
"458",188.660004,190.5,181.309998,188.100006,4983700,171.113144
"459",185.399994,187.330002,183.279999,185.979996,4580400,169.18457
"460",189.320007,190.910004,184.800003,188.190002,3829500,171.195038
"461",189.429993,191,187.029999,189.080002,4040600,172.004654
"462",189.080002,195.330002,189.039993,192.789993,4541000,175.379578
"463",192.809998,194.380005,190.960007,192.899994,2827300,175.47966
"464",194.289993,195.350006,185.830002,187.059998,3696300,170.167023
"465",187.679993,190.720001,187.550003,189.919998,2713500,172.768799
"466",190.210007,192.699997,189.520004,190.75,2139000,173.523834
"467",192.809998,197.729996,192.009995,197.619995,3077800,179.773392
"468",197.539993,198.279999,195.279999,196.020004,2636600,178.317917
"469",195.369995,196.910004,192.179993,193.160004,2344900,175.716187
"470",193.649994,194.720001,190.479996,191.559998,2109100,174.260666
"471",192.910004,194.820007,191.029999,191.550003,2232200,174.251572
"472",192.029999,193.399994,189.660004,190.360001,2850300,173.169037
"473",188.339996,192.630005,187.119995,192.449997,2607100,176.29277
"474",192.360001,195.240005,191.690002,194.179993,3862300,177.877487
"475",194.919998,196.770004,192.869995,194.910004,2629900,178.546234
"476",196.320007,198.679993,192.759995,196.440002,3288800,179.947739
"477",195.169998,197.550003,192.610001,192.770004,2173600,176.585876
"478",191.25,194.479996,190.770004,192.570007,1349200,176.402664
"479",194.940002,196.309998,192.490005,194.300003,2194600,177.987442
"480",193.160004,197.229996,191.869995,197.100006,2329200,180.552368
"481",196.960007,202.020004,196.059998,201.419998,2617800,184.509659
"482",199.779999,204,199.529999,202.369995,1937800,185.379913
"483",202.149994,208.990005,201.789993,208.25,4537200,190.766266
"484",208.100006,208.300003,200.380005,202.929993,4035300,185.892914
"485",204.600006,205.740005,197.289993,197.759995,3881100,181.156967
"486",195.720001,199.009995,193.199997,199.009995,3437300,182.301987
"487",197.889999,198.399994,191.050003,191.440002,3152400,175.367554
"488",193.029999,194.789993,188.190002,194.089996,2718300,177.795029
"489",195.910004,198.410004,194.339996,196.179993,3047500,179.709579
"490",198.089996,199.440002,196.300003,196.410004,2665600,179.920288
"491",196.770004,197.660004,195.220001,197.529999,2129800,180.946259
"492",195.039993,196.149994,191.660004,192.070007,2981300,175.944672
"493",192.240005,194.449997,188.639999,190.080002,2919400,174.121719
"494",191.440002,191.940002,184.410004,187.100006,3164300,171.391922
"495",187.020004,191.759995,182.529999,185.490005,3995400,169.917099
"496",185.059998,186.539993,182.720001,184.960007,3806200,169.431564
"497",183.850006,187.610001,179.210007,180.210007,7829800,165.080383
"498",179.5,182.929993,178.289993,178.399994,2205100,163.422318
"499",179.039993,188.029999,178.880005,187.860001,2868200,172.088104
"500",185.360001,190.410004,183.619995,190.330002,3137900,174.350739
"501",191.630005,194.589996,190.059998,190.729996,2477500,174.717163
"502",191.929993,195.800003,191.610001,194.669998,2764800,178.32637
