"","CTXS.Open","CTXS.High","CTXS.Low","CTXS.Close","CTXS.Volume","CTXS.Adjusted"
"979",118.239998,121.220001,117.260002,120.769997,1572300,119.315987
"980",120.75,122.559998,120.169998,120.480003,2513600,119.02948
"981",120.230003,121.389999,119.230003,120.160004,1582700,118.713333
"982",120.410004,125.419998,119.940002,122.089996,2346900,120.620079
"983",123.639999,124,121,121.410004,1264100,119.94828
"984",121.730003,123.940002,120.599998,122.440002,735800,120.965881
"985",123.339996,124.110001,121.160004,123.919998,2874500,122.428062
"986",124.309998,126.18,123.699997,125.589996,1928400,124.077957
"987",125.010002,127.550003,124.190002,127.309998,1455600,125.777252
"988",126.589996,129.149994,125.019997,127.870003,1219400,126.330513
"989",128.470001,130.660004,127.900002,130.529999,1279700,128.958466
"990",130.559998,131.570007,129.820007,131.369995,1081200,130.137314
"991",129.759995,131.880005,129.330002,130.880005,1285700,129.651917
"992",131.410004,132.229996,129.699997,131.820007,1386700,130.583099
"993",130.729996,133.039993,130.130005,132.669998,1661600,131.42511
"994",131.679993,132.889999,127.75,130.649994,2018500,129.424057
"995",130.580002,131.820007,127.900002,128.429993,1955800,127.224892
"996",129.440002,130.110001,126.730003,127.449997,1289500,126.254089
"997",127.760002,129.889999,127.099998,129.279999,1192600,128.06691
"998",130.589996,131.339996,128.720001,130.740005,1556300,129.513229
"999",131.399994,134.850006,129.860001,132.649994,6630100,131.405289
"1000",130.669998,132.190002,129.020004,131.110001,1358300,129.879761
"1001",131.820007,133.270004,129.940002,132.720001,3073700,131.47464
"1002",133.580002,134.089996,131.770004,131.770004,999600,130.533569
"1003",132.399994,133.119995,131.139999,132.570007,431900,131.326065
"1004",132.820007,134,132.289993,133.020004,2217800,131.771835
"1005",133.940002,134.800003,129.830002,130.110001,702000,128.889145
"1006",130.330002,130.449997,128.190002,128.289993,2225100,127.086205
"1007",128.669998,130.320007,127.93,130.100006,598200,128.879242
