"","ALB.Open","ALB.High","ALB.Low","ALB.Close","ALB.Volume","ALB.Adjusted"
"644",74.919998,75.059998,73.940002,74.610001,781300,72.102989
"645",74.610001,75.029999,73.370003,74.580002,930600,72.07399
"646",74.370003,74.660004,72.980003,73.089996,1074900,70.634056
"647",72.669998,73.800003,72.059998,73.599998,1056200,71.126923
"648",73.480003,74.349998,72.379997,72.959999,1361500,70.50843
"649",72.550003,73.389999,69.169998,69.589996,1568800,67.251671
"650",68.989998,70.050003,67.440002,68.68,1457500,66.372238
"651",67.199997,67.199997,64.349998,65.410004,2421400,63.212124
"652",65.800003,66,64.099998,65.449997,1731500,63.250771
"653",64.599998,68.010002,64.510002,67.589996,2620800,65.318871
