"","MKC.Open","MKC.High","MKC.Low","MKC.Close","MKC.Volume","MKC.Adjusted"
"921",102.559998,102.809998,101.375,102.294998,573600,100.394333
"922",102.224998,103.434998,102.169998,103.099998,759200,101.184387
"923",102.684998,103.095001,101.695,102.964996,650400,101.051888
"924",103.5,105.214996,103.165001,104.889999,847800,102.941124
"925",104.449997,105.535004,101.205002,102.004997,891200,100.109718
"926",102.199997,102.684998,99.400002,100.925003,1151000,99.049797
"927",100.885002,100.925003,98.580002,98.760002,1175600,96.925026
"928",99.510002,102.919998,99.510002,101.345001,1246800,99.461998
"929",100.925003,101.355003,98.440002,99.095001,792800,97.253799
"930",99.355003,99.684998,98.419998,99.32,746400,97.474609
"931",100,101.410004,99.495003,100.050003,1044600,98.191055
"932",100.364998,101.580002,99.82,100.175003,1067200,98.313736
"933",100.68,101.300003,99.25,99.339996,1057800,97.49424
"934",97.985001,98.364998,95.555,96.364998,1771200,94.574516
"935",96.209999,97.294998,94.199997,94.980003,1790600,93.215256
"936",94.264999,95.464996,93.714996,95.199997,1185600,93.43116
"937",95.025002,96.470001,94.855003,96.195,1355400,94.407684
"938",96.684998,96.800003,92.544998,92.745003,1410600,91.021782
"939",93.029999,96.195,92.904999,94.425003,1240200,92.67057
"940",94.5,96.084999,94.154999,95.785004,1080600,94.005295
"941",97.370003,98.279999,96.889999,97.589996,2829800,95.776749
"942",96.400002,96.580002,91.610001,94.945,4796800,93.180908
"943",95.690002,98.084999,95.5,97.050003,1861400,95.246796
"944",97.370003,97.730003,95.565002,96.599998,1524400,94.805153
"945",95.385002,96.955002,95.074997,96.419998,1006000,94.933136
"946",96.665001,97.669998,96.404999,97.540001,816400,96.035873
"947",97.885002,97.885002,95.620003,95.82,1087000,94.342392
"948",96.330002,97.519997,96.059998,97.089996,977000,95.592812
"949",97.459999,97.625,96.834999,97.165001,695200,95.666656
"950",97.894997,98.514999,97.635002,98.055,732400,96.542938
"951",98.055,100.605003,97.995003,100.449997,1039600,98.900993
"952",100.264999,101.665001,99.305,100.114998,1297600,98.571167
"953",99.870003,100.769997,98.870003,99.004997,635000,97.478279
"954",98.360001,100.055,98.135002,99.574997,699200,98.039497
"955",100.065002,100.989998,99.690002,99.695,809000,98.157639
"956",99.974998,100.709999,98.565002,98.764999,681000,97.241989
"957",98.900002,99.370003,97.849998,97.970001,533000,96.459251
"958",97.945,98.675003,97.544998,97.669998,398800,96.163872
"959",97.5,97.815002,96.864998,97.315002,554400,95.814354
"960",97.764999,98.459999,97.315002,98.230003,553800,96.715248
"961",97.415001,97.970001,96.364998,97.029999,535600,95.533745
"962",97.25,97.639999,96.019997,96.105003,1094800,94.623001
"963",94.860001,95.529999,92.699997,92.834999,907800,91.403435
"964",92.794998,93.495003,91.925003,91.949997,863000,90.532074
"965",91.550003,92.154999,89.254997,90.254997,1375600,88.86322
"966",91.690002,93.285004,91.57,92.584999,1005000,91.157288
"967",93.589996,94.709999,93.010002,93.839996,698600,92.392929
"968",94.415001,96.275002,94.18,94.489998,787000,93.032913
"969",95.894997,95.964996,93.824997,94.269997,826400,92.816307
"970",94.379997,95.940002,93.5,94.330002,718600,92.875381
"971",95.875,97,88.919998,89.160004,2137200,87.78511
"972",89.5,91.93,89.080002,90.970001,1152800,89.567192
"973",91.824997,93.540001,91.705002,93.445,1027000,92.004028
"974",94.080002,94.364998,91.440002,92.489998,623000,91.063744
"975",92.440002,92.980003,91.150002,92.309998,596200,90.88652
"976",92.595001,92.915001,90.764999,92.089996,1145400,90.669907
"977",91.614998,92.364998,90.904999,91.330002,1334200,89.921638
"978",91.480003,92.419998,90.875,91.095001,1096800,89.690269
"979",90.910004,91.809998,90.095001,91.620003,864400,90.207169
"980",92.025002,92.654999,91.434998,91.834999,957600,90.418854
"981",92.114998,92.510002,90.915001,91.5,1054200,90.08902
"982",92.5,94.040001,92.065002,93.269997,1804400,91.831718
"983",93.339996,94.434998,92.610001,92.794998,731000,91.364052
"984",93.5,94.099998,92.125,93.239998,575200,91.802185
"985",92.904999,93.610001,91.135002,93.489998,1792400,92.048332
"986",95.019997,95.019997,92.339996,93.639999,1425100,92.196014
"987",93.489998,94.400002,91.160004,91.419998,980900,90.010246
"988",91.400002,92.910004,91.260002,92.650002,837600,91.221283
"989",92.510002,93.949997,92.010002,93.949997,838700,92.501236
"990",93.889999,94.309998,92.169998,92.639999,816200,91.211441
"991",92.169998,93.849998,92.050003,93.440002,710800,91.999107
"992",93.330002,93.410004,91.760002,93.120003,827000,91.684036
"993",93.220001,93.639999,92.449997,93.050003,655700,91.615112
"994",92.900002,93.720001,92.800003,93.419998,828800,91.979401
"995",93.839996,94.980003,93.239998,93.279999,759200,91.841568
"996",93.300003,93.809998,91.580002,91.769997,1312800,90.354851
"997",91.980003,93.169998,91.809998,92.709999,982900,91.28035
"998",93.139999,95.339996,92.93,94.599998,1182800,93.14122
"999",94.489998,95.050003,92.279999,93.370003,2191300,91.930183
"1000",92.260002,94.120003,91.889999,93.690002,1221200,92.245255
"1001",93.610001,93.82,92.360001,92.959999,808700,91.526505
"1002",93.300003,93.589996,92.580002,92.980003,650500,91.546204
"1003",92.980003,93.589996,92.459999,93.470001,217600,92.028648
"1004",93.68,94.029999,92.900002,93.419998,460000,91.979401
"1005",93.419998,95.690002,93.279999,94.82,1205600,93.357819
"1006",95.419998,95.489998,94.239998,94.559998,1157800,93.436867
