"","PEP.Open","PEP.High","PEP.Low","PEP.Close","PEP.Volume","PEP.Adjusted"
"131",113.339996,113.980003,112.25,113.739998,6368500,100.216881
"132",114.489998,114.980003,114.279999,114.769997,3885200,101.124413
"133",114.949997,115.040001,113.919998,114.019997,3089400,100.4636
"134",114.260002,115.120003,114.25,114.93,2956400,101.265411
"135",114.940002,115.160004,114.839996,114.93,2481300,101.265411
"136",114.849998,115.150002,114.389999,115.010002,2694800,101.335899
"137",115.010002,115.349998,114.629997,115.339996,2578200,101.626648
"138",115.339996,116.059998,115.110001,115.510002,3518100,101.776459
"139",115.779999,116.669998,115.379997,116.629997,3476400,102.763298
"140",116.5,116.669998,116.089996,116.129997,3681300,102.322731
"141",116.629997,116.779999,116.139999,116.449997,3075100,102.604675
"142",116.300003,117.419998,116.150002,117.190002,3305600,103.256699
"143",117.330002,118.059998,116.620003,117.339996,2954800,103.388863
"144",117.309998,117.470001,116.199997,116.610001,3276300,102.745651
"145",116.529999,116.860001,116.18,116.610001,3098600,102.745651
"146",116.690002,116.779999,115.900002,115.919998,2946100,102.137695
"147",115.730003,115.980003,115.139999,115.610001,2626400,101.864555
"148",115.730003,116.660004,115.68,116.300003,2986200,102.472534
"149",116.32,116.489998,115.870003,116.370003,2955200,102.534218
"150",116.449997,117.220001,116.379997,116.959999,2569600,103.054039
"151",116.800003,116.949997,116.370003,116.709999,2412600,102.833786
"152",116.489998,116.699997,115.959999,116.629997,2513800,102.763298
"153",116.349998,116.839996,116.080002,116.379997,2236000,102.542999
"154",116.75,117.25,116.349998,116.510002,2759700,102.657547
"155",117.360001,118.18,117.010002,117.839996,3191700,103.829422
"156",117.879997,119.150002,117.849998,118.970001,2749800,104.825073
"157",118.959999,119.360001,118.82,119.099998,2373900,104.93959
"158",119,119.389999,118.25,118.389999,3096900,104.314041
"159",118.290001,118.43,117.400002,117.599998,3776500,103.617966
