"","VRSN.Open","VRSN.High","VRSN.Low","VRSN.Close","VRSN.Volume","VRSN.Adjusted"
"825",201.460007,204.690002,200.630005,204.339996,607200,204.339996
"826",201.470001,203.509995,198.5,201.300003,499200,201.300003
"827",203.479996,207.660004,200.75,206.119995,1330400,206.119995
"828",208.649994,210.270004,204.550003,209.929993,633200,209.929993
"829",208.509995,212.779999,207.039993,210.899994,701100,210.899994
"830",207.990005,209.589996,203.259995,206.75,635400,206.75
"831",209,217,208.960007,215.660004,604500,215.660004
"832",215,217.600006,212.199997,213,946700,213
"833",218.990005,219,208.860001,212.130005,911400,212.130005
"834",213.470001,216.479996,213,214.229996,593200,214.229996
"835",218.020004,218.059998,210.729996,211.070007,898500,211.070007
"836",214.190002,214.770004,208.919998,211.389999,1140500,211.389999
"837",211.350006,212.800003,208.130005,209.490005,768800,209.490005
"838",206.179993,208.600006,202.539993,205.020004,630200,205.020004
"839",206.339996,208.839996,204.399994,208.839996,485500,208.839996
"840",209.309998,213.169998,208.470001,210.550003,477200,210.550003
"841",210.199997,214.789993,210.199997,212.419998,421100,212.419998
"842",215.580002,215.899994,210.940002,211.779999,447700,211.779999
"843",213.850006,213.850006,209.149994,210.039993,392400,210.039993
"844",210.419998,213.699997,208.160004,212.149994,465100,212.149994
"845",211.710007,213.320007,208.619995,208.860001,467300,208.860001
"846",208.619995,212.350006,206.669998,212.089996,833200,212.089996
"847",209.380005,215.429993,208.979996,214.960007,752700,214.960007
"848",212.850006,217.5,210.889999,217.25,707900,217.25
"849",217.820007,219.899994,216.240005,217.080002,880500,217.080002
"850",217.449997,219.399994,211.460007,212.410004,589700,212.410004
"851",214,216.550003,213.789993,215.809998,577500,215.809998
"852",215.660004,216.660004,210.580002,211.059998,518900,211.059998
"853",210,214.289993,209.449997,213.720001,433400,213.720001
"854",217.279999,217.279999,207.910004,208.220001,630300,208.220001
"855",207.899994,210.210007,205.119995,209.979996,637500,209.979996
"856",209.759995,214.860001,208.759995,212.779999,447400,212.779999
"857",214.779999,219.559998,211.789993,219.009995,1088700,219.009995
"858",218.029999,220.759995,215.919998,219.029999,808500,219.029999
"859",220.910004,221.300003,214.5,217.389999,725300,217.389999
"860",218.860001,219.119995,211.880005,213.960007,435300,213.960007
"861",213.300003,214.690002,207.639999,210.229996,792500,210.229996
"862",208.199997,213.490005,204.270004,211.279999,723200,211.279999
"863",208.119995,214.479996,205.800003,214.449997,678400,214.449997
"864",214.979996,215.160004,212.759995,213.429993,699000,213.429993
"865",214.160004,216.139999,212.429993,213.149994,797500,213.149994
"866",211.479996,213.330002,203.970001,204.160004,725700,204.160004
"867",207.320007,208.869995,200.960007,204.169998,576500,204.169998
"868",201.789993,207.110001,200.449997,205.850006,502800,205.850006
"869",209.820007,210.130005,205.399994,207.399994,396800,207.399994
"870",208.550003,210.389999,207.800003,209,580800,209
"871",209.279999,209.279999,206.059998,207.229996,422200,207.229996
"872",209.050003,210.600006,204.179993,205.259995,1392500,205.259995
"873",205.149994,206.729996,204.130005,205.75,661800,205.75
"874",207.889999,209.350006,206.139999,207.190002,728100,207.190002
"875",205.429993,208.320007,201.580002,202.729996,559200,202.729996
"876",202.399994,205.479996,197.759995,205.110001,504900,205.110001
"877",204.710007,207.429993,201.580002,203.639999,889500,203.639999
"878",205.100006,205.610001,200.389999,204.100006,554700,204.100006
"879",203.389999,207.979996,203.320007,206.830002,502900,206.830002
"880",206.130005,211.490005,205.929993,210.479996,386600,210.479996
"881",209.949997,213.789993,209.490005,210.809998,507200,210.809998
"882",213.679993,216.009995,211.619995,212.199997,649600,212.199997
"883",211.110001,216.660004,210.759995,211.110001,468300,211.110001
"884",211.949997,213.039993,208.839996,210.800003,463200,210.800003
"885",210.919998,213.619995,209.600006,212.610001,524500,212.610001
"886",211.779999,212.320007,209.479996,209.990005,459000,209.990005
"887",211.190002,211.190002,200.699997,201,710100,201
"888",199.220001,200.949997,196.339996,198.649994,1014700,198.649994
