"","MPWR.Open","MPWR.High","MPWR.Low","MPWR.Close","MPWR.Volume","MPWR.Adjusted"
"803",145.300003,156.809998,139.589996,145.990005,612600,144.083893
"804",155.190002,170.779999,142.440002,170.559998,660800,168.333084
"805",151.5,159.960007,135.970001,135.970001,703500,134.194702
"806",139.25,160.809998,136.380005,159.100006,577100,157.022736
"807",145.779999,155.089996,136.649994,141.630005,508700,139.780838
"808",141.550003,154.350006,138.440002,150.440002,504300,148.475784
"809",151.600006,156.880005,135.220001,135.220001,636600,133.454498
"810",138.399994,142.410004,130.119995,139.850006,480800,138.024063
"811",150.699997,163.169998,146.899994,162.490005,485200,160.368469
"812",162.330002,169.360001,157.050003,158.309998,550900,156.243027
"813",159.529999,174.830002,159.179993,174.779999,541000,172.498001
"814",168.100006,169.990005,161.25,161.699997,471400,159.58876
"815",163.889999,168.509995,160,165.190002,279000,163.538879
"816",163.979996,170,162.139999,167.460007,467000,165.786224
"817",160.559998,168.550003,154.789993,159.419998,454300,157.826553
"818",158.860001,159.559998,152.169998,157.520004,399800,155.945587
"819",156.490005,158.539993,151.020004,153.419998,212800,151.886536
"820",160.630005,170,160.279999,170,391600,168.300812
"821",170,176.619995,164.759995,166.850006,580400,165.182312
"822",170.460007,176.660004,168.789993,173.479996,487800,171.746033
"823",175.75,176.820007,165.029999,167.929993,416900,166.251511
"824",167.580002,173.089996,164.25,171.899994,228600,170.181824
"825",176.190002,184.759995,174.360001,183.880005,311400,182.042099
"826",178.970001,180.820007,177.089996,178.509995,346500,176.725754
"827",180.589996,184.940002,179.199997,183.800003,325000,181.962891
"828",185,189,182.699997,185.770004,292800,183.913193
"829",182.449997,186.399994,181.240005,184.229996,191500,182.38858
"830",181.490005,183.25,173.580002,177.130005,296700,175.359558
"831",183.039993,186.940002,182.240005,184.779999,384100,182.933105
"832",184.830002,188.669998,180.649994,181.270004,285300,179.458176
"833",183.600006,186.470001,178.809998,186.039993,254500,184.180481
"834",189.25,194.419998,187.529999,193.869995,274500,191.93222
"835",196,198.860001,190.880005,191.309998,390900,189.397842
"836",198.979996,208.809998,196.5,203.550003,850300,201.515472
"837",202.210007,203.910004,198.300003,199.910004,320900,197.911865
"838",195.399994,198.470001,187.589996,189,457800,187.110916
"839",186.610001,190.479996,180.960007,189.770004,324000,187.87323
"840",194.729996,200.449997,194,196.940002,329400,194.971542
"841",200.610001,203.309998,196.960007,200.75,303800,198.743469
"842",204.199997,207.979996,200.850006,203.070007,358500,201.040283
"843",204.720001,211.809998,204.669998,211.270004,384700,209.15831
"844",209.740005,213.5,207.369995,210.5,587900,208.396011
"845",211.050003,219.580002,209.080002,209.5,429500,207.406021
"846",209.539993,210.929993,197.050003,199.779999,478900,197.783188
"847",198.070007,200.990005,192.020004,200.960007,379500,198.95137
"848",196,196.850006,189.440002,193.009995,486300,191.080826
"849",197.699997,206.889999,197.5,204.820007,398900,202.772797
"850",204.300003,209.330002,201.809998,201.809998,309900,199.792877
"851",205.839996,209.720001,203.979996,209.509995,312900,207.415924
"852",207.139999,209.860001,201.550003,202.440002,262900,200.416595
"853",203.100006,203.75,198.949997,202.179993,263200,200.159164
"854",208.289993,209.759995,204,204.889999,337600,202.842102
"855",206.770004,210.539993,202.009995,209.759995,317800,207.663422
"856",210.860001,214.759995,203.729996,205.149994,297100,203.099503
"857",207.419998,210.940002,204.360001,209.75,286000,207.653519
"858",208.440002,214.910004,207.839996,213.389999,271800,211.257126
"859",213.630005,219.740005,211,219.470001,267100,217.276382
"860",221.649994,229.309998,221.619995,227.410004,396800,225.137009
"861",224.880005,229.600006,224.880005,229.080002,338600,226.790314
"862",232.529999,238.940002,232.529999,235.149994,564900,232.799637
"863",237.029999,237.029999,228.080002,229.639999,319400,227.344696
"864",226.600006,228.419998,224.169998,226.520004,286200,224.255875
"865",227.720001,232.960007,227.119995,229.850006,250300,227.552612
"866",223.210007,223.910004,210.899994,211,438500,208.891006
"867",216.259995,219,208.539993,214,383700,211.861023
"868",209.830002,220.75,208.570007,219.820007,413600,217.622864
"869",225.419998,229.479996,221.149994,223.399994,349600,221.167068
"870",226.089996,227.990005,222.570007,225.309998,379600,223.057953
"871",225.690002,226.970001,222.839996,223,232800,220.771072
"872",225.949997,225.979996,219.039993,221.839996,595000,219.622681
"873",224.460007,226.820007,220.800003,226.660004,315600,224.394501
"874",228.979996,233.779999,225.639999,226.440002,296900,224.176697
"875",225.860001,227.350006,217.919998,219.929993,289000,217.73175
"876",221.320007,228.779999,215.929993,228.580002,335800,226.295319
"877",229.410004,231.770004,222.559998,226.25,657600,223.988571
"878",224.589996,230.210007,223.75,229.949997,406400,228.155807
"879",230.619995,237.460007,230,237,367500,235.150833
"880",236.210007,238.5,232.490005,235.550003,519900,233.712143
"881",237.570007,240.360001,235.339996,237.130005,265900,235.2798
"882",241.990005,243.410004,239.800003,242.139999,292600,240.250702
"883",242.429993,247.880005,241.399994,244,306400,242.096191
"884",246.860001,248.789993,243.729996,247.529999,227500,245.598663
"885",250.089996,251.279999,244.169998,249.479996,432000,247.533432
