"","PG.Open","PG.High","PG.Low","PG.Close","PG.Volume","PG.Adjusted"
"876",116.989998,118.029999,116.029999,117.889999,5489300,113.645416
"877",117.589996,118.470001,115.040001,115.230003,23201700,111.081207
"878",116.510002,118.050003,116.349998,117.660004,6866900,113.423706
"879",117.970001,119.989998,117.800003,119.57,7818000,115.264923
"880",119.650002,120.389999,118.900002,119.980003,6501200,115.660179
"881",121,122.57,120.529999,120.879997,6150900,116.527756
"882",121.769997,122.410004,120.879997,121.629997,6023300,117.250763
"883",121.300003,123.25,120.889999,122.220001,6866300,117.819527
"884",122.150002,123.239998,122,122.889999,6494100,118.465401
"885",122.82,123.980003,121.809998,122.480003,5341000,118.070168
"886",122.57,124.5,122.470001,123.889999,6752600,119.429398
"887",124,125.589996,123.339996,124.050003,7681500,119.583641
"888",123.989998,125.660004,123.5,125.089996,6272100,120.586189
"889",125.980003,126.900002,124.260002,124.5,8145000,120.017426
"890",125.080002,125.519997,123.910004,124.760002,3959300,120.268066
"891",125.089996,126.07,124.830002,125.629997,4868600,121.106743
"892",125.470001,125.839996,124.790001,125.239998,4242100,120.730797
"893",125.489998,126.639999,124.919998,125.07,5162300,120.56691
"894",125.5,126.400002,124.209999,126.139999,5929200,121.598389
"895",126.120003,127.18,125.599998,126.160004,6664800,122.385124
"896",126.989998,127.769997,125.32,125.959999,6014200,122.191109
"897",125.709999,126.639999,125.540001,126.32,6464600,122.540329
"898",126.370003,128.460007,126.290001,127.879997,7644400,124.053658
"899",127.559998,129.240005,127.360001,128.309998,6702000,124.470795
"900",130.660004,132.029999,129.649994,131.419998,10400700,127.487732
"901",130.660004,131.210007,129.270004,131.119995,8487000,127.196701
"902",130.470001,131.919998,130.470001,131.289993,7769400,127.36161
"903",130.770004,133.929993,130.699997,133.789993,7773700,129.786819
"904",133.589996,134.649994,133.119995,133.440002,5680000,129.447296
"905",132.850006,133.369995,132.119995,132.710007,3974100,128.739151
"906",132.889999,133.639999,132.449997,133.550003,4934900,129.554016
"907",133.699997,134.440002,133.190002,134.100006,5812700,130.087555
"908",134.270004,134.740005,132.789993,133.229996,5329900,129.243561
"909",133.770004,135.970001,133.699997,135.460007,5920400,131.40686
"910",135.080002,135.869995,134.929993,135.779999,4989500,131.717285
"911",135.610001,135.639999,134.550003,135.100006,5845200,131.057632
"912",134.940002,135.699997,134.660004,135.5,5603800,131.445648
"913",135.809998,137.520004,135.419998,136.509995,8670700,132.425415
"914",135.539993,136.320007,135.5,135.770004,6827700,131.707596
"915",135.240005,136.979996,135.190002,136.850006,4352200,132.755264
"916",136.600006,138.100006,135.910004,137.440002,5706600,133.327621
"917",137.490005,138.779999,137.199997,138.509995,7420500,134.365585
"918",139,139.149994,137.800003,139.059998,4718300,134.899124
"919",138.570007,139.320007,138.25,138.389999,4746200,134.249176
"920",138.839996,139.690002,138.179993,138.210007,6156100,134.07457
"921",138.320007,138.910004,136.949997,138.770004,4166300,134.617813
"922",138.190002,138.729996,137.820007,138.330002,5596800,134.190994
"923",137.860001,138.220001,137.070007,138.179993,5671800,134.045456
"924",138.110001,141.440002,137.610001,140.509995,8384800,136.305756
"925",140.740005,141.699997,137.089996,138.259995,7277900,134.123062
"926",137.809998,139.190002,136.119995,137.960007,7437700,133.832047
"927",138.520004,138.639999,135.039993,135.940002,6847500,131.872498
"928",136.419998,139.559998,136.270004,138.149994,6002900,134.016357
"929",138.119995,138.720001,136.509995,136.699997,5242500,132.609741
"930",137.690002,138.660004,137.160004,138.139999,4398000,134.006668
"931",138.440002,139.580002,138.330002,138.630005,4767400,134.48201
"932",138.789993,139.770004,138.389999,138.630005,4046500,134.48201
"933",139.570007,140.169998,137.600006,137.699997,6049900,133.579819
"934",137.059998,137.880005,136.190002,137.520004,4648500,133.405212
"935",136.910004,137.929993,136.259995,137.369995,10192800,133.259705
"936",137,137.470001,134.699997,136.710007,7092600,132.619446
"937",136.490005,139.029999,136.240005,137.960007,4722800,133.832047
