"","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"47",139.410004,139.600006,138.25,138.770004,1475500,124.000145
"48",138.899994,139.289993,136.929993,137.820007,1443000,123.151268
"49",137.539993,137.580002,135.880005,136.179993,1747500,121.685791
"50",136.889999,138.429993,136.169998,137.990005,2460600,123.303162
"51",138.25,138.25,137.029999,137.970001,1462700,123.285278
"52",138.559998,139.610001,138.490005,139.529999,2174000,124.67926
"53",139.490005,139.699997,138.320007,138.690002,1248700,123.928665
"54",138.690002,138.949997,136,136.449997,1548100,121.927055
"55",136.369995,137,135.009995,136.410004,841400,121.89135
"56",136.160004,138.009995,135.300003,137.050003,1188700,122.463203
"57",136.830002,137.429993,134.669998,134.940002,1313400,120.577805
"58",133.869995,136.210007,133.630005,135.919998,2522700,121.453468
"59",135.839996,137.580002,135.839996,137.25,1014000,122.641899
"60",136.759995,137.300003,136.229996,136.779999,740000,122.221954
"61",135.800003,136.850006,135.600006,135.600006,2069300,122.014984
"62",135.130005,136.330002,135.119995,135.289993,1844700,121.736038
"63",135.699997,136.440002,134.089996,134.949997,1624200,121.430115
"64",135.080002,135.389999,134.679993,135.350006,1109800,121.790016
"65",135.839996,137.100006,135.020004,135.240005,930800,121.691048
"66",135.479996,135.830002,135,135.190002,860400,121.646027
"67",134.779999,135.550003,134.330002,135.009995,2908200,121.484062
"68",135.220001,136.110001,135.070007,135.759995,859000,122.158966
"69",135.789993,136.470001,135.399994,136.419998,1004000,122.752838
"70",136.460007,136.479996,135.350006,135.509995,899300,121.933983
"71",135.330002,135.580002,134.169998,134.300003,626900,120.845238
"72",134.779999,135.899994,134.419998,135.860001,1092400,122.24894
"73",135.039993,136.020004,134.720001,135.270004,701000,121.718056
"74",135.729996,136.039993,134.779999,134.960007,577400,121.439095
"75",135.619995,137.339996,135.199997,136.899994,985300,123.184731
"76",136.869995,137.660004,136.820007,137.300003,1121300,123.544678
"77",137.910004,139.899994,137.910004,139.759995,1006800,125.758209
"78",140.220001,141.860001,140.139999,141.729996,1189400,127.53083
"79",141.330002,142.449997,140.75,141.580002,1511300,127.395866
"80",141.279999,141.850006,137.720001,141.100006,1855100,126.963974
"81",141,141.190002,139.350006,140.5,1910900,126.424088
"82",141.550003,142.139999,140.009995,142.029999,1671200,127.800804
"83",142.5,143.580002,142.009995,143.520004,2492300,129.141541
"84",143.490005,144.320007,143.259995,143.820007,1906500,129.411499
"85",143.910004,145.580002,143.899994,144.759995,2303200,130.257263
"86",145,147.660004,145,147.220001,2316900,132.47084
"87",146.820007,147.389999,145.929993,146.190002,1589900,131.544037
"88",146.199997,146.440002,144.979996,145.300003,943200,130.74321
"89",145.449997,145.600006,144.639999,145.25,928300,130.698212
"90",144.990005,145.050003,143.289993,143.860001,1065800,129.447464
"91",143.860001,145.110001,143.720001,144.070007,1288100,129.636429
"92",144.509995,145.220001,144.119995,145.080002,710600,130.545227
"93",142.729996,145.240005,142.639999,144.350006,2118700,129.888321
"94",144.350006,144.350006,142.539993,142.570007,1349800,128.286697
"95",142.649994,143.529999,141.339996,142.710007,1271300,128.412659
"96",142.990005,143.960007,142.559998,143.100006,1339500,128.763596
"97",143.850006,143.889999,142.860001,143.309998,820900,128.952545
"98",143.580002,143.580002,142.589996,142.830002,639100,128.52066
"99",143.279999,144.919998,142.880005,144.139999,1081000,129.699417
"100",144.149994,144.509995,143.320007,144.119995,781300,129.681412
"101",143.839996,144.270004,143.550003,143.910004,694200,129.492432
"102",143.649994,144.300003,143.339996,143.970001,885200,129.546432
"103",143.830002,144.309998,142.979996,144.059998,1494000,129.627411
"104",144.460007,145.929993,144,145.080002,1085100,130.545227
"105",145.470001,147.5,144.779999,146.789993,1192100,132.083893
"106",146.610001,146.830002,144.869995,144.960007,1291900,130.437286
"107",144.479996,144.830002,143.850006,144.119995,770800,129.681412
"108",144.580002,144.679993,143.179993,143.360001,883000,128.997574
"109",143.360001,144.160004,142.529999,143.5,1065800,129.12352
"110",143.669998,146.089996,143.669998,145.850006,1152400,131.238083
"111",145.5,146.179993,144.229996,144.429993,1199700,129.960327
"112",144.419998,146.320007,144.039993,146.270004,831400,131.615997
"113",146.270004,146.350006,144.809998,145.559998,774100,130.977127
"114",144.789993,146.539993,144.710007,145.210007,2037700,130.662216
"115",145.660004,146,144.649994,145.509995,1735700,130.932144
