"","IFF.Open","IFF.High","IFF.Low","IFF.Close","IFF.Volume","IFF.Adjusted"
"112",136.119995,136.970001,134.470001,136.5,441200,123.23774
"113",136.649994,137.289993,135.009995,136.509995,485100,123.246765
"114",135.880005,136.410004,134.050003,135.089996,709600,121.964722
"115",135.119995,135.589996,134.009995,134.580002,1135200,121.50428
"116",135.100006,136.649994,134.539993,136.139999,389100,122.912704
"117",136.210007,137.330002,136.029999,136.190002,373700,122.957863
"118",136.820007,137.369995,135.710007,136.080002,454300,122.858559
"119",135.830002,135.830002,134.330002,135.130005,310000,122.577347
"120",135.229996,136.710007,134.820007,136.149994,402200,123.502594
"121",136.460007,138,135.75,137.070007,398800,124.337143
"122",137.070007,137.110001,135.289993,135.369995,296300,122.795029
"123",136.25,136.940002,135.669998,135.910004,376600,123.284904
"124",136.039993,136.039993,132.389999,133.479996,422900,121.080627
"125",133.860001,135.940002,133.860001,135,420000,122.459419
"126",135.600006,136.059998,134.830002,134.899994,149100,122.368706
"127",134.990005,135.410004,133.850006,134.210007,401700,121.742805
"128",133.279999,133.470001,132.029999,132.160004,275900,119.883224
"129",132.210007,132.610001,131.479996,131.880005,420300,119.629265
"130",131.830002,132.509995,131.130005,131.690002,325700,119.456917
"131",131.820007,132.369995,130.940002,131.979996,288700,119.719963
"132",132.710007,133.720001,132.419998,133.559998,354100,121.153191
"133",133.550003,133.580002,132.029999,132.729996,516500,120.400276
"134",132.949997,134.360001,132.460007,133.729996,392100,121.307426
"135",133.759995,134.399994,133.130005,133.880005,385600,121.443459
"136",133.770004,135.690002,133.770004,135.059998,303500,122.513832
"137",135.380005,136.270004,134.630005,135.229996,370000,122.668053
"138",135.130005,135.130005,132.660004,133.369995,396300,120.980812
"139",133.179993,133.179993,131.389999,133.009995,406100,120.654251
"140",132.880005,132.880005,131.270004,132.509995,372200,120.200706
"141",133.169998,134.860001,132.850006,132.979996,527600,120.62706
"142",133.039993,133.940002,132.759995,133.380005,505700,120.989899
"143",133.369995,134.25,133.089996,133.580002,449900,121.171349
"144",133.639999,133.809998,132.589996,133.149994,340600,120.781281
"145",133.360001,133.990005,132.860001,133.179993,438700,120.808449
"146",133.679993,135.130005,133.460007,134.570007,445800,122.069344
"147",134.360001,135.610001,133.559998,133.839996,636800,121.407173
"148",134.020004,134.850006,133.25,134.330002,672000,121.851639
"149",134.610001,135.009995,134.270004,134.800003,354700,122.278
"150",134.759995,135.479996,134.529999,134.809998,439700,122.287064
"151",134.679993,136.009995,134.369995,134.639999,667500,122.132858
"152",136.220001,140,134.610001,139.679993,1016600,126.704689
"153",139.190002,139.529999,136.529999,136.850006,728700,124.137573
"154",137.190002,137.190002,134.470001,135.380005,372000,122.804115
"155",136.210007,137.399994,135.889999,137.059998,280700,124.328041
"156",137.220001,138,136.630005,137.070007,362400,124.337143
"157",137.389999,138.699997,136.919998,138.539993,265500,125.670555
"158",137.940002,138.320007,135.229996,135.279999,252000,122.713394
"159",135.059998,135.839996,134.110001,134.830002,352100,122.305176
"160",134.850006,135.300003,134.149994,134.880005,271300,122.350571
"161",134.940002,136.039993,134.830002,135.860001,179700,123.23951
"162",134.789993,135.660004,134.619995,135.119995,284600,122.56826
"163",135.610001,135.869995,135.110001,135.229996,181400,122.668053
"164",135.419998,136.610001,135.419998,135.919998,168800,123.293968
"165",136.25,136.509995,135.470001,136.139999,170700,123.493523
"166",135.240005,136.410004,134.929993,135.949997,224400,123.321152
"167",135.669998,137.369995,135.669998,136.220001,256600,123.566101
"168",136.660004,137.059998,136.169998,136.850006,282200,124.137573
"169",137.100006,138.389999,137.100006,137.940002,205400,125.126305
"170",137.75,139.479996,137.529999,139.259995,342100,126.323677
"171",139.699997,139.729996,137.970001,139.059998,237400,126.142265
"172",139.320007,140.740005,139.320007,140.559998,296700,127.502922
"173",140.529999,142.380005,140.300003,141.830002,267900,128.654938
"174",142.779999,144.029999,142.100006,143.139999,318000,129.843292
"175",143.369995,144.119995,142.509995,143.210007,416900,129.906754
"176",143.089996,143.690002,142.720001,143.139999,284800,129.843292
"177",142.880005,143.899994,142.669998,143.660004,232100,130.314941
"178",143.559998,144.130005,143.220001,143.779999,393700,130.423813
"179",144.029999,144.440002,143.259995,144.139999,192600,130.750381
"180",144.399994,144.720001,143.759995,144.619995,158900,131.18576
"181",144.639999,145.520004,144.119995,145.009995,267500,131.539551
"182",144.839996,145.139999,143.399994,143.770004,371700,130.414734
"183",143.130005,144.449997,142.759995,144.210007,380700,131.444702
"184",143.949997,144.990005,143.399994,144.889999,257400,132.064514
"185",145.490005,145.889999,143.800003,143.830002,221400,131.098343
"186",144.029999,144.029999,139.679993,141.020004,667900,128.537079
"187",140.850006,143.25,140.850006,142.600006,255300,129.977234
"188",142.580002,143.380005,142.479996,142.910004,266900,130.259781
"189",143.270004,144.630005,142.979996,144.470001,395300,131.681702
"190",144.759995,145.919998,144.229996,145.910004,351900,132.994263
"191",145.850006,146.919998,145.380005,146.649994,267200,133.668732
"192",147.179993,147.5,146.460007,147.25,407800,134.215652
"193",146.589996,146.850006,144.960007,145.630005,296900,132.739044
"194",145.610001,147.059998,145.490005,146.380005,436800,133.422653
"195",146.389999,148.330002,146.279999,148.259995,415500,135.1362
"196",148.210007,148.490005,147.029999,147.729996,293700,134.653122
"197",147.419998,148.289993,147.25,147.589996,290800,134.525513
"198",148.399994,148.710007,147.369995,148.179993,170700,135.063293
"199",148.410004,149.839996,147.830002,149.779999,223200,136.521652
"200",149.589996,149.669998,148.470001,148.580002,208300,135.427887
"201",148.529999,148.990005,147.100006,147.279999,311300,134.242966
"202",146.960007,148.190002,146.130005,148.119995,157800,135.008606
"203",148.779999,150.380005,148.279999,150.360001,237000,137.050323
"204",150.509995,151.039993,150,150.160004,264800,136.868027
"205",150.300003,150.300003,148.369995,149.050003,218600,135.856262
"206",149.070007,150.199997,148.149994,149.199997,263000,135.992966
"207",149.630005,150.300003,148.699997,150,171300,136.722168
"208",149.669998,150.220001,148.399994,148.559998,228100,135.409668
"209",148.089996,148.380005,146.429993,146.770004,214800,133.778122
"210",146.820007,147.479996,146.210007,147.419998,259800,134.370544
"211",147.740005,148.940002,147.509995,148.320007,266600,135.190903
"212",148.679993,148.929993,147.020004,148.199997,299800,135.081497
"213",147.960007,149.020004,147.449997,148.309998,280600,135.181824
"214",148.600006,148.600006,146.429993,146.449997,342100,133.48642
"215",153,153.970001,149.509995,149.990005,782800,136.713043
"216",149.850006,149.869995,147.25,147.529999,435200,134.470825
"217",147.199997,147.550003,146.309998,146.740005,235100,133.750732
"218",145.449997,147.649994,145.449997,146.770004,282200,133.778122
"219",146.580002,149.800003,146.479996,149.720001,202200,136.466949
"220",148.949997,150.710007,148.339996,150.649994,233800,137.314621
"221",149.610001,149.610001,147.869995,147.949997,192000,134.853622
"222",148.630005,149.360001,148,148.589996,265200,135.436981
"223",148.039993,148.949997,147.509995,148.75,210200,135.582855
"224",149.130005,150,148.479996,149.940002,245600,136.667496
"225",150.720001,152.220001,150.550003,151.710007,209400,138.280823
"226",151.729996,152.179993,150.449997,150.979996,203600,137.615448
"227",151.220001,152.649994,151.220001,152.380005,138600,138.89151
"228",152.300003,153.279999,151.279999,151.470001,225100,138.062042
"229",151.970001,154.720001,151.970001,154.449997,225500,140.778259
"230",154.610001,155.5,153.839996,154.559998,210900,140.878494
"231",154.820007,156.639999,154.089996,155.440002,542200,141.680679
"232",156.199997,156.199997,152.559998,154.699997,280900,141.006149
"233",155.289993,155.289993,153.880005,154.339996,411800,140.678009
"234",154.520004,155.869995,153.279999,154.970001,255900,141.252243
"235",154.460007,154.630005,153.440002,153.800003,262900,140.185822
"236",154.210007,154.210007,153.009995,153.259995,203500,139.693634
"237",153.880005,153.899994,152.820007,153.039993,238300,139.493073
"238",153.050003,153.139999,151.789993,152.300003,253800,138.818588
"239",152.309998,152.529999,151.479996,152.259995,186700,138.782135
"240",152.559998,153.330002,150.449997,153.039993,361100,139.493073
"241",153.229996,153.25,151.580002,151.630005,211200,138.207901
"242",152.580002,154.399994,152.380005,154.169998,526000,140.523071
