"","DAL.Open","DAL.High","DAL.Low","DAL.Close","DAL.Volume","DAL.Adjusted"
"395",53.950001,54.77,53.919998,54.459999,6561000,52.327339
"396",54.32,54.880001,53.75,53.790001,5676700,51.683578
"397",53.93,55.049999,53.810001,54.419998,6048100,52.288902
"398",54.790001,54.869999,53.389999,53.59,4203400,51.491409
"399",53.209999,54.099998,52.939999,53.91,4483600,51.798882
"400",54.16,54.439999,54.009998,54.259998,3147300,52.13517
"401",54.099998,54.529999,53.84,54.419998,3122300,52.288902
"402",54.599998,55.09,54.52,54.700001,4425300,52.557941
"403",54.869999,55.549999,54.849998,55.23,3562200,53.067184
"404",55.209999,55.720001,55.130001,55.34,2890400,53.172874
"405",54.779999,54.830002,53.849998,54.709999,4204400,52.567547
"406",54.880001,54.880001,53.759998,54.220001,3896600,52.096737
"407",54.259998,55.060001,54.259998,54.759998,3459900,52.615589
"408",54.799999,55.549999,54.360001,55.23,4896500,53.067184
"409",55.330002,55.799999,55.220001,55.450001,3366100,53.278572
"410",55.490002,55.990002,55.310001,55.650002,3266500,53.470745
"411",55.970001,57.700001,55.860001,57.419998,7005800,55.171421
"412",57.529999,58.029999,57.439999,57.599998,4732300,55.344376
"413",57.5,57.5,56.779999,56.91,4246100,54.681396
"414",56.810001,57.32,56.720001,56.939999,3051900,54.710224
"415",56.779999,57.380001,56.549999,57.18,3149600,54.940823
"416",57.470001,57.93,57.27,57.75,4278900,55.488503
"417",57.950001,58.869999,57.810001,58.790001,7035300,56.487774
"418",58.799999,58.869999,58.41,58.52,4543300,56.228352
"419",58.330002,58.689999,58.18,58.439999,3020300,56.151478
"420",58.439999,58.779999,58.34,58.48,6076700,56.189915
"421",58.5,59.18,58.439999,58.880001,5017400,56.574249
"422",59,59.599998,56.950001,57.209999,9495500,54.96965
"423",57.209999,57.52,56.18,56.439999,7618100,54.229797
"424",56.080002,57.68,55.689999,56.860001,6307600,54.633358
"425",57.049999,57.740002,56.82,57.560001,3894900,55.305946
"426",57.330002,58.459999,57.16,58.27,4717500,55.988144
"427",58.34,58.380001,57.16,57.389999,5116100,55.142601
"428",57.389999,58.25,57.389999,57.82,3568400,55.555759
"429",57.759998,58.330002,57.630001,57.93,3449300,55.661449
"430",57.790001,58.360001,57.790001,57.959999,3944600,55.690277
"431",57.869999,58.299999,56.919998,57.830002,3746900,55.565372
"432",57.860001,58.27,57.75,57.900002,3423000,55.632629
"433",58.200001,58.459999,57.900002,58.130001,3448100,55.853626
"434",58.439999,60.23,58.389999,59.610001,11936300,57.275665
"435",59.16,59.16,57.130001,57.41,6640000,55.161816
"436",57.439999,57.549999,56.41,57.099998,4635500,54.863953
"437",57.400002,57.950001,57.18,57.509998,5306700,55.2579
"438",57.82,58.580002,57.82,58,3897600,55.72871
"439",58,58.27,57.540001,57.830002,4642500,55.565372
"440",57.990002,58.139999,56.32,56.599998,5839900,54.38353
"441",55.439999,55.599998,54.209999,54.689999,8604600,52.548332
"442",54.990002,55.200001,54.25,54.32,6966700,52.192825
"443",54.25,54.43,53.040001,53.560001,7681100,51.462589
"444",53.740002,53.860001,52.540001,52.700001,5621700,50.636265
"445",52.369999,52.709999,51.610001,52.139999,5495700,50.09819
"446",52.529999,52.93,50.759998,50.860001,8284700,48.868317
"447",50.73,50.830002,49.68,49.709999,13082900,47.763351
"448",51.5,52.599998,50.669998,51.48,15887500,49.464031
"449",52.560001,52.709999,51.360001,52.049999,9677300,50.011719
"450",52,52.5,51.759998,51.84,6494400,49.80994
"451",52.060001,53.220001,52.02,53.110001,6684000,51.030205
"452",54.93,55.279999,53.700001,54.299999,9184200,52.173603
"453",54.290001,54.299999,52.959999,53.130001,5871200,51.049427
"454",53.130001,53.580002,52.759998,53.389999,4989800,51.299236
"455",53.540001,54.43,53.299999,54.240002,6174200,52.115955
"456",53.299999,53.650002,52.029999,53.450001,7679800,51.356892
"457",53.5,53.599998,51.369999,51.509998,6759100,49.492859
"458",51.41,53.959999,51.360001,53.709999,9174400,51.606709
"459",53.310001,54.189999,52.139999,53.279999,9573000,51.19355
"460",54.150002,54.77,52.560001,53.419998,10819700,51.328064
"461",53.389999,55.220001,53.380001,55.119999,7526200,52.961498
"462",55.610001,56.130001,54.68,54.73,8699500,52.586769
"463",54.93,56.23,54.790001,56.040001,6401100,53.84547
"464",56.5,57.029999,55.639999,56.119999,6488600,53.922329
"465",56.02,56.380001,55.549999,56.049999,5206000,53.855068
"466",55.709999,55.869999,54.75,55.470001,5983100,53.632694
"467",55.810001,57.25,55.639999,56.790001,7204600,54.90897
"468",56.59,56.959999,55.880001,56.73,4150400,54.85096
"469",56.830002,57.209999,56.380001,56.650002,6061600,54.773613
"470",56.599998,57.189999,56.200001,56.700001,4553900,54.821953
"471",57.130001,57.919998,56.790001,56.82,6004400,54.937981
"472",56.93,57.560001,56.209999,56.43,5543300,54.560894
"473",56.16,56.259998,55,56.099998,6969000,54.241825
"474",55.810001,56.02,54.900002,55.900002,6719500,54.04845
"475",56,56.59,55.759998,56.189999,5640400,54.328846
"476",55.599998,56.470001,55.279999,55.41,5623600,53.57468
"477",55.810001,57.32,55.669998,55.970001,6509100,54.116131
"478",56.490002,57.689999,56.27,57.16,3778200,55.266716
"479",57.52,57.799999,56.560001,56.709999,5927100,54.831619
"480",57.310001,59,57.279999,58.310001,8879800,56.378624
"481",58.369999,58.93,57.709999,58.869999,6204000,56.920074
"482",58.5,59.43,58.349998,58.860001,6793700,56.910408
"483",59.259998,61.32,59.169998,60.709999,10846900,58.699131
"484",61,61.07,59.810001,60.119999,6759400,58.12867
"485",57.98,59.189999,56.330002,56.939999,14429000,55.054001
"486",56.630001,58.23,56.509998,58.080002,9052500,56.156246
"487",57.610001,58.080002,55.5,56.07,8193600,54.212818
"488",56.23,56.650002,55.310001,56.32,5698400,54.454533
"489",56.689999,56.959999,55.630001,55.889999,7319200,54.03878
"490",56.459999,56.970001,56,56.27,6175700,54.406197
"491",56.23,56.450001,53.349998,53.549999,10174900,51.776291
"492",52.900002,54.73,52.849998,53.509998,5551600,51.737614
"493",53.369999,53.369999,52.119999,52.389999,5792700,50.654713
"494",53.43,53.599998,52.66,52.950001,6099500,51.196163
"495",53.200001,53.34,51.41,51.93,8003600,50.209946
"496",51.529999,52.060001,50.02,50.91,8428800,49.223724
"497",50.509998,51.279999,49.290001,49.450001,11680200,47.812092
"498",49.25,49.450001,47.900002,47.959999,5381300,46.371441
"499",48.400002,50.459999,47.91,50.41,7452700,48.740288
"500",50.029999,50.5,48.32,50.5,7136300,48.827312
"501",50.529999,51.099998,49.709999,50.18,5854800,48.51791
"502",50.290001,50.66,49.560001,49.900002,6231700,48.247185
"503",49.25,50.16,48.880001,50.09,5270700,48.430889
"504",48.509998,48.939999,45.080002,45.610001,18694100,44.099285
"505",46.369999,48.830002,46.240002,47.790001,11037000,46.207077
"506",48,48.439999,47.130001,47.849998,9375500,46.265083
"507",48.48,48.669998,46.950001,47.470001,8231400,45.897675
"508",47.099998,48.720001,46.919998,48.470001,8095300,46.864552
"509",46.68,48.91,45.82,48.73,11880200,47.115936
"510",48.220001,48.669998,47.59,48.560001,6577900,46.951569
"511",47.57,47.900002,46.400002,47.75,10095100,46.1684
"512",47.970001,49.290001,46.849998,47.830002,11569500,46.245747
"513",48.889999,49.18,47.41,47.5,9823000,45.926678
"514",47.439999,48.57,47.32,48.220001,7312700,46.622833
"515",48.639999,48.700001,47.939999,48.110001,7850200,46.516472
"516",48.049999,48.049999,46.84,47.099998,8144400,45.539925
"517",47.290001,47.799999,46.939999,47.299999,8099900,45.733303
"518",48.259998,48.549999,47.169998,47.52,9057200,45.946014
"519",47.650002,48.150002,46.900002,47.689999,11839200,46.110386
"520",47.43,48.439999,47.330002,48.009998,8212100,46.419785
"521",48.41,48.490002,47.869999,48.220001,7476500,46.622833
"522",48.380001,50.450001,48.360001,50.27,13005200,48.604927
"523",50.07,50.41,49.09,49.43,8287100,47.792751
"524",49.630001,50.490002,49.57,49.919998,6172900,48.266518
"525",49.990002,50.400002,49.560001,50.34,5356200,48.672611
"526",50.369999,51.060001,50.02,50.540001,8727600,48.86599
"527",50.169998,50.779999,49.860001,50.52,6228100,48.846649
"528",50.34,50.669998,49.970001,50.41,5673900,48.740288
"529",50.07,50.529999,49.919998,50.470001,4456600,48.798309
"530",50.610001,51.029999,50.599998,50.610001,6963900,48.93367
"531",50.860001,51.07,49.880001,49.889999,8301700,48.237514
"532",50.049999,50.73,49.889999,50.41,5754900,48.740288
"533",50.07,50.73,49.959999,50.48,5780000,48.807972
"534",50.889999,51.470001,50.57,51.080002,6492000,49.388103
"535",51,52.220001,51,51.82,7904800,50.103588
"536",51.18,51.639999,50.57,51.240002,7497300,49.542805
