"Index" "CAOpen" "CAHigh" "CALow" "CAClose" "CAVolume" "CAAdjusted"
"2013-02-06" 25.657587 25.758755 25.556419 25.719845 8415337 20.253963
"2013-02-07" 25.813231 25.968872 25.603113 25.898832 5842767 20.394918
"2013-02-08" 25.875486 26.038912 25.789883 25.976654 3751686 20.456202
"2013-02-11" 26.062258 26.093386 25.89105 25.968872 4422585 20.450069
"2013-02-12" 26.046694 26.07004 25.883268 25.914396 5535395 20.407175
"2013-02-13" 26.007782 26.14786 25.953306 26.054476 4422585 20.517485
"2013-02-14" 26.171206 26.381323 26.140078 26.287937 6352398 20.701332
"2013-02-15" 26.373541 26.404669 26.07004 26.249027 6338006 20.670691
"2013-02-19" 26.287937 26.412451 25.883268 26.031128 11521696 20.499098
"2013-02-20" 26.155642 26.459145 26.077822 26.186769 5629842 20.621662
"2013-02-21" 26.217899 26.303501 26.093386 26.241245 4214929 20.664566
"2013-02-22" 26.264591 26.435799 26.233463 26.396887 3024633 20.787125
"2013-02-25" 26.459145 26.529182 26.085604 26.085604 3261330 20.541998
"2013-02-26" 26.10895 26.326847 26 26.319065 4175350 20.72584
"2013-02-27" 26.357977 26.575874 26.178988 26.529182 4034643 20.891308
"2013-02-28" 26.552528 26.754864 26.505836 26.544746 4504311 20.903563
"2013-03-01" 26.482491 26.692608 26.319065 26.692608 4245512 21.020006
"2013-03-04" 26.692608 27.050585 26.56031 26.996109 4155433 21.259007
"2013-03-05" 27.097277 27.198444 26.980545 27.027237 4208118 21.28352
"2013-03-06" 27.089495 27.175097 27.027237 27.105059 3742820 21.344797
"2013-03-07" 27.112841 27.198444 26.941633 26.964981 2940080 21.234493
"2013-03-08" 27.058367 27.182878 26.988327 27.058367 2535305 21.308031
"2013-03-11" 27.073931 27.143969 26.980545 27.027237 3084129 21.28352
"2013-03-12" 26.949415 27.035019 26.856031 27.003891 2776371 21.265131
"2013-03-13" 27.042803 27.276264 26.957197 27.268482 2203518 21.473492
"2013-03-14" 27.276264 27.33852 27.128405 27.315174 2752727 21.51026
"2013-03-15" 27.214008 27.268482 26.964981 27.214008 5151822 21.430601
"2013-03-18" 27.151751 27.33852 27.050585 27.2607 2724971 21.467367
"2013-03-19" 27.346304 27.447472 27.143969 27.43969 3203762 21.608315
"2013-03-20" 27.525291 27.750973 27.501945 27.688717 4839696 21.804419
"2013-03-21" 27.704281 27.735409 27.214008 27.33852 3743333 21.528654
"2013-03-22" 27.284046 27.431908 27.229572 27.33852 5960216 21.528654
"2013-03-25" 27.43969 27.587549 27.307392 27.36965 4118682 21.553167
"2013-03-26" 27.377432 27.688717 27.377432 27.603113 3102504 21.737007
"2013-03-27" 27.517509 27.727627 27.330738 27.696499 3030801 21.810553
"2013-03-28" 27.696499 27.945524 27.603113 27.867704 3844977 21.945375
"2013-04-01" 27.883268 27.89105 27.610895 27.719845 2646586 21.828934
"2013-04-02" 27.735409 27.883268 27.540855 27.657587 4776859 21.779907
"2013-04-03" 27.027237 27.727627 26.77821 27.120623 10061293 21.357054
"2013-04-04" 27.198444 27.361868 26.832685 26.949415 6571490 21.222237
"2013-04-05" 26.723736 26.840467 26.56031 26.785992 4358206 21.093542
"2013-04-08" 26.770428 26.926069 26.607004 26.926069 3750915 21.203844
"2013-04-09" 26.926069 26.957197 26.715954 26.723736 5573688 21.044512
"2013-04-10" 26.723736 27.081713 26.723736 26.933851 4275324 21.209976
"2013-04-11" 26.926069 27.229572 26.926069 27.089495 5929247 21.332546
"2013-04-12" 27.042803 27.36965 27.019455 27.361868 5225453 21.547035
"2013-04-15" 27.346304 27.40856 27.050585 27.050585 5659269 21.301901
"2013-04-16" 27.206226 27.626459 27.167315 27.626459 4835584 21.755396
"2013-04-17" 27.517509 27.603113 27.322956 27.494164 5036815 21.651222
"2013-04-18" 27.517509 27.626459 27.40856 27.564201 4236645 21.706367
"2013-04-19" 27.595331 28.093386 27.579767 28.062258 5037714 22.098579
"2013-04-22" 28.093386 28.093386 27.85214 28.046694 4183317 22.086325
"2013-04-23" 28.077822 28.256809 27.727627 28.085604 3459349 22.116964
"2013-04-24" 28.038912 28.186769 27.564201 27.610895 3913467 21.743139
"2013-04-25" 27.696499 27.92996 27.579767 27.610895 3352822 21.743139
"2013-04-26" 27.361868 27.735409 27.268482 27.455254 3475154 21.774002
"2013-04-29" 27.470818 27.587549 27.385214 27.540855 2814921 21.84189
"2013-04-30" 27.540855 27.587549 27.392996 27.525291 2298994 21.829542
"2013-05-01" 27.494164 27.540855 27.214008 27.229572 3241413 21.595016
"2013-05-02" 27.214008 27.486382 27.136187 27.151751 5765667 21.533302
"2013-05-03" 27.33852 27.813231 27.322956 27.750973 5057246 22.00853
"2013-05-06" 27.750973 27.797665 27.540855 27.571983 3168553 21.866575
"2013-05-07" 27.634241 27.828794 27.571983 27.821012 2630909 22.064072
"2013-05-08" 27.782101 27.813231 27.579767 27.649805 2962825 21.928291
"2013-05-09" 27.727627 27.813231 27.206226 27.276264 4477840 21.632048
"2013-05-10" 27.143969 27.330738 27.003891 27.128405 4408064 21.51478
"2013-05-13" 27.151751 27.642023 27.128405 27.595331 3205818 21.885088
"2013-05-14" 27.603113 27.774319 27.571983 27.774319 2507164 22.027039
"2013-05-15" 27.750973 28.186769 27.712063 28.140078 4388147 22.317118
"2013-05-16" 28.062258 28.178988 27.789883 27.844358 3127176 22.082581
"2013-05-17" 27.859922 27.992218 27.766537 27.953306 3276750 22.168987
"2013-05-20" 27.953306 28.031128 27.758755 27.782101 4442245 22.033213
"2013-05-21" 27.797665 27.875486 27.587549 27.743191 3319669 22.002352
"2013-05-22" 27.696499 27.89105 27.284046 27.385214 4264658 21.718452
"2013-05-23" 27.206226 27.322956 26.918287 27.027237 5462792 21.434547
"2013-05-24" 26.957197 27.151751 26.77821 27.058367 3222138 21.459236
"2013-05-28" 27.19066 27.463036 27.136187 27.22179 3299880 21.588848
"2013-05-29" 27.151751 27.268482 26.708172 26.754864 3691163 21.218542
"2013-05-30" 26.770428 26.863813 26.66148 26.762646 2562033 21.224714
"2013-05-31" 26.708172 26.731518 26.217899 26.217899 4317857 20.792685
"2013-06-03" 26.202335 26.202335 25.533073 26.031128 6036545 20.644564
"2013-06-04" 26.07004 26.272373 25.953306 26.093386 4900219 20.693939
"2013-06-05" 25.968872 26.062258 25.680935 25.688717 4731113 20.373007
"2013-06-06" 25.727627 25.805447 25.447472 25.805447 5724547 20.46558
"2013-06-07" 25.906614 26.295719 25.906614 26.264591 3827372 20.829721
"2013-06-10" 26.303501 26.396887 26.077822 26.342413 2667018 20.89143
"2013-06-11" 26.256809 26.692608 26.132296 26.482491 3530281 21.002535
"2013-06-12" 26.653696 26.832685 26.264591 26.295719 4011384 20.854406
"2013-06-13" 26.311283 26.66148 26.132296 26.607004 2975032 21.101274
"2013-06-14" 26.622568 26.7393 26.443581 26.529182 2854114 21.03956
"2013-06-17" 26.638132 26.980545 26.638132 26.918287 3029645 21.348146
"2013-06-18" 26.879377 26.957197 26.669262 26.848249 4651572 21.292603
"2013-06-19" 26.715954 26.77821 26.140078 26.155642 5189730 20.743313
"2013-06-20" 26.077822 26.124514 25.525291 25.548637 5878233 20.261913
"2013-06-21" 25.828794 25.976654 25.548637 25.875486 6763084 20.52113
"2013-06-24" 25.634241 26.015564 25.533073 25.774319 3742306 20.440897
"2013-06-25" 25.89105 26.054476 25.813231 25.89105 5248711 20.53347
"2013-06-26" 26.124514 26.178988 25.953306 25.953306 5969082 20.58284
"2013-06-27" 26.708172 27.657587 26.575874 27.268482 12091079 21.625874
"2013-06-28" 27.237354 27.40856 26.996109 27.182878 11545854 21.557983
"2013-07-01" 27.237354 27.509727 27.159533 27.322956 3919507 21.669071
"2013-07-02" 27.315174 27.665371 27.237354 27.517509 4490047 21.823368
"2013-07-03" 27.447472 27.867704 27.392996 27.766537 3405636 22.020866
"2013-07-05" 27.782101 27.844358 27.463036 27.719845 2936354 21.983839
"2013-07-08" 27.805447 27.976654 27.626459 27.836576 4120095 22.076416
"2013-07-09" 27.945524 27.992218 27.610895 27.673153 4186273 21.946814
"2013-07-10" 27.680935 28.015564 27.642023 28.007782 3766592 22.212191
