"Index" "BLOpen" "BLHigh" "BLLow" "BLClose" "BLVolume" "BLAdjusted"
"2013-05-23" 280.850006 283.690002 277.450012 282.799988 748300 228.988113
"2013-05-24" 279.880005 283.540009 279.799988 283.350006 417500 229.433487
"2013-05-28" 285.420013 292.290009 285.140015 288.320007 564200 233.457825
"2013-05-29" 286.309998 288.859985 282.769989 283.640015 749600 229.668304
"2013-05-30" 282.5 286.679993 281.299988 284.980011 781900 230.753387
"2013-05-31" 283.709991 285.98999 279.140015 279.200012 812600 226.073212
"2013-06-03" 279.940002 279.950012 273.029999 278.329987 774700 225.368759
"2013-06-04" 278.730011 281.579987 274.690002 276.279999 719000 223.708755
"2013-06-05" 275.899994 277.779999 263.109985 266.970001 1305900 216.170349
"2013-06-06" 265.390015 269.230011 260.519989 268.98999 1409400 219.185196
"2013-06-07" 272.98999 280.690002 269.769989 280.230011 899200 228.344101
"2013-06-10" 279.049988 282.910004 276.410004 281.339996 695300 229.248611
"2013-06-11" 279.390015 279.730011 275.170013 276.200012 644000 225.060333
"2013-06-12" 278.369995 280 268.529999 269.040009 866600 219.225937
"2013-06-13" 268.779999 272.700012 264.709991 272.429993 1162700 221.988312
"2013-06-14" 272.359985 273.700012 268.049988 269.730011 761600 219.788269
"2013-06-17" 272.559998 278.079987 271 275.98999 762700 224.889145
"2013-06-18" 277.380005 279.329987 274.769989 276.48999 506500 225.296585
"2013-06-19" 276.890015 278.209991 268.230011 268.459991 832100 218.753357
"2013-06-20" 264.720001 265.920013 250.550003 252.009995 2373400 205.349136
"2013-06-21" 258.51001 258.649994 241.990005 248.669998 2622500 202.627609
"2013-06-24" 246.389999 248.300003 240.600006 245.630005 1564400 200.150436
"2013-06-25" 249.610001 253.869995 247.649994 252.580002 1258400 205.813629
"2013-06-26" 252.330002 259.399994 252.330002 258.040009 1028400 210.262695
"2013-06-27" 257.350006 265.5 257.350006 264.059998 1042100 215.168045
"2013-06-28" 263.880005 263.880005 256.230011 256.850006 1407100 209.293015
"2013-07-01" 257.609985 261.600006 255.809998 256.109985 835800 208.690033
"2013-07-02" 255.910004 259.399994 254.710007 256.820007 483300 209.268585
"2013-07-03" 254.490005 257.220001 253 255.259995 248300 207.997437
"2013-07-05" 257.820007 258.940002 253.380005 257.26001 596200 209.627121
"2013-07-08" 259.980011 260.549988 255.869995 257.019989 844400 209.431519
"2013-07-09" 259.399994 263.769989 255.240005 263.380005 939100 214.613983
"2013-07-10" 265 266.320007 262.399994 264.709991 885000 215.697647
"2013-07-11" 267.570007 272.029999 266.950012 269.890015 932200 219.91864
"2013-07-12" 269.5 269.790009 265.730011 269.73999 675100 219.796356
"2013-07-15" 270.170013 271.170013 269.019989 269.809998 463100 219.853424
"2013-07-16" 270.059998 273.470001 265.5 268.350006 661300 218.663712
"2013-07-17" 268.809998 272.290009 268.149994 272.290009 1074800 221.874268
"2013-07-18" 273.619995 279.630005 272.299988 278.910004 1233700 227.268463
"2013-07-19" 279.980011 280.720001 275.290009 280.720001 775200 228.743347
"2013-07-22" 280.25 286 278.929993 286 769400 233.045746
"2013-07-23" 286.019989 288.820007 284.779999 284.950012 706100 232.190155
"2013-07-24" 285.170013 286.440002 282.549988 283.950012 856300 231.375397
"2013-07-25" 282.209991 286.529999 281.25 284.980011 580400 232.214676
"2013-07-26" 283.070007 286.399994 281.679993 286.380005 421300 233.355438
"2013-07-29" 286.809998 286.809998 282.029999 283.119995 424000 230.69902
"2013-07-30" 284.790009 285.290009 281.869995 282.440002 494500 230.144882
"2013-07-31" 282.679993 285.809998 281.269989 281.959991 733900 229.753769
"2013-08-01" 286 287 283.679993 285.269989 774500 232.450912
