"Index" "ABOpen" "ABHigh" "ABLow" "ABClose" "ABVolume" "ABAdjusted"
"2013-03-20" 50.310001 50.450001 49.720001 50.240002 3203700 43.696754
"2013-03-21" 50.110001 50.540001 49.560001 49.790001 2285000 43.305359
"2013-03-22" 49.799999 49.919998 49.599998 49.82 2917300 43.33144
"2013-03-25" 49.950001 50.950001 49.84 50.59 3248100 44.00116
"2013-03-26" 50.860001 51.209999 50.470001 50.720001 2428300 44.114223
"2013-03-27" 50.509998 50.900002 50.330002 50.709999 2027900 44.10553
"2013-03-28" 50.959999 51.57 50.790001 51.450001 2835600 44.749157
"2013-04-01" 51.380001 51.66 51.290001 51.639999 1429400 44.91441
"2013-04-02" 51.919998 53.360001 51.849998 52.41 4047700 45.584122
"2013-04-03" 52.57 52.830002 51.310001 51.689999 4837400 44.95789
"2013-04-04" 51.689999 52.830002 51.669998 51.82 2840100 45.070972
"2013-04-05" 51.43 52.119999 51.41 52.080002 1596400 45.297104
"2013-04-08" 52.18 52.700001 51.689999 52.630001 2294600 45.775471
"2013-04-09" 52.75 53.150002 52.490002 52.919998 3118200 46.027699
"2013-04-10" 53.93 54 53.080002 53.299999 3148400 46.358212
"2013-04-11" 53.279999 54.16 53.25 53.810001 2354400 46.801792
"2013-04-12" 53.779999 54.330002 53.68 54.18 1269300 47.1236
"2013-04-15" 54.139999 54.349998 53.84 54.040001 2243200 47.001839
"2013-04-16" 54.48 54.990002 54.119999 54.950001 2050600 47.793308
"2013-04-17" 54.779999 55.189999 54.450001 55.060001 3176700 47.888996
"2013-04-18" 55.060001 56.07 55.02 55.439999 4273900 48.219498
"2013-04-19" 55.610001 55.990002 55.240002 55.919998 2023400 48.636978
"2013-04-22" 56.419998 56.439999 55.650002 56.200001 2571100 48.880512
"2013-04-23" 56.389999 56.91 55.939999 56.299999 2419400 48.967491
"2013-04-24" 56.330002 56.599998 55.630001 55.82 3091300 48.549992
"2013-04-25" 55.82 56 53.130001 53.41 7988800 46.453884
"2013-04-26" 53 53.599998 52.779999 53.259998 5365100 46.323418
"2013-04-29" 53.330002 54.279999 53.25 54.060001 3329100 47.019226
"2013-04-30" 54.07 54.130001 53.599998 54.119999 2064900 47.071407
"2013-05-01" 54.060001 54.400002 53.759998 53.84 2418000 46.827873
"2013-05-02" 53.849998 54.860001 53.77 54.849998 2157900 47.706341
"2013-05-03" 55.009998 55.080002 54.419998 54.57 1850800 47.462811
"2013-05-06" 54.490002 54.709999 54.34 54.400002 1401200 47.314941
"2013-05-07" 54.59 55.040001 54.369999 54.98 2142100 47.819412
"2013-05-08" 55.029999 55.209999 54.619999 55.099998 2598700 47.923767
"2013-05-09" 54.91 55.09 54.490002 54.810001 1708200 47.671551
"2013-05-10" 54.98 55 54.630001 54.84 1324800 47.697628
"2013-05-13" 54.68 54.880001 54.450001 54.48 2022800 47.384525
"2013-05-14" 54.470001 54.990002 54.25 54.959999 2369200 47.802006
"2013-05-15" 55 55.48 54.650002 55.009998 2859300 47.845497
"2013-05-16" 54.639999 55.060001 54.290001 54.400002 1766600 47.496258
"2013-05-17" 54.439999 55.07 54.18 54.990002 2180100 48.011395
"2013-05-20" 55.009998 55.23 54.709999 54.82 1712700 47.862961
"2013-05-21" 54.77 54.939999 54.400002 54.650002 1698200 47.714546
"2013-05-22" 54.720001 55.110001 54.369999 54.459999 2471600 47.548649
"2013-05-23" 54.32 54.799999 54.049999 54.580002 1816000 47.653427
"2013-05-24" 54.360001 54.560001 54.040001 54.439999 1935100 47.531185
"2013-05-28" 54.77 55.200001 54.040001 54.369999 2759300 47.47007
"2013-05-29" 54.169998 54.5 53.220001 53.900002 2679200 47.059715
"2013-05-30" 54 55.02 53.900002 54.720001 1743800 47.775665
"2013-05-31" 54.490002 54.720001 54.080002 54.080002 2534700 47.216869
"2013-06-03" 54.009998 54.139999 52.380001 52.68 3582100 45.994545
"2013-06-04" 52.73 53.400002 52.689999 53.259998 2779700 46.500931
"2013-06-05" 53.040001 53.369999 52.84 52.900002 3433100 46.186626
"2013-06-06" 52.810001 53.080002 52.439999 52.549999 3420300 45.881039
"2013-06-07" 52.700001 53.25 52.700001 52.939999 3489200 46.22155
"2013-06-10" 53.130001 53.84 52.970001 53.709999 2497500 46.893826
"2013-06-11" 53.959999 55.18 53.939999 54.810001 3596200 47.854233
"2013-06-12" 55.02 55.349998 54.720001 54.75 3673500 47.801842
"2013-06-13" 54.610001 54.689999 54.040001 54.560001 2551400 47.63596
"2013-06-14" 54.439999 55.209999 54.400002 54.93 1985300 47.959011
"2013-06-17" 55.130001 55.68 55.049999 55.66 2929400 48.596367
"2013-06-18" 55.68 55.98 55.389999 55.860001 1805600 48.770981
"2013-06-19" 55.779999 56.389999 55.389999 55.560001 2227200 48.509045
"2013-06-20" 55.470001 55.610001 54.009998 54.139999 3015200 47.26926
"2013-06-21" 54.240002 54.93 54.150002 54.34 2668500 47.443886
"2013-06-24" 54.02 54.310001 53.25 53.610001 2936800 46.806511
"2013-06-25" 53.740002 53.77 53.060001 53.549999 2846600 46.754131
"2013-06-26" 53.779999 55.290001 53.779999 55.040001 2503200 48.055046
"2013-06-27" 55.369999 55.759998 55.099998 55.310001 2446300 48.290775
"2013-06-28" 55.5 56.330002 55.029999 55.830002 3350300 48.744789
"2013-07-01" 56.110001 56.23 54.970001 55.009998 2845300 48.028851
"2013-07-02" 55.040001 55.32 54.66 54.830002 2008500 47.8717
"2013-07-03" 54.5 55.240002 54.400002 55.09 1157000 48.098694
"2013-07-05" 55.509998 55.66 54.900002 55.560001 1629300 48.509045
"2013-07-08" 55.830002 56.299999 55.59 56.279999 1481200 49.137665
"2013-07-09" 56.470001 56.84 55.810001 55.91 2101000 48.814636
"2013-07-10" 55.950001 56.599998 55.91 56.549999 1551500 49.373413
"2013-07-11" 57.080002 58.150002 57.080002 58.099998 2337200 50.726711
"2013-07-12" 58.02 58.419998 57.68 58.389999 1359100 50.9799
"2013-07-15" 58.57 58.82 58.07 58.240002 1693300 50.848942
"2013-07-16" 58.330002 58.610001 58.139999 58.279999 2045900 50.883862
"2013-07-17" 58.380001 58.68 58.169998 58.470001 1137300 51.049744
"2013-07-18" 58.580002 58.950001 58.040001 58.310001 2058500 50.910065
"2013-07-19" 58.25 58.900002 58.130001 58.810001 1552000 51.346611
"2013-07-22" 58.740002 59.099998 58.599998 58.990002 1237800 51.503761
"2013-07-23" 58.970001 59 57.599998 57.630001 4014200 50.316349
"2013-07-24" 58.32 59.299999 56.580002 56.77 3089500 49.565506
"2013-07-25" 56.200001 57.689999 55.799999 57.610001 2869300 50.298889
