"Index" "DGOpen" "DGHigh" "DGLow" "DGClose" "DGVolume" "DGAdjusted"
"2013-04-30" 56.049999 56.439999 55.779999 56.330002 858200 47.330605
"2013-05-01" 56.23 57.380001 56 56.369999 1176300 47.364208
"2013-05-02" 56.490002 57.330002 56.419998 57.32 1461500 48.16243
"2013-05-03" 57.540001 57.75 57.18 57.209999 1150000 48.070004
"2013-05-06" 57.150002 58.209999 57.150002 57.939999 1275800 48.683376
"2013-05-07" 57.959999 58.119999 57.740002 57.779999 788700 48.548943
"2013-05-08" 57.68 59.07 57.68 59.060001 1300900 49.624443
"2013-05-09" 59.169998 59.41 58.790001 59.189999 1457900 49.733681
"2013-05-10" 59.130001 59.779999 59.049999 59.77 1023500 50.221012
"2013-05-13" 59.560001 59.59 58.900002 59.419998 1555700 49.926926
"2013-05-14" 59.450001 59.880001 59.220001 59.869999 1078000 50.305042
"2013-05-15" 59.669998 60.099998 59.259998 59.990002 1685100 50.405869
"2013-05-16" 59.740002 60.349998 59.459999 59.880001 1149700 50.313446
"2013-05-17" 59.860001 60.790001 59.790001 60.689999 970600 50.994026
"2013-05-20" 60.48 61 60.349998 60.799999 1078100 51.08646
"2013-05-21" 60.939999 61.619999 60.830002 61.389999 1324500 51.582199
"2013-05-22" 61.360001 62.240002 60.970001 61.119999 1457000 51.355335
"2013-05-23" 60.700001 62.07 60.689999 61.970001 1116800 52.069538
"2013-05-24" 61.639999 62.560001 61.439999 62.5 1383800 52.51487
"2013-05-28" 63 63.299999 62.580002 62.759998 1301600 52.733334
"2013-05-29" 62.689999 62.849998 61.860001 62.549999 865500 52.556877
"2013-05-30" 62.509998 63.02 62.259998 62.419998 1051700 52.447639
"2013-05-31" 62.200001 62.849998 61.830002 61.84 1261800 51.960308
"2013-06-03" 61.91 62.549999 61.52 62.529999 1185900 52.540077
"2013-06-04" 62.529999 62.91 62.110001 62.400002 988400 52.430843
"2013-06-05" 62.279999 62.310001 61.029999 61.639999 1200200 51.792267
"2013-06-06" 61.599998 62.09 61.27 62.080002 941700 52.161961
"2013-06-07" 62.549999 63 62.060001 62.220001 1278000 52.279602
"2013-06-10" 62.439999 63.400002 62.439999 63.200001 935300 53.10302
"2013-06-11" 62.68 63.220001 62.380001 62.549999 845400 52.556877
"2013-06-12" 62.970001 63.18 62 62 940100 52.094749
"2013-06-13" 62 62.98 61.709999 62.889999 866200 52.842548
"2013-06-14" 62.689999 63.389999 62.5 62.619999 477500 52.615692
"2013-06-17" 62.84 63.060001 62.360001 62.59 644500 52.590473
"2013-06-18" 62.52 62.689999 62.169998 62.389999 1036000 52.42244
"2013-06-19" 62.459999 62.669998 61.860001 61.889999 792900 52.002316
"2013-06-20" 61.490002 61.830002 60.75 60.810001 1056600 51.094864
"2013-06-21" 61.279999 62.029999 60.93 61.07 1286900 51.313316
"2013-06-24" 60.73 61.400002 60.209999 60.810001 1825900 51.094864
"2013-06-25" 61.220001 61.290001 60.360001 60.790001 912100 51.078056
"2013-06-26" 61.169998 61.57 60.59 61.16 714500 51.388943
"2013-06-27" 61.490002 61.93 61.299999 61.400002 916500 51.590603
"2013-06-28" 61.07 61.290001 60.119999 60.630001 1774400 51.193752
"2013-07-01" 60.810001 61.150002 60.419998 60.459999 1015600 51.050217
"2013-07-02" 60.389999 60.68 60.07 60.450001 1001700 51.041759
"2013-07-03" 60.139999 60.419998 59.84 60.080002 565400 50.729347
"2013-07-05" 60.349998 60.830002 59.93 60.799999 486900 51.337296
"2013-07-08" 61.02 61.470001 60.77 61.240002 657300 51.70882
"2013-07-09" 57.380001 59.389999 56.810001 58 5168900 48.973072
"2013-07-10" 58.110001 59.16 58.110001 59 1823100 49.817432
"2013-07-11" 59.529999 59.599998 58.720001 59.310001 1190900 50.079201
"2013-07-12" 58.950001 59.360001 58.599998 59.330002 1392300 50.096073
"2013-07-15" 59.599998 60.16 59.57 59.889999 1037800 50.568928
"2013-07-16" 59.860001 60.240002 59.860001 60.139999 855500 50.780014
"2013-07-17" 60.400002 60.619999 59.459999 59.799999 1874000 50.492928
"2013-07-18" 59.5 59.720001 58.650002 58.91 4287300 49.741451
"2013-07-19" 59.209999 59.34 58.950001 59.029999 2211500 49.842758
"2013-07-22" 59 59.400002 59 59.139999 2068000 49.935642
