"Index" "SJOpen" "SJHigh" "SJLow" "SJClose" "SJVolume" "SJAdjusted"
"2013-05-01" 102.940002 103.389999 101.43 102.110001 346500 81.151062
"2013-05-02" 102.059998 103.540001 101.580002 102.889999 481800 81.770958
"2013-05-03" 103.739998 103.839996 102.980003 103.559998 491000 82.303436
"2013-05-06" 103.269997 103.269997 102.25 102.550003 286700 81.500763
"2013-05-07" 102.790001 103.870003 102.599998 103.870003 332800 82.549812
"2013-05-08" 103.720001 103.989998 103.07 103.839996 296900 82.525955
"2013-05-09" 103.720001 103.879997 102.07 102.230003 353700 81.246437
"2013-05-10" 102.389999 103.779999 102.139999 103.629997 439000 82.35907
"2013-05-13" 103.370003 104.239998 103.110001 104.120003 261800 82.748497
"2013-05-14" 104.300003 104.660004 104.18 104.529999 408100 83.074326
"2013-05-15" 104.150002 105 103.480003 104.010002 587200 83.074333
"2013-05-16" 103.730003 104.07 103.209999 103.32 345300 82.523232
"2013-05-17" 103.190002 103.660004 101.970001 102.580002 850500 81.93219
"2013-05-20" 102.709999 102.709999 101.870003 101.93 373400 81.41301
"2013-05-21" 102.080002 102.629997 101.400002 102.110001 440500 81.556801
"2013-05-22" 102.260002 104 102.050003 102.510002 651400 81.876274
"2013-05-23" 101.410004 102.769997 101.199997 102.470001 466000 81.844307
"2013-05-24" 102.110001 103.400002 101.489998 103.220001 408200 82.443359
"2013-05-28" 104.010002 105.169998 103.529999 104.519997 448700 83.481705
"2013-05-29" 104.519997 104.730003 102.68 103.019997 492100 82.283607
"2013-05-30" 103.059998 103.290001 102.389999 102.650002 330800 81.988098
"2013-05-31" 102.449997 102.790001 100.949997 100.959999 853100 80.638283
"2013-06-03" 101.230003 102.25 100.260002 102.18 804700 81.612694
"2013-06-04" 102.139999 103.18 101.900002 102.639999 670000 81.980087
"2013-06-05" 102.25 102.980003 102.139999 102.370003 860000 81.764435
"2013-06-06" 103.800003 103.879997 96.75 98.379997 1910200 78.577583
"2013-06-07" 98.980003 102.110001 98.970001 101.389999 1106900 80.981728
"2013-06-10" 101.489998 101.489998 99.709999 100.239998 922200 80.063187
"2013-06-11" 99.650002 100.690002 99.370003 100.510002 862500 80.278831
"2013-06-12" 101.32 101.43 100.410004 100.830002 673900 80.534409
"2013-06-13" 100.959999 102.440002 100.589996 102.169998 616800 81.604698
"2013-06-14" 101.459999 103.290001 101.459999 103.010002 635200 82.275627
"2013-06-17" 103.120003 103.82 102.760002 103.239998 393100 82.459335
"2013-06-18" 103.07 104.18 102.870003 103.660004 326300 82.794823
"2013-06-19" 103.5 103.760002 102.309998 102.379997 744300 81.772438
"2013-06-20" 101.779999 102.290001 99.879997 99.980003 801500 79.855522
"2013-06-21" 100.470001 101.120003 99.849998 100.709999 722600 80.438583
"2013-06-24" 100.010002 100.949997 99.760002 99.809998 550000 79.719742
"2013-06-25" 100.699997 101.260002 99.860001 100.900002 745600 80.59034
"2013-06-26" 101.5 102.629997 101.300003 101.639999 726400 81.181389
"2013-06-27" 102.220001 102.980003 101.870003 102.849998 542000 82.147835
"2013-06-28" 102.5 104.059998 102.449997 103.150002 945200 82.387436
"2013-07-01" 103.419998 104.309998 103.330002 104.080002 597100 83.130234
"2013-07-02" 103.800003 104.169998 102.669998 103.150002 985800 82.387436
