"Index" "TGNOpen" "TGNHigh" "TGNLow" "TGNClose" "TGNVolume" "TGNAdjusted"
"2013-02-01" 10.342399 10.509802 10.331936 10.379018 9072593 8.445038
"2013-02-04" 10.143607 10.143607 9.61524 9.683247 16592626 7.878911
"2013-02-05" 9.751255 9.88727 9.709404 9.77218 7056291 7.951275
"2013-02-06" 9.84542 10.190689 9.84542 10.101756 9847726 8.21944
"2013-02-07" 10.11745 10.133144 9.882039 10.065137 7018634 8.189643
"2013-02-08" 10.054674 10.227309 10.044211 10.201152 4508770 8.300315
"2013-02-11" 10.222077 10.300548 10.127913 10.253466 3536748 8.342877
"2013-02-12" 10.284854 10.436563 10.253466 10.394712 4005842 8.457804
"2013-02-13" 10.431332 10.431332 10.311011 10.358093 4601863 8.428012
"2013-02-14" 10.284854 10.483645 10.248234 10.478414 4633977 8.525912
"2013-02-15" 10.551653 10.567347 10.452257 10.546422 4322585 8.581248
"2013-02-19" 10.535959 10.797527 10.504571 10.750445 5562798 8.747252
"2013-02-20" 10.750445 10.776602 10.546422 10.546422 5248731 8.581248
"2013-02-21" 10.54119 10.54119 10.243003 10.311011 7517548 8.389703
"2013-02-22" 10.337167 10.420869 10.211615 10.389481 3831126 8.453549
"2013-02-25" 10.441795 10.452257 10.00236 10.00236 5711134 8.138563
"2013-02-26" 10.065137 10.112219 9.882039 10.054674 5689916 8.18113
"2013-02-27" 10.065137 10.436563 10.065137 10.38425 5365144 8.449293
"2013-02-28" 10.399944 10.635355 10.352861 10.49934 5017433 8.542938
"2013-03-01" 10.457489 10.57781 10.363324 10.572579 4650416 8.602534
"2013-03-04" 10.556884 10.745213 10.467951 10.703363 4346671 8.708945
"2013-03-05" 10.792296 10.985856 10.739982 10.907386 5446385 8.87495
"2013-03-06" 10.797527 11.059095 10.724288 10.729519 6373677 8.814778
"2013-03-07" 10.792296 11.032938 10.760908 11.032938 5100203 9.064052
"2013-03-08" 11.11664 11.304969 10.959699 11.294506 7052086 9.278943
"2013-03-11" 11.247424 11.299738 11.08002 11.273581 5494938 9.261751
"2013-03-12" 11.23173 11.278812 11.095715 11.273581 3448816 9.261751
"2013-03-13" 11.278812 11.388671 11.200342 11.383439 3782955 9.352008
"2013-03-14" 11.404365 11.508992 11.289275 11.46191 4453144 9.416473
"2013-03-15" 11.488067 11.503761 11.34682 11.383439 3744151 9.352008
"2013-03-18" 11.216036 11.440984 11.148028 11.352051 3273718 9.326221
"2013-03-19" 11.404365 11.503761 11.3102 11.451447 5669654 9.407878
"2013-03-20" 11.529917 11.566537 11.467141 11.545612 3064404 9.48524
"2013-03-21" 11.467141 11.561306 11.3102 11.383439 4383181 9.352008
"2013-03-22" 11.446216 11.493298 11.278812 11.325894 3104929 9.304728
"2013-03-25" 11.393902 11.440984 11.137565 11.331126 4770079 9.30903
"2013-03-26" 11.404365 11.467141 11.352051 11.467141 4142326 9.420772
"2013-03-27" 11.399133 11.508992 11.273581 11.440984 3134367 9.399282
"2013-03-28" 11.446216 11.488067 11.362514 11.440984 4048087 9.399282
"2013-04-01" 11.430522 11.488067 11.027707 11.095715 6517808 9.115627
"2013-04-02" 11.168954 11.221267 11.059095 11.121871 3479401 9.137119
"2013-04-03" 11.111409 11.142797 10.787064 10.855072 4599186 8.91793
"2013-04-04" 10.870766 10.902154 10.719057 10.80799 4939442 8.879249
"2013-04-05" 10.583041 10.734751 10.478414 10.719057 8325942 8.806187
"2013-04-08" 10.750445 10.944005 10.719057 10.944005 3746062 8.99099
"2013-04-09" 10.985856 11.006781 10.860303 10.870766 4475318 8.930824
"2013-04-10" 10.902154 11.362514 10.902154 11.34682 7440895 9.32192
"2013-04-11" 11.34682 11.618851 11.257887 11.467141 4840233 9.420772
"2013-04-12" 11.404365 11.566537 11.34682 11.451447 4543560 9.407878
"2013-04-15" 11.34682 11.352051 11.006781 11.017244 4267724 9.051158
"2013-04-16" 11.106177 11.15326 10.991087 11.132334 4283207 9.145712
"2013-04-17" 11.022476 11.043401 10.776602 10.781833 4920327 8.857759
"2013-04-18" 10.77137 10.881229 10.488877 10.515034 5784156 8.63857
"2013-04-19" 10.509802 10.713825 10.46272 10.677206 4537061 8.771803
"2013-04-22" 10.708594 11.032938 10.651049 11.00155 8209529 9.038267
"2013-04-23" 11.08002 11.132334 10.38425 10.452257 14629657 8.586999
"2013-04-24" 10.447026 10.750445 10.216846 10.567347 10511033 8.681551
"2013-04-25" 10.583041 10.797527 10.567347 10.745213 5349469 8.827674
"2013-04-26" 10.739982 10.818452 10.624892 10.745213 3362223 8.827674
"2013-04-29" 10.671974 10.781833 10.447026 10.46272 5830224 8.595592
"2013-04-30" 10.473183 10.65628 10.46272 10.546422 5138052 8.664359
"2013-05-01" 10.556884 10.614429 10.373787 10.431332 3485136 8.569806
"2013-05-02" 10.49934 10.703363 10.473183 10.619661 4106007 8.724528
"2013-05-03" 10.703363 10.844609 10.677206 10.734751 3825200 8.819079
"2013-05-06" 10.750445 10.813221 10.661512 10.671974 3360885 8.767505
"2013-05-07" 10.724288 10.781833 10.640586 10.713825 4474936 8.801887
"2013-05-08" 10.677206 10.839378 10.603967 10.828915 4432691 8.896439
"2013-05-09" 10.849841 11.048632 10.760908 11.048632 4367124 9.076945
"2013-05-10" 11.059095 11.498529 11.017244 11.488067 7206539 9.437962
"2013-05-13" 11.488067 11.519455 11.268349 11.367745 4151119 9.339114
"2013-05-14" 11.367745 11.46191 11.263118 11.430522 4152840 9.390687
"2013-05-15" 11.399133 11.508992 11.236961 11.3102 4182851 9.291837
"2013-05-16" 11.242193 11.242193 10.88646 10.896923 6653910 8.952312
"2013-05-17" 11.006781 11.294506 10.959699 11.278812 5597206 9.266049
"2013-05-20" 11.273581 11.456678 11.273581 11.378208 4493287 9.347707
"2013-05-21" 11.378208 11.404365 11.19511 11.268349 2325208 9.257454
"2013-05-22" 11.19511 11.378208 11.00155 11.064326 4784989 9.089841
"2013-05-23" 10.938774 11.08002 10.77137 11.059095 4631492 9.085544
"2013-05-24" 10.996319 11.106177 10.917848 11.069558 3255176 9.094136
"2013-05-28" 11.205573 11.3102 11.148028 11.278812 3641118 9.266049
"2013-05-29" 11.205573 11.3102 11.11664 11.278812 3256897 9.266049
"2013-05-30" 11.315432 11.451447 11.3102 11.325894 2942447 9.304728
"2013-05-31" 11.263118 11.613619 11.247424 11.247424 4641241 9.240263
"2013-06-03" 11.236961 11.257887 10.624892 10.881229 7477405 8.939417
"2013-06-04" 11.043401 11.357283 10.781833 10.870766 8316193 8.930824
"2013-06-05" 10.724288 10.823684 10.368556 10.38425 6467343 8.614033
"2013-06-06" 10.363324 10.630124 10.316242 10.630124 5176092 8.817994
"2013-06-07" 10.6929 10.891692 10.598735 10.875997 3355724 9.021951
"2013-06-10" 10.88646 10.896923 10.65628 10.687668 2967871 8.865727
"2013-06-11" 10.535959 10.708594 10.415638 10.551653 3680305 8.752899
"2013-06-12" 10.65628 10.698131 10.368556 10.38425 3662145 8.614033
"2013-06-13" 13.339968 13.993888 12.607578 13.915418 69024690 11.54324
"2013-06-14" 13.789865 13.789865 12.61804 13.073169 25363577 10.844569
"2013-06-17" 13.198721 13.303348 12.879608 13.057475 12210592 10.83155
"2013-06-18" 13.088863 13.172564 12.88484 13.057475 8526846 10.83155
"2013-06-19" 13.11502 13.172564 12.440174 12.649428 14235877 10.493062
"2013-06-20" 12.649428 12.968541 12.455868 12.487256 7236359 10.358538
"2013-06-21" 12.659891 12.670354 12.398323 12.508182 6457403 10.375896
"2013-06-24" 12.340778 12.518644 12.220457 12.335547 5405478 10.232693
"2013-06-25" 12.466331 12.555264 12.398323 12.508182 4419119 10.375896
"2013-06-26" 12.597115 12.916228 12.560495 12.863914 5366291 10.670987
"2013-06-27" 12.916228 13.062706 12.785444 12.900534 4741406 10.701364
"2013-06-28" 12.832526 12.853452 12.607578 12.795907 8765981 10.614572
"2013-07-01" 12.931922 13.230109 12.905765 13.188259 6884825 10.940041
"2013-07-02" 13.104557 13.481215 13.052243 13.392282 8650714 11.109282
"2013-07-03" 13.292886 13.413207 13.198721 13.339968 3016615 11.065887
"2013-07-05" 13.533528 13.643387 13.256266 13.632924 3963596 11.308904
"2013-07-08" 13.76894 13.784634 13.543991 13.648618 4249182 11.32192
