"Index" "VMOpen" "VMHigh" "VMLow" "VMClose" "VMVolume" "VMAdjusted"
"2012-12-07" 52.5 52.5 51.419998 52 1012900 48.861401
"2012-12-10" 52.09 52.299999 51.790001 52.09 535000 48.945965
"2012-12-11" 52.540001 52.709999 51.939999 52.25 741700 49.096298
"2012-12-12" 52.509998 52.709999 50.990002 51.299999 1116200 48.203648
"2012-12-13" 51.41 51.98 51.189999 51.68 803800 48.560711
"2012-12-14" 51.669998 51.799999 51.02 51.599998 681800 48.485535
"2012-12-17" 51.740002 52.84 51.41 52.709999 888200 49.528538
"2012-12-18" 52.709999 53.23 52.669998 53.189999 1148800 49.979549
"2012-12-19" 53.189999 53.369999 52.34 53.099998 711600 49.895
"2012-12-20" 53.02 53.25 52.759998 53.25 811800 50.035942
"2012-12-21" 53.040001 53.16 51.790001 52.259998 1254400 49.105705
"2012-12-24" 52.18 53.099998 52.18 52.970001 264300 49.772839
"2012-12-26" 52.970001 53.290001 52.349998 52.810001 479700 49.622509
"2012-12-27" 52.98 53.09 51.360001 51.700001 527700 48.579498
"2012-12-28" 51.290001 51.52 50.68 51.200001 399200 48.109684
"2012-12-31" 51 52.049999 50.93 52.049999 713200 48.908379
"2013-01-02" 53.299999 54.299999 53.130001 53.880001 860000 50.627922
"2013-01-03" 53.91 54.220001 53.310001 53.5 590900 50.270855
"2013-01-04" 53.720001 53.889999 53.150002 53.849998 430200 50.599731
"2013-01-07" 53.32 53.880001 53.099998 53.73 369000 50.486961
"2013-01-08" 53.57 53.849998 52.68 53.759998 523500 50.515156
"2013-01-09" 53.889999 54.009998 53.400002 53.75 470400 50.50576
"2013-01-10" 53.900002 54.25 53.439999 54.200001 614800 50.928596
"2013-01-11" 54.080002 54.599998 53.950001 54.580002 469600 51.28569
"2013-01-14" 54.560001 54.740002 53.540001 53.869999 420900 50.618526
"2013-01-15" 53.380001 54.419998 53.369999 54.369999 423300 51.088341
"2013-01-16" 54.07 54.330002 53.650002 54.119999 336300 50.853439
"2013-01-17" 54.5 55.400002 54.34 55.139999 879600 51.811859
"2013-01-18" 55.459999 56.720001 55.150002 56.689999 1018100 53.268307
"2013-01-22" 56.810001 59.48 56.630001 58.57 1301700 55.034843
"2013-01-23" 58.43 58.57 57.419998 57.490002 812800 54.02002
"2013-01-24" 57.779999 58.41 56.959999 57.5 790300 54.029427
"2013-01-25" 57.900002 57.970001 56.91 57.200001 915100 53.747532
"2013-01-28" 57.25 57.450001 56.310001 56.830002 497100 53.399868
"2013-01-29" 56.830002 59 56.549999 58.740002 1345400 55.194572
"2013-01-30" 58.73 58.790001 56.360001 56.830002 869300 53.399868
"2013-01-31" 56.700001 57.060001 56.040001 56.560001 826300 53.146156
"2013-02-01" 57.23 57.27 56.540001 56.880001 679500 53.446846
"2013-02-04" 56.299999 57.029999 56.200001 56.279999 453900 52.883053
"2013-02-05" 56.599998 56.939999 56.200001 56.360001 416300 52.958225
"2013-02-06" 56.119999 56.52 55.77 56.220001 967600 52.826679
"2013-02-07" 56.27 56.380001 54.869999 55.41 463400 52.065575
"2013-02-08" 55.509998 56.150002 55.509998 56.080002 394700 52.695126
"2013-02-11" 55.970001 56.290001 55.639999 55.650002 214100 52.29108
"2013-02-12" 55.57 56.650002 55.549999 56.119999 732300 52.732723
"2013-02-13" 56.290001 56.470001 55.75 55.860001 751100 52.488415
"2013-02-14" 55.459999 55.5 52.790001 54.869999 1673800 51.558159
"2013-02-15" 54.849998 55.279999 54.5 55.029999 1055100 51.708511
"2013-02-19" 55.02 55.330002 54.509998 54.810001 623600 51.501781
"2013-02-20" 54.630001 54.759998 52.259998 52.32 690900 49.162075
"2013-02-21" 51.810001 52.389999 51.5 51.990002 783800 48.861328
