"Index" "SWOpen" "SWHigh" "SWLow" "SWClose" "SWVolume" "SWAdjusted"
"2013-04-17" 76.5 76.629997 75.610001 76.419998 972800 64.667831
"2013-04-18" 76.419998 76.980003 75.639999 75.910004 1227000 64.236259
"2013-04-19" 76.120003 76.540001 75.889999 76.400002 1764800 64.650902
"2013-04-22" 76.5 76.839996 75.839996 76.610001 1182900 64.828613
"2013-04-23" 77.029999 77.57 76.199997 77 1758500 65.158653
"2013-04-24" 77.220001 78.650002 77.199997 78.080002 1996500 66.072548
"2013-04-25" 76.709999 77.120003 75.010002 75.93 3952700 64.253181
"2013-04-26" 75.900002 75.970001 74.040001 74.400002 2000200 62.958492
"2013-04-29" 74.540001 74.760002 74.089996 74.480003 977200 63.026173
"2013-04-30" 74.230003 74.830002 73.879997 74.809998 1334900 63.305428
"2013-05-01" 74.610001 75.470001 74.230003 74.360001 1427500 62.924652
"2013-05-02" 74.720001 75.260002 74.540001 75.190002 891300 63.626999
"2013-05-03" 76.120003 77.610001 76.120003 76.650002 863900 64.862442
"2013-05-06" 76.650002 77.160004 76.169998 77.010002 1130000 65.167107
"2013-05-07" 77.199997 79.089996 77.169998 78.68 1392500 66.580299
"2013-05-08" 78.68 79.900002 78.5 79.790001 1990100 67.5196
"2013-05-09" 79.870003 80.18 79.07 79.25 1080400 67.062637
"2013-05-10" 79.489998 79.809998 79.019997 79.730003 824800 67.468811
"2013-05-13" 79.660004 79.879997 79.160004 79.519997 665500 67.291107
"2013-05-14" 79.620003 81 79.620003 80.989998 795200 68.535019
"2013-05-15" 80.389999 81.139999 80.099998 80.949997 706000 68.501198
"2013-05-16" 80.589996 81.300003 80.339996 80.470001 1341700 68.095016
"2013-05-17" 80.620003 81.82 80.620003 80.940002 1284200 68.492744
"2013-05-20" 80.870003 82.050003 80.769997 81.330002 619800 68.822769
"2013-05-21" 81.400002 82.300003 81.099998 81.839996 1344800 69.254326
"2013-05-22" 82.07 83.260002 81 81.230003 1534600 68.738152
"2013-05-23" 80.419998 80.57 78.879997 79.660004 1712500 67.409584
"2013-05-24" 79.190002 79.290001 78.419998 78.739998 776300 66.631042
"2013-05-28" 79.440002 80.07 79.160004 79.870003 1609100 67.587273
"2013-05-29" 79.410004 81.300003 78.919998 80.849998 1614300 68.416588
"2013-05-30" 80.300003 81.019997 79.739998 80.239998 962700 67.900406
"2013-05-31" 80.019997 80.5 79.150002 79.220001 1335100 67.037254
"2013-06-03" 79.150002 79.410004 78.059998 79.349998 1396200 67.565155
"2013-06-04" 79.349998 79.800003 78.209999 78.639999 990500 66.960609
"2013-06-05" 78.510002 78.57 77.010002 77.260002 1124300 65.785568
"2013-06-06" 77.449997 78.599998 77.029999 78.43 867900 66.781799
"2013-06-07" 78.870003 79.870003 78.849998 79.690002 627900 67.85466
"2013-06-10" 79.839996 80.010002 79.089996 79.809998 682600 67.956863
"2013-06-11" 78.889999 80.379997 78.43 79.540001 973600 67.726929
"2013-06-12" 80.32 80.360001 78.519997 78.68 687800 66.994682
"2013-06-13" 78.589996 79.68 78.029999 79.449997 1021600 67.650307
"2013-06-14" 79.349998 80.040001 79.089996 79.419998 501100 67.624779
"2013-06-17" 80.059998 80.57 79.559998 80.040001 766100 68.152687
"2013-06-18" 80.209999 81.379997 79.800003 80.980003 941400 68.953087
"2013-06-19" 80.989998 81.040001 79.379997 79.379997 1102900 67.590675
"2013-06-20" 78.760002 78.760002 76.940002 77.160004 1034500 65.700401
"2013-06-21" 77.519997 77.739998 75.550003 76 1736900 64.712692
"2013-06-24" 75.269997 75.900002 73.769997 75.050003 1664900 63.903801
"2013-06-25" 76 76.669998 75.900002 76.459999 832500 65.104385
"2013-06-26" 77.110001 77.400002 76.620003 76.830002 672400 65.419434
"2013-06-27" 77.529999 78.400002 77.440002 78.120003 973000 66.517853
"2013-06-28" 77.959999 78.07 77.089996 77.300003 1107600 65.819633
"2013-07-01" 77.910004 78.800003 77.769997 78.349998 677800 66.713707
"2013-07-02" 78.230003 78.889999 77.510002 77.779999 916800 66.22834
"2013-07-03" 77.5 78.18 77.010002 77.910004 334800 66.339005
"2013-07-05" 78.720001 79.150002 78.18 79.07 475600 67.326759
"2013-07-08" 79.660004 79.809998 79.139999 79.309998 666300 67.53109
"2013-07-09" 79.870003 81.059998 79.870003 80.580002 781200 68.61248
"2013-07-10" 80.489998 80.949997 79.529999 79.959999 984300 68.084572
