"Index" "TWOpen" "TWHigh" "TWLow" "TWClose" "TWVolume" "TWAdjusted"
"2013-04-03" 55.394173 56.094028 55.384586 55.700958 16732514 50.596485
"2013-04-04" 55.700958 56.257011 55.585915 55.863941 15337053 50.744534
"2013-04-05" 55.279125 55.585915 55.058624 55.490044 12669238 50.404896
"2013-04-08" 55.442108 55.940636 55.096973 55.940636 7899412 50.814194
"2013-04-09" 55.883114 56.650082 55.844765 56.372055 7210207 51.206078
"2013-04-10" 56.443958 57.273239 56.276184 57.105469 6429034 51.872288
"2013-04-11" 57.139023 57.349937 56.97604 57.196545 5400137 51.955006
"2013-04-12" 56.889759 57.1534 56.659668 57.004803 6120085 51.780827
"2013-04-15" 56.822647 57.522507 56.036507 56.055679 7005115 50.918694
"2013-04-16" 56.352882 57.527298 56.333706 57.263653 5068350 52.015961
"2013-04-17" 56.870583 57.234894 56.669254 57.062325 6232243 51.833092
"2013-04-18" 57.139023 57.196545 55.93153 56.055679 6449658 50.918694
"2013-04-19" 56.32412 57.474571 55.614674 57.282829 7319761 52.033382
"2013-04-22" 57.426636 57.81012 56.918518 57.704659 4313941 52.416565
"2013-04-23" 57.877228 58.212681 57.388287 57.905991 4555176 52.599434
"2013-04-24" 57.953922 58.126492 57.062325 57.129436 4836296 51.894054
"2013-04-25" 57.11026 57.311588 56.496689 56.937695 8346379 51.719875
"2013-04-26" 56.928104 57.580029 56.841824 57.206131 5271067 51.963715
"2013-04-29" 57.464985 57.781357 57.081497 57.647137 4407794 52.364307
"2013-04-30" 57.551266 57.992271 57.186958 57.311588 7174727 52.059509
"2013-05-01" 57.043152 57.493744 55.825592 57.023975 12916171 51.798252
"2013-05-02" 57.100674 57.6759 56.947281 57.282829 6348301 52.033382
"2013-05-03" 57.647137 58.212776 57.50333 57.93475 4837142 52.625568
"2013-05-06" 57.781357 58.442863 57.627964 58.136078 4679463 52.808449
"2013-05-07" 58.385342 58.98933 58.155254 58.97974 4502694 53.574791
"2013-05-08" 58.85511 59.181072 58.184013 58.605846 6097170 53.235165
"2013-05-09" 58.625019 58.931808 58.251125 58.577084 4663233 53.20903
"2013-05-10" 58.59626 58.903046 58.174427 58.423691 4283829 53.069702
"2013-05-13" 58.212776 58.471626 58.107319 58.394932 3356590 53.043583
"2013-05-14" 58.529148 58.941395 58.433277 58.740067 3852073 53.357079
"2013-05-15" 58.490803 58.682541 58.241535 58.605846 5327633 53.235165
"2013-05-16" 58.231949 58.538734 58.155254 58.212776 5397487 52.878105
"2013-05-17" 58.337406 58.634605 57.915577 58.20319 5961037 52.869408
"2013-05-20" 58.212776 58.481213 57.292416 57.589615 5107170 52.312061
"2013-05-21" 57.838879 58.318233 57.695168 57.973099 5709222 52.6604
"2013-05-22" 57.973099 58.538734 57.148609 57.484158 6036367 52.216255
"2013-05-23" 56.755539 58.059383 56.698017 57.6759 5300121 52.39043
"2013-05-24" 57.292416 57.364319 56.726776 56.832233 4609193 51.624088
"2013-05-28" 57.407459 57.93475 57.302002 57.800529 6166896 52.503651
"2013-05-29" 57.3787 57.407459 56.563797 56.755539 4328052 51.812138
"2013-05-30" 56.899345 57.445808 56.860996 57.119846 4876199 52.144707
"2013-05-31" 57.119846 57.522507 55.959808 55.959808 7028115 51.085701
"2013-06-03" 55.911877 56.180313 55.058624 56.180313 5529716 51.28701
"2013-06-04" 56.16114 56.659668 55.537979 55.931049 3803636 51.059452
"2013-06-05" 55.614674 55.672199 54.272484 54.55051 7469644 49.79916
"2013-06-06" 54.445049 55.135323 53.975285 55.10656 4890256 50.306786
"2013-06-07" 55.605087 56.381641 55.24078 56.343292 3515062 51.435787
"2013-06-10" 56.352882 56.352882 55.116146 55.317474 5092337 50.499317
"2013-06-11" 54.790188 55.154495 54.464226 54.54092 5769907 49.790401
"2013-06-12" 54.953167 55.058624 53.553452 53.841064 5619336 49.151512
"2013-06-13" 53.889 55.605087 53.553452 55.518806 6401426 50.683121
"2013-06-14" 55.288715 55.76807 55.068211 55.096973 5023149 50.298031
"2013-06-17" 55.432522 56.036507 55.173672 55.547565 5297067 50.70937
"2013-06-18" 55.461281 56.688431 55.384586 56.45834 3666764 51.540813
"2013-06-19" 56.535034 56.736362 55.461281 55.470867 3722383 50.639359
"2013-06-20" 55.058624 55.192844 53.773956 53.994457 4796998 49.29155
"2013-06-21" 54.502575 54.723076 53.515202 54.464226 7097094 49.720394
"2013-06-24" 53.917763 54.449844 53.404854 53.956108 5146004 49.256527
"2013-06-25" 54.454639 54.842915 54.186199 54.330006 4089041 49.597862
"2013-06-26" 54.780598 55.508259 54.780598 55.020275 5547212 50.228008
"2013-06-27" 55.317474 55.720135 55.029861 55.432522 3993879 50.604355
"2013-06-28" 55.269539 55.844765 55.116146 55.432522 7131411 50.604355
"2013-07-01" 55.71534 56.506275 55.71534 55.8927 5028271 51.024452
"2013-07-02" 55.835178 57.254066 55.758484 57.062325 6805704 52.092197
"2013-07-03" 56.515862 57.627964 56.247421 57.589615 4392359 52.573563
"2013-07-05" 57.819706 58.912632 57.814911 58.874283 5444068 53.74633
"2013-07-08" 59.027676 59.085201 58.212776 58.414104 5967866 53.326244
"2013-07-09" 58.615433 58.922218 58.423691 58.749653 5474035 53.632549
"2013-07-10" 58.701717 58.778412 58.337406 58.490803 3789929 53.396259
