"Index" "EQOpen" "EQHigh" "EQLow" "EQClose" "EQVolume" "EQAdjusted"
"2013-06-13" 42.803486 43.61459 42.759933 43.565598 1800444 42.500771
"2013-06-14" 43.603703 43.728905 43.113773 43.380512 1317496 42.32021
"2013-06-17" 43.571041 44.507347 43.12466 44.469242 1964488 43.382313
"2013-06-18" 44.480129 45.57975 44.21339 45.541645 2665120 44.428524
"2013-06-19" 45.465431 45.726727 44.823082 44.855743 1566594 43.75938
"2013-06-20" 44.19706 44.256943 42.852478 43.119217 2402061 42.0653
"2013-06-21" 43.418617 43.658138 42.819817 43.364182 2345482 42.304279
"2013-06-24" 42.841591 44.235165 42.117584 43.712574 2666406 42.644154
"2013-06-25" 44.289604 44.34404 43.576485 43.848667 2343277 42.77692
"2013-06-26" 44.006531 44.572674 43.63092 44.104519 2280636 43.02652
"2013-06-27" 44.148067 44.64344 43.995644 44.093632 1503033 43.015911
"2013-06-28" 43.892216 44.011974 43.026672 43.206314 5720234 42.150272
"2013-07-01" 43.440392 44.028309 43.342407 43.396843 2282105 42.33614
"2013-07-02" 43.413174 43.924877 43.206314 43.380512 2176845 42.32021
"2013-07-03" 43.249863 43.500271 42.770821 43.375069 1179721 42.314899
"2013-07-05" 43.826893 43.826893 43.195427 43.516602 1782074 42.452976
"2013-07-08" 43.799671 44.686989 43.723461 44.256943 2552879 43.175217
"2013-07-09" 44.436581 44.931953 44.251495 44.300491 2391590 43.217697
"2013-07-10" 44.496464 44.730537 44.011974 44.529125 1717044 43.440742
