"Index" "SNOpen" "SNHigh" "SNLow" "SNClose" "SNVolume" "SNAdjusted"
"2013-01-08" 57.560001 60.09 57.419998 59.119999 1849912 55.215141
"2013-01-09" 59.310001 59.93 58.689999 58.75 1059028 54.869572
"2013-01-10" 59.07 59.66 58.560001 59.650002 844908 55.710133
"2013-01-11" 59.860001 59.959999 59.349998 59.830002 592187 55.878242
"2013-01-14" 59.23 59.330002 58.07 59.150002 1021637 55.243153
"2013-01-15" 58.869999 59.169998 58.330002 59.029999 685096 55.131088
"2013-01-16" 58.889999 59.099998 58.27 58.330002 798352 54.477318
"2013-01-17" 58.470001 59.130001 58.040001 58.900002 988885 55.00967
"2013-01-18" 58.880001 59.230099 58.669998 59.02 515244 55.12175
"2013-01-22" 59.02 59.720001 59 59.57 487874 55.635414
"2013-01-23" 59.380001 60.43 59.27 60.32 726600 56.33588
"2013-01-24" 60.130001 61.169998 59.985001 60.439999 553985 56.447948
"2013-01-25" 59.880001 60.060001 59.250099 59.93 513240 55.971638
"2013-01-28" 59.849998 60.189999 59.489899 60.09 441941 56.121075
"2013-01-29" 59.970001 59.98 59.09 59.130001 792292 55.224472
"2013-01-30" 59.220001 60.32 59.119999 59.779999 827604 55.831551
"2013-01-31" 59.919998 62.209999 59.889999 61.77 1165484 57.690109
"2013-02-01" 62.169998 62.75 61.630001 62.150002 836191 58.045013
"2013-02-04" 61.790001 62.34 61.209999 61.27 828565 57.223129
"2013-02-05" 61.59 62.119801 61.110001 61.700001 748265 57.624741
"2013-02-06" 61.700001 62.5 61.490002 62.259998 1125290 58.147736
"2013-02-07" 59.98 60.310001 57.32 59.970001 3814832 56.008999
"2013-02-08" 59.880001 60.779999 59.529999 60.139999 1047615 56.167767
"2013-02-11" 60.25 61.130001 60 61.009998 747936 56.980309
"2013-02-12" 61 61.380001 60.630001 61.040001 872188 57.00832
"2013-02-13" 61.189999 62.130001 61.189999 62.040001 1084339 57.942276
"2013-02-14" 61.799999 62.470001 61.290001 62.369999 677171 58.250477
"2013-02-15" 62.48 63.299999 61.889999 62.16 1260496 58.05434
"2013-02-19" 62.310001 62.580002 62.110001 62.419998 710498 58.29718
"2013-02-20" 62.380001 62.91 61.869999 61.93 686751 57.839542
"2013-02-21" 61.580002 61.759998 60.880001 61.080002 669476 57.045685
"2013-02-22" 61.360001 62.560001 61.279999 62.560001 636065 58.427933
"2013-02-25" 62.869999 62.950001 61.59 61.630001 648325 57.559357
"2013-02-26" 61.639999 61.959999 60.889999 61.150002 896602 57.250397
"2013-02-27" 61.23 62.709999 60.919998 62.549999 875971 58.561119
"2013-02-28" 62.709999 63.41 62.709999 63.049999 670941 59.029243
"2013-03-01" 62.900002 64.330002 62.720001 64.300003 671424 60.199524
"2013-03-04" 64.150002 64.839996 64.120003 64.760002 616578 60.630192
"2013-03-05" 65 65.709999 64.360001 64.540001 1168613 60.42421
"2013-03-06" 64.629997 65.349998 63.849998 63.900002 905254 59.825031
"2013-03-07" 64.07 64.379997 63.639999 63.880001 914645 59.806313
"2013-03-08" 64.260002 64.5 63.57 64.339996 942233 60.236961
"2013-03-11" 64.260002 64.644997 64.230003 64.32 414351 60.218254
"2013-03-12" 64.269997 64.620003 63.990002 64.209999 447411 60.115261
"2013-03-13" 64.25 64.739998 64.18 64.339996 737068 60.236961
"2013-03-14" 64.550003 64.879997 64.389999 64.519997 539924 60.405499
"2013-03-15" 64.239998 64.830002 63.959999 64.300003 681283 60.199524
"2013-03-18" 63.459999 65 63.459999 64.989998 697513 60.845524
"2013-03-19" 65.029999 65.32 64.610001 64.989998 867292 60.845524
"2013-03-20" 65.190002 65.809998 64.959999 65.379997 594582 61.210655
"2013-03-21" 64.989998 65.57 64.290001 64.519997 498702 60.405499
"2013-03-22" 64.68 65.010002 64.519997 64.809998 396252 60.676994
"2013-03-25" 65.089996 65.099998 63.73 63.990002 593654 59.909286
"2013-03-26" 64.269997 64.68 63.930099 64.129997 506809 60.040352
"2013-03-27" 63.91 64.190002 63.5 63.970001 675090 59.890568
"2013-03-28" 64 64.400002 63.830002 64.339996 586320 60.236961
"2013-04-01" 64.419998 64.769997 63.529999 63.799999 496646 59.731407
"2013-04-02" 64.099998 64.431999 63.830002 63.970001 531738 59.890568
"2013-04-03" 64.160004 64.879997 63.799999 64.169998 566030 60.077808
"2013-04-04" 64.260002 65.309998 64.160004 65.269997 639361 61.107662
"2013-04-05" 64.809998 66.410004 64.18 65.949997 850856 61.744308
"2013-04-08" 66.279999 67.260002 66.059998 66.889999 896313 62.624348
"2013-04-09" 67 67.050003 66.150002 66.290001 628244 62.062614
"2013-04-10" 66.300003 67.379997 66.209999 67.260002 602455 62.970772
"2013-04-11" 67.379997 68.529999 67.290001 68.279999 817869 63.925709
"2013-04-12" 68.25 68.989998 67.879997 68.099998 949220 63.757164
"2013-04-15" 68 68.110001 66.300003 66.300003 546824 62.071987
"2013-04-16" 66.779999 67.809898 66.779999 67.559998 491110 63.251629
"2013-04-17" 66.830002 67.68 66.519997 67.389999 723236 63.092476
"2013-04-18" 67.410004 67.459999 66.220001 66.540001 465480 62.296673
"2013-04-19" 66.650002 67.43 66.650002 67.040001 568932 62.764801
"2013-04-22" 67.150002 67.830002 66.68 67.489998 454672 63.186096
"2013-04-23" 67.779999 67.779999 66.699997 67.43 813244 63.129929
"2013-04-24" 67.5 67.980003 66.5 66.589996 707768 62.343483
"2013-04-25" 66.849998 67.110001 66.089996 66.330002 1096938 62.100075
"2013-04-26" 66.449997 67.290001 66.022301 66.660004 647866 62.409027
"2013-04-29" 66.860001 67.339996 66.330002 66.389999 487178 62.156242
"2013-04-30" 66.389999 66.879997 66.199997 66.580002 585684 62.334133
"2013-05-01" 66.370003 68.010002 66.080002 66.800003 931441 62.5401
"2013-05-02" 67.25 71.050003 67.010002 68.730003 1890373 64.347015
"2013-05-03" 69.290001 69.995003 68.980003 69.309998 1197496 64.890022
"2013-05-06" 69.25 69.5 68.5 68.779999 1229144 64.393822
"2013-05-07" 68.769997 69.150002 68.610001 68.910004 1082615 64.515549
"2013-05-08" 68.830002 69.150002 68.669998 69.099998 652916 64.693413
"2013-05-09" 69.010002 69.239998 68.650002 68.910004 485780 64.515549
"2013-05-10" 68.940002 69.239998 68.57 68.989998 472568 64.590439
"2013-05-13" 68.900002 68.919998 68.150002 68.489998 619088 64.122322
"2013-05-14" 68.620003 68.760002 68.089996 68.139999 708414 63.794647
"2013-05-15" 68.139999 68.739998 68.07 68.639999 707106 64.262756
"2013-05-16" 68.449997 69.029999 68.160004 68.32 569911 63.963154
"2013-05-17" 68.519997 69.099998 68.029999 69.050003 838715 64.646606
"2013-05-20" 68.849998 69.120003 68.220001 68.290001 646700 63.935074
"2013-05-21" 68.190002 69.150002 68.084999 68.860001 665313 64.468742
"2013-05-22" 68.800003 69.379997 67.57 67.879997 489087 63.551224
"2013-05-23" 67.43 68.760002 67.160004 68.43 667314 64.066147
"2013-05-24" 68.029999 69.029999 67.720001 68.800003 591039 64.412575
